AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
15-19|~|~|~|~|Mortality|20610370|Thyroid|2002
5-9|~|~|~|~|Mortality|19872417|Thyroid|2002
<1|~|~|~|~|Mortality|3951461|Thyroid|2002
1-4|~|~|~|~|Incidence|14606253|Thyroid|2002
10-14|0.4|0.6|0.4|90|Incidence|20081163|Thyroid|2002
15-19|1.5|1.9|1.7|330|Incidence|19446561|Thyroid|2002
5-9|0.1|0.2|0.1|20|Incidence|18767324|Thyroid|2002
<1|~|~|~|~|Incidence|3729412|Thyroid|2002
1-4|~|~|~|~|Mortality|15477731|Urinary Bladder|2002
10-14|~|~|~|~|Mortality|21261421|Urinary Bladder|2002
15-19|~|~|~|~|Mortality|20610370|Urinary Bladder|2002
5-9|~|~|~|~|Mortality|19872417|Urinary Bladder|2002
<1|~|~|~|~|Mortality|3951461|Urinary Bladder|2002
1-4|~|~|~|~|Incidence|14606253|Urinary Bladder|2002
10-14|~|~|~|~|Incidence|20081163|Urinary Bladder|2002
15-19|0.1|0.2|0.1|19|Incidence|19446561|Urinary Bladder|2002
5-9|~|~|~|~|Incidence|18767324|Urinary Bladder|2002
<1|~|~|~|~|Incidence|3729412|Urinary Bladder|2002
1-4|2.3|2.8|2.5|392|Mortality|15616575|All Cancer Sites Combined|2003
10-14|2.4|2.8|2.6|560|Mortality|21415353|All Cancer Sites Combined|2003
15-19|3.1|3.6|3.3|690|Mortality|20797166|All Cancer Sites Combined|2003
5-9|2.4|2.9|2.6|516|Mortality|19620851|All Cancer Sites Combined|2003
<1|1.5|2.4|1.9|75|Mortality|3975871|All Cancer Sites Combined|2003
1-4|20.1|21.5|20.8|3248|Incidence|15616575|All Cancer Sites Combined|2003
10-14|12.3|13.2|12.7|2729|Incidence|21415353|All Cancer Sites Combined|2003
15-19|20.6|21.9|21.2|4419|Incidence|20797166|All Cancer Sites Combined|2003
5-9|11.0|11.9|11.4|2241|Incidence|19620851|All Cancer Sites Combined|2003
<1|23.9|27.1|25.5|1013|Incidence|3975871|All Cancer Sites Combined|2003
1-4|0.5|0.8|0.7|104|Mortality|15616575|Brain and Other Nervous System|2003
10-14|0.6|0.9|0.8|161|Mortality|21415353|Brain and Other Nervous System|2003
15-19|0.5|0.7|0.6|119|Mortality|20797166|Brain and Other Nervous System|2003
5-9|0.8|1.0|0.9|175|Mortality|19620851|Brain and Other Nervous System|2003
<1|0.3|0.7|0.5|18|Mortality|3975871|Brain and Other Nervous System|2003
1-4|3.9|4.5|4.2|657|Incidence|15616575|Brain and Other Nervous System|2003
10-14|2.5|2.9|2.7|580|Incidence|21415353|Brain and Other Nervous System|2003
15-19|2.0|2.4|2.2|458|Incidence|20797166|Brain and Other Nervous System|2003
5-9|3.0|3.5|3.2|637|Incidence|19620851|Brain and Other Nervous System|2003
<1|3.2|4.5|3.8|151|Incidence|3975871|Brain and Other Nervous System|2003
1-4|~|~|~|~|Mortality|7636693|Cervix|2003
10-14|~|~|~|~|Mortality|10444875|Cervix|2003
15-19|~|~|~|~|Mortality|10086567|Cervix|2003
5-9|~|~|~|~|Mortality|9581247|Cervix|2003
<1|~|~|~|~|Mortality|1942634|Cervix|2003
1-4|~|~|~|~|Incidence|7636693|Cervix|2003
10-14|~|~|~|~|Incidence|10444875|Cervix|2003
15-19|0.1|0.3|0.2|19|Incidence|10086567|Cervix|2003
5-9|~|~|~|~|Incidence|9581247|Cervix|2003
<1|~|~|~|~|Incidence|1942634|Cervix|2003
1-4|~|~|~|~|Mortality|15616575|Colon and Rectum|2003
10-14|~|~|~|~|Mortality|21415353|Colon and Rectum|2003
15-19|~|~|~|~|Mortality|20797166|Colon and Rectum|2003
5-9|~|~|~|~|Mortality|19620851|Colon and Rectum|2003
<1|~|~|~|~|Mortality|3975871|Colon and Rectum|2003
1-4|~|~|~|~|Incidence|15616575|Colon and Rectum|2003
10-14|0.0|0.1|0.1|18|Incidence|21415353|Colon and Rectum|2003
15-19|0.2|0.3|0.3|54|Incidence|20797166|Colon and Rectum|2003
5-9|~|~|~|~|Incidence|19620851|Colon and Rectum|2003
<1|~|~|~|~|Incidence|3975871|Colon and Rectum|2003
1-4|~|~|~|~|Mortality|7636693|Corpus and Uterus, NOS|2003
10-14|~|~|~|~|Mortality|10444875|Corpus and Uterus, NOS|2003
15-19|~|~|~|~|Mortality|10086567|Corpus and Uterus, NOS|2003
5-9|~|~|~|~|Mortality|9581247|Corpus and Uterus, NOS|2003
<1|~|~|~|~|Mortality|1942634|Corpus and Uterus, NOS|2003
1-4|~|~|~|~|Incidence|7636693|Corpus and Uterus, NOS|2003
10-14|~|~|~|~|Incidence|10444875|Corpus and Uterus, NOS|2003
15-19|~|~|~|~|Incidence|10086567|Corpus and Uterus, NOS|2003
5-9|~|~|~|~|Incidence|9581247|Corpus and Uterus, NOS|2003
<1|~|~|~|~|Incidence|1942634|Corpus and Uterus, NOS|2003
1-4|~|~|~|~|Mortality|15616575|Esophagus|2003
10-14|~|~|~|~|Mortality|21415353|Esophagus|2003
15-19|~|~|~|~|Mortality|20797166|Esophagus|2003
5-9|~|~|~|~|Mortality|19620851|Esophagus|2003
<1|~|~|~|~|Mortality|3975871|Esophagus|2003
1-4|~|~|~|~|Incidence|15616575|Esophagus|2003
10-14|~|~|~|~|Incidence|21415353|Esophagus|2003
15-19|~|~|~|~|Incidence|20797166|Esophagus|2003
5-9|~|~|~|~|Incidence|19620851|Esophagus|2003
<1|~|~|~|~|Incidence|3975871|Esophagus|2003
1-4|~|~|~|~|Mortality|7636693|Female Breast|2003
10-14|~|~|~|~|Mortality|10444875|Female Breast|2003
15-19|~|~|~|~|Mortality|10086567|Female Breast|2003
5-9|~|~|~|~|Mortality|9581247|Female Breast|2003
<1|~|~|~|~|Mortality|1942634|Female Breast|2003
1-4|~|~|~|~|Incidence|7636693|Female Breast|2003
10-14|~|~|~|~|Incidence|10444875|Female Breast|2003
15-19|0.1|0.3|0.2|19|Incidence|10086567|Female Breast|2003
5-9|~|~|~|~|Incidence|9581247|Female Breast|2003
<1|~|~|~|~|Incidence|1942634|Female Breast|2003
1-4|~|~|~|~|Incidence|7636693|Female Breast, <i>in situ</i>|2003
10-14|~|~|~|~|Incidence|10444875|Female Breast, <i>in situ</i>|2003
15-19|~|~|~|~|Incidence|10086567|Female Breast, <i>in situ</i>|2003
5-9|~|~|~|~|Incidence|9581247|Female Breast, <i>in situ</i>|2003
<1|~|~|~|~|Incidence|1942634|Female Breast, <i>in situ</i>|2003
1-4|~|~|~|~|Mortality|15616575|Hodgkin Lymphoma|2003
10-14|~|~|~|~|Mortality|21415353|Hodgkin Lymphoma|2003
15-19|0.0|0.1|0.1|16|Mortality|20797166|Hodgkin Lymphoma|2003
5-9|~|~|~|~|Mortality|19620851|Hodgkin Lymphoma|2003
<1|~|~|~|~|Mortality|3975871|Hodgkin Lymphoma|2003
1-4|0.1|0.2|0.1|19|Incidence|15616575|Hodgkin Lymphoma|2003
10-14|1.1|1.4|1.2|256|Incidence|21415353|Hodgkin Lymphoma|2003
15-19|2.9|3.4|3.2|663|Incidence|20797166|Hodgkin Lymphoma|2003
5-9|0.4|0.6|0.4|88|Incidence|19620851|Hodgkin Lymphoma|2003
<1|~|~|~|~|Incidence|3975871|Hodgkin Lymphoma|2003
1-4|.|.|.|.|Mortality|15616575|Kaposi Sarcoma|2003
10-14|.|.|.|.|Mortality|21415353|Kaposi Sarcoma|2003
15-19|.|.|.|.|Mortality|20797166|Kaposi Sarcoma|2003
5-9|.|.|.|.|Mortality|19620851|Kaposi Sarcoma|2003
<1|.|.|.|.|Mortality|3975871|Kaposi Sarcoma|2003
1-4|~|~|~|~|Incidence|15616575|Kaposi Sarcoma|2003
10-14|~|~|~|~|Incidence|21415353|Kaposi Sarcoma|2003
15-19|~|~|~|~|Incidence|20797166|Kaposi Sarcoma|2003
5-9|~|~|~|~|Incidence|19620851|Kaposi Sarcoma|2003
<1|~|~|~|~|Incidence|3975871|Kaposi Sarcoma|2003
1-4|~|~|~|~|Mortality|15616575|Kidney and Renal Pelvis|2003
10-14|~|~|~|~|Mortality|21415353|Kidney and Renal Pelvis|2003
15-19|~|~|~|~|Mortality|20797166|Kidney and Renal Pelvis|2003
5-9|0.1|0.2|0.1|28|Mortality|19620851|Kidney and Renal Pelvis|2003
<1|~|~|~|~|Mortality|3975871|Kidney and Renal Pelvis|2003
1-4|1.8|2.3|2.0|317|Incidence|15616575|Kidney and Renal Pelvis|2003
10-14|0.1|0.2|0.2|34|Incidence|21415353|Kidney and Renal Pelvis|2003
15-19|0.1|0.2|0.1|31|Incidence|20797166|Kidney and Renal Pelvis|2003
5-9|0.4|0.6|0.5|103|Incidence|19620851|Kidney and Renal Pelvis|2003
<1|1.5|2.3|1.9|74|Incidence|3975871|Kidney and Renal Pelvis|2003
1-4|~|~|~|~|Mortality|15616575|Larynx|2003
10-14|~|~|~|~|Mortality|21415353|Larynx|2003
15-19|~|~|~|~|Mortality|20797166|Larynx|2003
5-9|~|~|~|~|Mortality|19620851|Larynx|2003
<1|~|~|~|~|Mortality|3975871|Larynx|2003
1-4|~|~|~|~|Incidence|15616575|Larynx|2003
10-14|~|~|~|~|Incidence|21415353|Larynx|2003
15-19|~|~|~|~|Incidence|20797166|Larynx|2003
5-9|~|~|~|~|Incidence|19620851|Larynx|2003
<1|~|~|~|~|Incidence|3975871|Larynx|2003
1-4|0.7|1.0|0.9|133|Mortality|15616575|Leukemias|2003
10-14|0.7|1.0|0.9|186|Mortality|21415353|Leukemias|2003
15-19|0.8|1.0|0.9|183|Mortality|20797166|Leukemias|2003
5-9|0.7|0.9|0.8|156|Mortality|19620851|Leukemias|2003
<1|0.5|1.1|0.8|30|Mortality|3975871|Leukemias|2003
1-4|7.7|8.6|8.1|1266|Incidence|15616575|Leukemias|2003
10-14|2.3|2.8|2.6|547|Incidence|21415353|Leukemias|2003
15-19|2.5|3.0|2.7|566|Incidence|20797166|Leukemias|2003
5-9|3.6|4.1|3.9|757|Incidence|19620851|Leukemias|2003
<1|3.8|5.2|4.5|177|Incidence|3975871|Leukemias|2003
1-4|0.1|0.2|0.1|23|Mortality|15616575|Liver and Intrahepatic Bile Duct|2003
10-14|~|~|~|~|Mortality|21415353|Liver and Intrahepatic Bile Duct|2003
15-19|~|~|~|~|Mortality|20797166|Liver and Intrahepatic Bile Duct|2003
5-9|~|~|~|~|Mortality|19620851|Liver and Intrahepatic Bile Duct|2003
<1|~|~|~|~|Mortality|3975871|Liver and Intrahepatic Bile Duct|2003
1-4|0.4|0.6|0.5|72|Incidence|15616575|Liver and Intrahepatic Bile Duct|2003
10-14|0.1|0.2|0.1|28|Incidence|21415353|Liver and Intrahepatic Bile Duct|2003
15-19|0.1|0.2|0.1|24|Incidence|20797166|Liver and Intrahepatic Bile Duct|2003
5-9|0.1|0.1|0.1|17|Incidence|19620851|Liver and Intrahepatic Bile Duct|2003
<1|1.0|1.8|1.4|55|Incidence|3975871|Liver and Intrahepatic Bile Duct|2003
1-4|~|~|~|~|Mortality|15616575|Lung and Bronchus|2003
10-14|~|~|~|~|Mortality|21415353|Lung and Bronchus|2003
15-19|~|~|~|~|Mortality|20797166|Lung and Bronchus|2003
5-9|~|~|~|~|Mortality|19620851|Lung and Bronchus|2003
<1|~|~|~|~|Mortality|3975871|Lung and Bronchus|2003
1-4|~|~|~|~|Incidence|15616575|Lung and Bronchus|2003
10-14|~|~|~|~|Incidence|21415353|Lung and Bronchus|2003
15-19|0.1|0.2|0.1|26|Incidence|20797166|Lung and Bronchus|2003
5-9|~|~|~|~|Incidence|19620851|Lung and Bronchus|2003
<1|~|~|~|~|Incidence|3975871|Lung and Bronchus|2003
1-4|~|~|~|~|Mortality|7636693|Male and Female Breast|2003
10-14|~|~|~|~|Mortality|10444875|Male and Female Breast|2003
15-19|~|~|~|~|Mortality|10086567|Male and Female Breast|2003
5-9|~|~|~|~|Mortality|9581247|Male and Female Breast|2003
<1|~|~|~|~|Mortality|1942634|Male and Female Breast|2003
1-4|~|~|~|~|Incidence|7636693|Male and Female Breast|2003
10-14|~|~|~|~|Incidence|10444875|Male and Female Breast|2003
15-19|0.1|0.3|0.2|19|Incidence|10086567|Male and Female Breast|2003
5-9|~|~|~|~|Incidence|9581247|Male and Female Breast|2003
<1|~|~|~|~|Incidence|1942634|Male and Female Breast|2003
1-4|~|~|~|~|Incidence|7636693|Male and Female Breast, <i>in situ</i>|2003
10-14|~|~|~|~|Incidence|10444875|Male and Female Breast, <i>in situ</i>|2003
15-19|~|~|~|~|Incidence|10086567|Male and Female Breast, <i>in situ</i>|2003
5-9|~|~|~|~|Incidence|9581247|Male and Female Breast, <i>in situ</i>|2003
<1|~|~|~|~|Incidence|1942634|Male and Female Breast, <i>in situ</i>|2003
1-4|~|~|~|~|Mortality|15616575|Melanomas of the Skin|2003
10-14|~|~|~|~|Mortality|21415353|Melanomas of the Skin|2003
15-19|~|~|~|~|Mortality|20797166|Melanomas of the Skin|2003
5-9|~|~|~|~|Mortality|19620851|Melanomas of the Skin|2003
<1|~|~|~|~|Mortality|3975871|Melanomas of the Skin|2003
1-4|~|~|~|~|Incidence|15616575|Melanomas of the Skin|2003
10-14|0.3|0.5|0.4|78|Incidence|21415353|Melanomas of the Skin|2003
15-19|1.6|1.9|1.7|362|Incidence|20797166|Melanomas of the Skin|2003
5-9|~|~|~|~|Incidence|19620851|Melanomas of the Skin|2003
<1|~|~|~|~|Incidence|3975871|Melanomas of the Skin|2003
1-4|~|~|~|~|Mortality|15616575|Mesothelioma|2003
10-14|~|~|~|~|Mortality|21415353|Mesothelioma|2003
15-19|~|~|~|~|Mortality|20797166|Mesothelioma|2003
5-9|~|~|~|~|Mortality|19620851|Mesothelioma|2003
<1|~|~|~|~|Mortality|3975871|Mesothelioma|2003
1-4|~|~|~|~|Incidence|15616575|Mesothelioma|2003
10-14|~|~|~|~|Incidence|21415353|Mesothelioma|2003
15-19|~|~|~|~|Incidence|20797166|Mesothelioma|2003
5-9|~|~|~|~|Incidence|19620851|Mesothelioma|2003
<1|~|~|~|~|Incidence|3975871|Mesothelioma|2003
1-4|~|~|~|~|Mortality|15616575|Myeloma|2003
10-14|~|~|~|~|Mortality|21415353|Myeloma|2003
15-19|~|~|~|~|Mortality|20797166|Myeloma|2003
5-9|~|~|~|~|Mortality|19620851|Myeloma|2003
<1|~|~|~|~|Mortality|3975871|Myeloma|2003
1-4|~|~|~|~|Incidence|15616575|Myeloma|2003
10-14|~|~|~|~|Incidence|21415353|Myeloma|2003
15-19|~|~|~|~|Incidence|20797166|Myeloma|2003
5-9|~|~|~|~|Incidence|19620851|Myeloma|2003
<1|~|~|~|~|Incidence|3975871|Myeloma|2003
1-4|~|~|~|~|Mortality|15616575|Non-Hodgkin Lymphoma|2003
10-14|0.1|0.2|0.1|28|Mortality|21415353|Non-Hodgkin Lymphoma|2003
15-19|0.2|0.3|0.3|53|Mortality|20797166|Non-Hodgkin Lymphoma|2003
5-9|0.1|0.1|0.1|17|Mortality|19620851|Non-Hodgkin Lymphoma|2003
<1|~|~|~|~|Mortality|3975871|Non-Hodgkin Lymphoma|2003
1-4|0.6|0.9|0.7|116|Incidence|15616575|Non-Hodgkin Lymphoma|2003
10-14|0.9|1.2|1.0|218|Incidence|21415353|Non-Hodgkin Lymphoma|2003
15-19|1.4|1.8|1.6|334|Incidence|20797166|Non-Hodgkin Lymphoma|2003
5-9|0.9|1.2|1.0|203|Incidence|19620851|Non-Hodgkin Lymphoma|2003
<1|~|~|~|~|Incidence|3975871|Non-Hodgkin Lymphoma|2003
1-4|~|~|~|~|Mortality|15616575|Oral Cavity and Pharynx|2003
10-14|~|~|~|~|Mortality|21415353|Oral Cavity and Pharynx|2003
15-19|~|~|~|~|Mortality|20797166|Oral Cavity and Pharynx|2003
5-9|~|~|~|~|Mortality|19620851|Oral Cavity and Pharynx|2003
<1|~|~|~|~|Mortality|3975871|Oral Cavity and Pharynx|2003
1-4|~|~|~|~|Incidence|15616575|Oral Cavity and Pharynx|2003
10-14|0.2|0.4|0.3|58|Incidence|21415353|Oral Cavity and Pharynx|2003
15-19|0.4|0.6|0.5|107|Incidence|20797166|Oral Cavity and Pharynx|2003
5-9|0.1|0.2|0.2|31|Incidence|19620851|Oral Cavity and Pharynx|2003
<1|~|~|~|~|Incidence|3975871|Oral Cavity and Pharynx|2003
1-4|~|~|~|~|Mortality|7636693|Ovary|2003
10-14|~|~|~|~|Mortality|10444875|Ovary|2003
15-19|~|~|~|~|Mortality|10086567|Ovary|2003
5-9|~|~|~|~|Mortality|9581247|Ovary|2003
<1|~|~|~|~|Mortality|1942634|Ovary|2003
1-4|~|~|~|~|Incidence|7636693|Ovary|2003
10-14|0.6|0.9|0.7|76|Incidence|10444875|Ovary|2003
15-19|1.0|1.5|1.3|127|Incidence|10086567|Ovary|2003
5-9|~|~|~|~|Incidence|9581247|Ovary|2003
<1|~|~|~|~|Incidence|1942634|Ovary|2003
1-4|~|~|~|~|Mortality|15616575|Pancreas|2003
10-14|~|~|~|~|Mortality|21415353|Pancreas|2003
15-19|~|~|~|~|Mortality|20797166|Pancreas|2003
5-9|~|~|~|~|Mortality|19620851|Pancreas|2003
<1|~|~|~|~|Mortality|3975871|Pancreas|2003
1-4|~|~|~|~|Incidence|15616575|Pancreas|2003
10-14|~|~|~|~|Incidence|21415353|Pancreas|2003
15-19|~|~|~|~|Incidence|20797166|Pancreas|2003
5-9|~|~|~|~|Incidence|19620851|Pancreas|2003
<1|~|~|~|~|Incidence|3975871|Pancreas|2003
1-4|~|~|~|~|Mortality|7979882|Prostate|2003
10-14|~|~|~|~|Mortality|10970478|Prostate|2003
15-19|~|~|~|~|Mortality|10710599|Prostate|2003
5-9|~|~|~|~|Mortality|10039604|Prostate|2003
<1|~|~|~|~|Mortality|2033237|Prostate|2003
1-4|~|~|~|~|Incidence|7979882|Prostate|2003
10-14|~|~|~|~|Incidence|10970478|Prostate|2003
15-19|~|~|~|~|Incidence|10710599|Prostate|2003
5-9|~|~|~|~|Incidence|10039604|Prostate|2003
<1|~|~|~|~|Incidence|2033237|Prostate|2003
1-4|~|~|~|~|Mortality|15616575|Stomach|2003
10-14|~|~|~|~|Mortality|21415353|Stomach|2003
15-19|~|~|~|~|Mortality|20797166|Stomach|2003
5-9|~|~|~|~|Mortality|19620851|Stomach|2003
<1|~|~|~|~|Mortality|3975871|Stomach|2003
1-4|~|~|~|~|Incidence|15616575|Stomach|2003
10-14|~|~|~|~|Incidence|21415353|Stomach|2003
15-19|~|~|~|~|Incidence|20797166|Stomach|2003
5-9|~|~|~|~|Incidence|19620851|Stomach|2003
<1|~|~|~|~|Incidence|3975871|Stomach|2003
1-4|~|~|~|~|Mortality|7979882|Testis|2003
10-14|~|~|~|~|Mortality|10970478|Testis|2003
15-19|~|~|~|~|Mortality|10710599|Testis|2003
5-9|~|~|~|~|Mortality|10039604|Testis|2003
<1|~|~|~|~|Mortality|2033237|Testis|2003
1-4|0.2|0.4|0.3|24|Incidence|7979882|Testis|2003
10-14|0.2|0.3|0.2|26|Incidence|10970478|Testis|2003
15-19|3.0|3.7|3.3|354|Incidence|10710599|Testis|2003
5-9|~|~|~|~|Incidence|10039604|Testis|2003
<1|0.4|1.3|0.8|16|Incidence|2033237|Testis|2003
1-4|~|~|~|~|Mortality|15616575|Thyroid|2003
10-14|~|~|~|~|Mortality|21415353|Thyroid|2003
15-19|~|~|~|~|Mortality|20797166|Thyroid|2003
5-9|~|~|~|~|Mortality|19620851|Thyroid|2003
<1|~|~|~|~|Mortality|3975871|Thyroid|2003
1-4|~|~|~|~|Incidence|15616575|Thyroid|2003
10-14|0.4|0.6|0.5|113|Incidence|21415353|Thyroid|2003
15-19|1.6|2.0|1.8|371|Incidence|20797166|Thyroid|2003
5-9|~|~|~|~|Incidence|19620851|Thyroid|2003
<1|~|~|~|~|Incidence|3975871|Thyroid|2003
1-4|~|~|~|~|Mortality|15616575|Urinary Bladder|2003
10-14|~|~|~|~|Mortality|21415353|Urinary Bladder|2003
15-19|~|~|~|~|Mortality|20797166|Urinary Bladder|2003
5-9|~|~|~|~|Mortality|19620851|Urinary Bladder|2003
<1|~|~|~|~|Mortality|3975871|Urinary Bladder|2003
1-4|~|~|~|~|Incidence|15616575|Urinary Bladder|2003
10-14|~|~|~|~|Incidence|21415353|Urinary Bladder|2003
15-19|0.1|0.2|0.1|22|Incidence|20797166|Urinary Bladder|2003
5-9|~|~|~|~|Incidence|19620851|Urinary Bladder|2003
<1|~|~|~|~|Incidence|3975871|Urinary Bladder|2003
1-4|2.3|2.8|2.5|399|Mortality|15771627|All Cancer Sites Combined|2004
10-14|2.1|2.5|2.3|493|Mortality|21411680|All Cancer Sites Combined|2004
15-19|3.2|3.7|3.5|731|Mortality|21102552|All Cancer Sites Combined|2004
5-9|2.5|2.9|2.7|526|Mortality|19454237|All Cancer Sites Combined|2004
<1|1.4|2.3|1.8|74|Mortality|4014258|All Cancer Sites Combined|2004
1-4|21.5|23.0|22.3|3513|Incidence|15771627|All Cancer Sites Combined|2004
10-14|12.9|13.9|13.4|2859|Incidence|21411680|All Cancer Sites Combined|2004
15-19|21.0|22.2|21.6|4559|Incidence|21102552|All Cancer Sites Combined|2004
5-9|11.5|12.4|11.9|2323|Incidence|19454237|All Cancer Sites Combined|2004
<1|24.2|27.4|25.8|1034|Incidence|4014258|All Cancer Sites Combined|2004
1-4|0.5|0.8|0.6|102|Mortality|15771627|Brain and Other Nervous System|2004
10-14|0.5|0.8|0.6|139|Mortality|21411680|Brain and Other Nervous System|2004
15-19|0.4|0.6|0.5|109|Mortality|21102552|Brain and Other Nervous System|2004
5-9|0.8|1.1|1.0|186|Mortality|19454237|Brain and Other Nervous System|2004
<1|0.3|0.7|0.5|19|Mortality|4014258|Brain and Other Nervous System|2004
1-4|4.2|4.9|4.6|720|Incidence|15771627|Brain and Other Nervous System|2004
10-14|2.5|2.9|2.7|578|Incidence|21411680|Brain and Other Nervous System|2004
15-19|2.1|2.5|2.3|492|Incidence|21102552|Brain and Other Nervous System|2004
5-9|3.3|3.9|3.6|696|Incidence|19454237|Brain and Other Nervous System|2004
<1|3.6|4.9|4.2|169|Incidence|4014258|Brain and Other Nervous System|2004
1-4|~|~|~|~|Mortality|7713175|Cervix|2004
10-14|~|~|~|~|Mortality|10443706|Cervix|2004
15-19|~|~|~|~|Mortality|10242793|Cervix|2004
5-9|~|~|~|~|Mortality|9503231|Cervix|2004
<1|~|~|~|~|Mortality|1962216|Cervix|2004
1-4|~|~|~|~|Incidence|7713175|Cervix|2004
10-14|~|~|~|~|Incidence|10443706|Cervix|2004
15-19|0.1|0.3|0.2|17|Incidence|10242793|Cervix|2004
5-9|~|~|~|~|Incidence|9503231|Cervix|2004
<1|~|~|~|~|Incidence|1962216|Cervix|2004
1-4|~|~|~|~|Mortality|15771627|Colon and Rectum|2004
10-14|~|~|~|~|Mortality|21411680|Colon and Rectum|2004
15-19|~|~|~|~|Mortality|21102552|Colon and Rectum|2004
5-9|~|~|~|~|Mortality|19454237|Colon and Rectum|2004
<1|~|~|~|~|Mortality|4014258|Colon and Rectum|2004
1-4|~|~|~|~|Incidence|15771627|Colon and Rectum|2004
10-14|~|~|~|~|Incidence|21411680|Colon and Rectum|2004
15-19|0.2|0.3|0.3|54|Incidence|21102552|Colon and Rectum|2004
5-9|~|~|~|~|Incidence|19454237|Colon and Rectum|2004
<1|~|~|~|~|Incidence|4014258|Colon and Rectum|2004
1-4|~|~|~|~|Mortality|7713175|Corpus and Uterus, NOS|2004
10-14|~|~|~|~|Mortality|10443706|Corpus and Uterus, NOS|2004
15-19|~|~|~|~|Mortality|10242793|Corpus and Uterus, NOS|2004
5-9|~|~|~|~|Mortality|9503231|Corpus and Uterus, NOS|2004
<1|~|~|~|~|Mortality|1962216|Corpus and Uterus, NOS|2004
1-4|~|~|~|~|Incidence|7713175|Corpus and Uterus, NOS|2004
10-14|~|~|~|~|Incidence|10443706|Corpus and Uterus, NOS|2004
15-19|~|~|~|~|Incidence|10242793|Corpus and Uterus, NOS|2004
5-9|~|~|~|~|Incidence|9503231|Corpus and Uterus, NOS|2004
<1|~|~|~|~|Incidence|1962216|Corpus and Uterus, NOS|2004
1-4|~|~|~|~|Mortality|15771627|Esophagus|2004
10-14|~|~|~|~|Mortality|21411680|Esophagus|2004
15-19|~|~|~|~|Mortality|21102552|Esophagus|2004
5-9|~|~|~|~|Mortality|19454237|Esophagus|2004
<1|~|~|~|~|Mortality|4014258|Esophagus|2004
1-4|~|~|~|~|Incidence|15771627|Esophagus|2004
10-14|~|~|~|~|Incidence|21411680|Esophagus|2004
15-19|~|~|~|~|Incidence|21102552|Esophagus|2004
5-9|~|~|~|~|Incidence|19454237|Esophagus|2004
<1|~|~|~|~|Incidence|4014258|Esophagus|2004
1-4|~|~|~|~|Mortality|7713175|Female Breast|2004
10-14|~|~|~|~|Mortality|10443706|Female Breast|2004
15-19|~|~|~|~|Mortality|10242793|Female Breast|2004
5-9|~|~|~|~|Mortality|9503231|Female Breast|2004
<1|~|~|~|~|Mortality|1962216|Female Breast|2004
1-4|~|~|~|~|Incidence|7713175|Female Breast|2004
10-14|~|~|~|~|Incidence|10443706|Female Breast|2004
15-19|0.1|0.3|0.2|17|Incidence|10242793|Female Breast|2004
5-9|~|~|~|~|Incidence|9503231|Female Breast|2004
<1|~|~|~|~|Incidence|1962216|Female Breast|2004
1-4|~|~|~|~|Incidence|7713175|Female Breast, <i>in situ</i>|2004
10-14|~|~|~|~|Incidence|10443706|Female Breast, <i>in situ</i>|2004
15-19|~|~|~|~|Incidence|10242793|Female Breast, <i>in situ</i>|2004
5-9|~|~|~|~|Incidence|9503231|Female Breast, <i>in situ</i>|2004
<1|~|~|~|~|Incidence|1962216|Female Breast, <i>in situ</i>|2004
1-4|~|~|~|~|Mortality|15771627|Hodgkin Lymphoma|2004
10-14|~|~|~|~|Mortality|21411680|Hodgkin Lymphoma|2004
15-19|0.0|0.1|0.1|17|Mortality|21102552|Hodgkin Lymphoma|2004
5-9|~|~|~|~|Mortality|19454237|Hodgkin Lymphoma|2004
<1|~|~|~|~|Mortality|4014258|Hodgkin Lymphoma|2004
1-4|~|~|~|~|Incidence|15771627|Hodgkin Lymphoma|2004
10-14|1.0|1.3|1.1|242|Incidence|21411680|Hodgkin Lymphoma|2004
15-19|2.9|3.4|3.1|661|Incidence|21102552|Hodgkin Lymphoma|2004
5-9|0.3|0.4|0.3|68|Incidence|19454237|Hodgkin Lymphoma|2004
<1|~|~|~|~|Incidence|4014258|Hodgkin Lymphoma|2004
1-4|.|.|.|.|Mortality|15771627|Kaposi Sarcoma|2004
10-14|.|.|.|.|Mortality|21411680|Kaposi Sarcoma|2004
15-19|.|.|.|.|Mortality|21102552|Kaposi Sarcoma|2004
5-9|.|.|.|.|Mortality|19454237|Kaposi Sarcoma|2004
<1|.|.|.|.|Mortality|4014258|Kaposi Sarcoma|2004
1-4|~|~|~|~|Incidence|15771627|Kaposi Sarcoma|2004
10-14|~|~|~|~|Incidence|21411680|Kaposi Sarcoma|2004
15-19|~|~|~|~|Incidence|21102552|Kaposi Sarcoma|2004
5-9|~|~|~|~|Incidence|19454237|Kaposi Sarcoma|2004
<1|~|~|~|~|Incidence|4014258|Kaposi Sarcoma|2004
1-4|0.1|0.2|0.1|18|Mortality|15771627|Kidney and Renal Pelvis|2004
10-14|~|~|~|~|Mortality|21411680|Kidney and Renal Pelvis|2004
15-19|~|~|~|~|Mortality|21102552|Kidney and Renal Pelvis|2004
5-9|0.1|0.2|0.1|23|Mortality|19454237|Kidney and Renal Pelvis|2004
