AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
1.3|2.0|1.6|101|I(c) Chronic myeloproliferative diseases|60681615|0-14|All Races|Male and Female|2007|||
1.2|1.9|1.5|95|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|60681615|0-14|All Races|Male and Female|2007|||
0.9|1.5|1.2|72|I(e) Unspecified and other specified leukemias|60681615|0-14|All Races|Male and Female|2007|||
15.6|17.7|16.6|1009|II Lymphomas and reticuloendothelial neoplasms|60681615|0-14|All Races|Male and Female|2007|||
4.9|6.0|5.4|329|II(a) Hodgkin lymphomas|60681615|0-14|All Races|Male and Female|2007|||
6.4|7.7|7.0|425|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|60681615|0-14|All Races|Male and Female|2007|||
2.3|3.1|2.7|161|II(c) Burkitt lymphoma|60681615|0-14|All Races|Male and Female|2007|||
1.0|1.6|1.3|81|II(d) Miscellaneous lymphoreticular neoplasms|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|II(e) Unspecified lymphomas|60681615|0-14|All Races|Male and Female|2007|||
33.5|36.5|35.0|2125|III CNS and misc intracranial and intraspinal neoplasms|60681615|0-14|All Races|Male and Female|2007|||
2.5|3.4|2.9|177|III(a) Ependymomas and choroid plexus tumor|60681615|0-14|All Races|Male and Female|2007|||
15.6|17.7|16.6|1010|III(b) Astrocytomas|60681615|0-14|All Races|Male and Female|2007|||
7.0|8.4|7.7|468|III(c) Intracranial and intraspinal embryonal tumors|60681615|0-14|All Races|Male and Female|2007|||
5.9|7.2|6.5|393|III(d) Other gliomas|60681615|0-14|All Races|Male and Female|2007|||
0.5|1.0|0.7|45|III(e) Other specified intracranial & intraspinal neoplasms|60681615|0-14|All Races|Male and Female|2007|||
0.4|0.7|0.5|32|III(f) Unspecified intracranial and intraspinal neoplasms|60681615|0-14|All Races|Male and Female|2007|||
10.9|12.6|11.8|734|IV Neuroblastoma and other peripheral nervous cell tumors|60681615|0-14|All Races|Male and Female|2007|||
10.7|12.4|11.6|722|IV(a) Neuroblastoma and ganglioneuroblastoma|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|60681615|0-14|All Races|Male and Female|2007|||
10.2|11.9|11.0|674|IX Soft tissue and other extraosseous sarcomas|60681615|0-14|All Races|Male and Female|2007|||
5.1|6.4|5.7|349|IX(a) Rhabdomyosarcomas|60681615|0-14|All Races|Male and Female|2007|||
0.9|1.4|1.1|71|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|IX(c) Kaposi sarcoma|60681615|0-14|All Races|Male and Female|2007|||
2.9|3.8|3.3|202|IX(d) Other specified soft tissue sarcomas|60681615|0-14|All Races|Male and Female|2007|||
0.6|1.1|0.8|51|IX(e) Unspecified soft tissue sarcomas|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|Not classified by ICCC|60681615|0-14|All Races|Male and Female|2007|||
3.7|4.8|4.2|266|V Retinoblastoma|60681615|0-14|All Races|Male and Female|2007|||
7.9|9.4|8.6|528|VI Renal tumors|60681615|0-14|All Races|Male and Female|2007|||
7.5|8.9|8.1|501|VI(a) Nephroblastoma and other nonepithelial renal tumors|60681615|0-14|All Races|Male and Female|2007|||
0.3|0.6|0.4|26|VI(b) Renal carcinomas|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|60681615|0-14|All Races|Male and Female|2007|||
2.2|3.0|2.6|159|VII Hepatic tumors|60681615|0-14|All Races|Male and Female|2007|||
1.9|2.7|2.3|141|VII(a) Hepatoblastoma|60681615|0-14|All Races|Male and Female|2007|||
0.2|0.5|0.3|18|VII(b) Hepatic carcinomas|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|60681615|0-14|All Races|Male and Female|2007|||
6.2|7.5|6.8|412|VIII Malignant bone tumors|60681615|0-14|All Races|Male and Female|2007|||
3.2|4.2|3.7|221|VIII(a) Osteosarcomas|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|VIII(b) Chondrosarcomas|60681615|0-14|All Races|Male and Female|2007|||
2.1|2.9|2.5|151|VIII(c) Ewing tumor and related sarcomas of bone|60681615|0-14|All Races|Male and Female|2007|||
0.2|0.4|0.3|16|VIII(d) Other specified malignant bone tumors|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|60681615|0-14|All Races|Male and Female|2007|||
4.9|6.1|5.5|337|X Germ cell, trophoblastic tumors & neoplasms of gonads|60681615|0-14|All Races|Male and Female|2007|||
1.1|1.7|1.4|85|X(a) Intracranial & intraspinal germ cell tumors|60681615|0-14|All Races|Male and Female|2007|||
1.0|1.6|1.3|82|X(b) Malignant extracranial & extragonadal germ cell tumors|60681615|0-14|All Races|Male and Female|2007|||
2.2|3.0|2.6|157|X(c) Malignant gonadal germ cell tumors|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|X(d) Gonadal carcinomas|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|60681615|0-14|All Races|Male and Female|2007|||
6.0|7.3|6.7|405|XI Other malignant epithelial neoplasms and malignant melanomas|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|XI(a) Adrenocortical carcinomas|60681615|0-14|All Races|Male and Female|2007|||
1.9|2.7|2.2|137|XI(b) Thyroid carcinomas|60681615|0-14|All Races|Male and Female|2007|||
0.2|0.4|0.3|17|XI(c) Nasopharyngeal carcinomas|60681615|0-14|All Races|Male and Female|2007|||
1.8|2.6|2.2|132|XI(d) Malignant melanomas|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|XI(e) Skin carcinomas|60681615|0-14|All Races|Male and Female|2007|||
1.4|2.1|1.7|103|XI(f) Other and unspecified carcinomas|60681615|0-14|All Races|Male and Female|2007|||
0.5|0.9|0.7|42|XII Other and unspecified malignant neoplasms|60681615|0-14|All Races|Male and Female|2007|||
0.2|0.6|0.4|23|XII(a) Other specified malignant tumors|60681615|0-14|All Races|Male and Female|2007|||
0.2|0.5|0.3|19|XII(b) Other unspecified malignant tumors|60681615|0-14|All Races|Male and Female|2007|||
160.7|167.2|163.9|10059|All ICCC Groups Combined|60907384|0-14|All Races|Male and Female|2008|||
52.0|55.7|53.9|3306|I Leukemias, myeloproliferative & myelodysplastic diseases|60907384|0-14|All Races|Male and Female|2008|||
39.4|42.6|41.0|2514|I(a) Lymphoid leukemias|60907384|0-14|All Races|Male and Female|2008|||
7.3|8.7|8.0|491|I(b) Acute myeloid leukemias|60907384|0-14|All Races|Male and Female|2008|||
1.7|2.5|2.1|129|I(c) Chronic myeloproliferative diseases|60907384|0-14|All Races|Male and Female|2008|||
1.4|2.0|1.7|103|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|60907384|0-14|All Races|Male and Female|2008|||
0.9|1.4|1.1|69|I(e) Unspecified and other specified leukemias|60907384|0-14|All Races|Male and Female|2008|||
16.1|18.2|17.1|1037|II Lymphomas and reticuloendothelial neoplasms|60907384|0-14|All Races|Male and Female|2008|||
5.7|6.9|6.3|380|II(a) Hodgkin lymphomas|60907384|0-14|All Races|Male and Female|2008|||
6.1|7.4|6.7|408|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|60907384|0-14|All Races|Male and Female|2008|||
2.3|3.1|2.7|162|II(c) Burkitt lymphoma|60907384|0-14|All Races|Male and Female|2008|||
0.9|1.5|1.2|73|II(d) Miscellaneous lymphoreticular neoplasms|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|II(e) Unspecified lymphomas|60907384|0-14|All Races|Male and Female|2008|||
33.6|36.6|35.0|2140|III CNS and misc intracranial and intraspinal neoplasms|60907384|0-14|All Races|Male and Female|2008|||
2.3|3.1|2.7|163|III(a) Ependymomas and choroid plexus tumor|60907384|0-14|All Races|Male and Female|2008|||
16.2|18.4|17.3|1053|III(b) Astrocytomas|60907384|0-14|All Races|Male and Female|2008|||
7.4|8.8|8.1|497|III(c) Intracranial and intraspinal embryonal tumors|60907384|0-14|All Races|Male and Female|2008|||
5.3|6.6|5.9|361|III(d) Other gliomas|60907384|0-14|All Races|Male and Female|2008|||
0.5|1.0|0.7|44|III(e) Other specified intracranial & intraspinal neoplasms|60907384|0-14|All Races|Male and Female|2008|||
0.2|0.5|0.4|22|III(f) Unspecified intracranial and intraspinal neoplasms|60907384|0-14|All Races|Male and Female|2008|||
10.1|11.8|10.9|684|IV Neuroblastoma and other peripheral nervous cell tumors|60907384|0-14|All Races|Male and Female|2008|||
9.8|11.5|10.6|667|IV(a) Neuroblastoma and ganglioneuroblastoma|60907384|0-14|All Races|Male and Female|2008|||
0.2|0.4|0.3|17|IV(b) Other peripheral nervous cell tumors|60907384|0-14|All Races|Male and Female|2008|||
10.1|11.8|11.0|671|IX Soft tissue and other extraosseous sarcomas|60907384|0-14|All Races|Male and Female|2008|||
4.8|5.9|5.3|326|IX(a) Rhabdomyosarcomas|60907384|0-14|All Races|Male and Female|2008|||
0.7|1.2|0.9|57|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|IX(c) Kaposi sarcoma|60907384|0-14|All Races|Male and Female|2008|||
3.0|3.9|3.4|209|IX(d) Other specified soft tissue sarcomas|60907384|0-14|All Races|Male and Female|2008|||
1.0|1.6|1.3|78|IX(e) Unspecified soft tissue sarcomas|60907384|0-14|All Races|Male and Female|2008|||
0.1|0.4|0.3|16|Not classified by ICCC|60907384|0-14|All Races|Male and Female|2008|||
3.7|4.7|4.2|263|V Retinoblastoma|60907384|0-14|All Races|Male and Female|2008|||
8.3|9.8|9.0|557|VI Renal tumors|60907384|0-14|All Races|Male and Female|2008|||
7.8|9.3|8.5|530|VI(a) Nephroblastoma and other nonepithelial renal tumors|60907384|0-14|All Races|Male and Female|2008|||
0.3|0.6|0.4|25|VI(b) Renal carcinomas|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|60907384|0-14|All Races|Male and Female|2008|||
2.2|3.1|2.6|164|VII Hepatic tumors|60907384|0-14|All Races|Male and Female|2008|||
1.9|2.6|2.2|140|VII(a) Hepatoblastoma|60907384|0-14|All Races|Male and Female|2008|||
0.3|0.6|0.4|24|VII(b) Hepatic carcinomas|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|60907384|0-14|All Races|Male and Female|2008|||
6.2|7.5|6.8|413|VIII Malignant bone tumors|60907384|0-14|All Races|Male and Female|2008|||
3.4|4.4|3.8|231|VIII(a) Osteosarcomas|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|VIII(b) Chondrosarcomas|60907384|0-14|All Races|Male and Female|2008|||
2.1|2.9|2.5|149|VIII(c) Ewing tumor and related sarcomas of bone|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|VIII(d) Other specified malignant bone tumors|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|60907384|0-14|All Races|Male and Female|2008|||
4.7|5.9|5.3|324|X Germ cell, trophoblastic tumors & neoplasms of gonads|60907384|0-14|All Races|Male and Female|2008|||
1.1|1.7|1.4|82|X(a) Intracranial & intraspinal germ cell tumors|60907384|0-14|All Races|Male and Female|2008|||
1.1|1.7|1.4|89|X(b) Malignant extracranial & extragonadal germ cell tumors|60907384|0-14|All Races|Male and Female|2008|||
1.9|2.7|2.3|142|X(c) Malignant gonadal germ cell tumors|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|X(d) Gonadal carcinomas|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|60907384|0-14|All Races|Male and Female|2008|||
6.6|8.0|7.3|445|XI Other malignant epithelial neoplasms and malignant melanomas|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|XI(a) Adrenocortical carcinomas|60907384|0-14|All Races|Male and Female|2008|||
2.2|3.0|2.6|158|XI(b) Thyroid carcinomas|60907384|0-14|All Races|Male and Female|2008|||
0.2|0.4|0.3|17|XI(c) Nasopharyngeal carcinomas|60907384|0-14|All Races|Male and Female|2008|||
1.9|2.7|2.3|138|XI(d) Malignant melanomas|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|XI(e) Skin carcinomas|60907384|0-14|All Races|Male and Female|2008|||
1.5|2.3|1.9|114|XI(f) Other and unspecified carcinomas|60907384|0-14|All Races|Male and Female|2008|||
0.4|0.9|0.6|39|XII Other and unspecified malignant neoplasms|60907384|0-14|All Races|Male and Female|2008|||
0.2|0.6|0.4|24|XII(a) Other specified malignant tumors|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|XII(b) Other unspecified malignant tumors|60907384|0-14|All Races|Male and Female|2008|||
159.2|165.6|162.4|9975|All ICCC Groups Combined|61087581|0-14|All Races|Male and Female|2009|||
50.4|54.0|52.2|3217|I Leukemias, myeloproliferative & myelodysplastic diseases|61087581|0-14|All Races|Male and Female|2009|||
39.2|42.4|40.8|2513|I(a) Lymphoid leukemias|61087581|0-14|All Races|Male and Female|2009|||
6.6|7.9|7.2|446|I(b) Acute myeloid leukemias|61087581|0-14|All Races|Male and Female|2009|||
1.3|1.9|1.6|95|I(c) Chronic myeloproliferative diseases|61087581|0-14|All Races|Male and Female|2009|||
1.2|1.8|1.5|93|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|61087581|0-14|All Races|Male and Female|2009|||
0.9|1.4|1.1|70|I(e) Unspecified and other specified leukemias|61087581|0-14|All Races|Male and Female|2009|||
15.8|17.9|16.8|1024|II Lymphomas and reticuloendothelial neoplasms|61087581|0-14|All Races|Male and Female|2009|||
5.1|6.4|5.7|347|II(a) Hodgkin lymphomas|61087581|0-14|All Races|Male and Female|2009|||
6.3|7.7|7.0|424|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|61087581|0-14|All Races|Male and Female|2009|||
2.0|2.8|2.4|143|II(c) Burkitt lymphoma|61087581|0-14|All Races|Male and Female|2009|||
1.3|1.9|1.6|99|II(d) Miscellaneous lymphoreticular neoplasms|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|II(e) Unspecified lymphomas|61087581|0-14|All Races|Male and Female|2009|||
33.6|36.6|35.1|2150|III CNS and misc intracranial and intraspinal neoplasms|61087581|0-14|All Races|Male and Female|2009|||
2.2|3.0|2.5|157|III(a) Ependymomas and choroid plexus tumor|61087581|0-14|All Races|Male and Female|2009|||
16.3|18.4|17.3|1059|III(b) Astrocytomas|61087581|0-14|All Races|Male and Female|2009|||
6.9|8.3|7.6|466|III(c) Intracranial and intraspinal embryonal tumors|61087581|0-14|All Races|Male and Female|2009|||
6.0|7.3|6.6|402|III(d) Other gliomas|61087581|0-14|All Races|Male and Female|2009|||
0.4|0.8|0.6|34|III(e) Other specified intracranial & intraspinal neoplasms|61087581|0-14|All Races|Male and Female|2009|||
0.4|0.7|0.5|32|III(f) Unspecified intracranial and intraspinal neoplasms|61087581|0-14|All Races|Male and Female|2009|||
10.0|11.6|10.8|670|IV Neuroblastoma and other peripheral nervous cell tumors|61087581|0-14|All Races|Male and Female|2009|||
9.8|11.4|10.6|660|IV(a) Neuroblastoma and ganglioneuroblastoma|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|61087581|0-14|All Races|Male and Female|2009|||
9.9|11.6|10.7|656|IX Soft tissue and other extraosseous sarcomas|61087581|0-14|All Races|Male and Female|2009|||
4.0|5.0|4.5|274|IX(a) Rhabdomyosarcomas|61087581|0-14|All Races|Male and Female|2009|||
1.0|1.6|1.3|78|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|IX(c) Kaposi sarcoma|61087581|0-14|All Races|Male and Female|2009|||
3.3|4.3|3.8|231|IX(d) Other specified soft tissue sarcomas|61087581|0-14|All Races|Male and Female|2009|||
0.9|1.5|1.2|73|IX(e) Unspecified soft tissue sarcomas|61087581|0-14|All Races|Male and Female|2009|||
0.2|0.6|0.4|23|Not classified by ICCC|61087581|0-14|All Races|Male and Female|2009|||
4.0|5.0|4.5|280|V Retinoblastoma|61087581|0-14|All Races|Male and Female|2009|||
8.5|10.0|9.2|571|VI Renal tumors|61087581|0-14|All Races|Male and Female|2009|||
7.9|9.3|8.6|533|VI(a) Nephroblastoma and other nonepithelial renal tumors|61087581|0-14|All Races|Male and Female|2009|||
0.4|0.8|0.6|36|VI(b) Renal carcinomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|61087581|0-14|All Races|Male and Female|2009|||
1.9|2.6|2.2|138|VII Hepatic tumors|61087581|0-14|All Races|Male and Female|2009|||
1.5|2.2|1.9|117|VII(a) Hepatoblastoma|61087581|0-14|All Races|Male and Female|2009|||
0.2|0.5|0.3|19|VII(b) Hepatic carcinomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|61087581|0-14|All Races|Male and Female|2009|||
6.4|7.7|7.0|427|VIII Malignant bone tumors|61087581|0-14|All Races|Male and Female|2009|||
3.5|4.5|4.0|241|VIII(a) Osteosarcomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|VIII(b) Chondrosarcomas|61087581|0-14|All Races|Male and Female|2009|||
2.0|2.8|2.4|144|VIII(c) Ewing tumor and related sarcomas of bone|61087581|0-14|All Races|Male and Female|2009|||
0.3|0.6|0.4|24|VIII(d) Other specified malignant bone tumors|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|61087581|0-14|All Races|Male and Female|2009|||
4.9|6.1|5.4|333|X Germ cell, trophoblastic tumors & neoplasms of gonads|61087581|0-14|All Races|Male and Female|2009|||
1.1|1.7|1.4|84|X(a) Intracranial & intraspinal germ cell tumors|61087581|0-14|All Races|Male and Female|2009|||
0.9|1.5|1.2|73|X(b) Malignant extracranial & extragonadal germ cell tumors|61087581|0-14|All Races|Male and Female|2009|||
2.2|3.1|2.6|161|X(c) Malignant gonadal germ cell tumors|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|X(d) Gonadal carcinomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|61087581|0-14|All Races|Male and Female|2009|||
6.5|7.9|7.2|436|XI Other malignant epithelial neoplasms and malignant melanomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|XI(a) Adrenocortical carcinomas|61087581|0-14|All Races|Male and Female|2009|||
2.5|3.3|2.9|175|XI(b) Thyroid carcinomas|61087581|0-14|All Races|Male and Female|2009|||
0.3|0.6|0.4|25|XI(c) Nasopharyngeal carcinomas|61087581|0-14|All Races|Male and Female|2009|||
1.4|2.1|1.7|104|XI(d) Malignant melanomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|XI(e) Skin carcinomas|61087581|0-14|All Races|Male and Female|2009|||
1.5|2.2|1.9|113|XI(f) Other and unspecified carcinomas|61087581|0-14|All Races|Male and Female|2009|||
0.6|1.1|0.8|50|XII Other and unspecified malignant neoplasms|61087581|0-14|All Races|Male and Female|2009|||
0.2|0.5|0.3|20|XII(a) Other specified malignant tumors|61087581|0-14|All Races|Male and Female|2009|||
0.3|0.7|0.5|30|XII(b) Other unspecified malignant tumors|61087581|0-14|All Races|Male and Female|2009|||
165.5|168.4|166.9|50755|All ICCC Groups Combined|302940629|0-14|All Races|Male and Female|2009-2013|||
51.5|53.2|52.3|15953|I Leukemias, myeloproliferative & myelodysplastic diseases|302940629|0-14|All Races|Male and Female|2009-2013|||
39.3|40.7|40.0|12195|I(a) Lymphoid leukemias|302940629|0-14|All Races|Male and Female|2009-2013|||
7.2|7.8|7.5|2284|I(b) Acute myeloid leukemias|302940629|0-14|All Races|Male and Female|2009-2013|||
1.5|1.8|1.7|507|I(c) Chronic myeloproliferative diseases|302940629|0-14|All Races|Male and Female|2009-2013|||
1.4|1.7|1.6|473|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|302940629|0-14|All Races|Male and Female|2009-2013|||
1.5|1.8|1.6|494|I(e) Unspecified and other specified leukemias|302940629|0-14|All Races|Male and Female|2009-2013|||
19.3|20.3|19.8|5999|II Lymphomas and reticuloendothelial neoplasms|302940629|0-14|All Races|Male and Female|2009-2013|||
5.2|5.7|5.5|1644|II(a) Hodgkin lymphomas|302940629|0-14|All Races|Male and Female|2009-2013|||
6.8|7.4|7.1|2133|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|302940629|0-14|All Races|Male and Female|2009-2013|||
2.2|2.6|2.4|728|II(c) Burkitt lymphoma|302940629|0-14|All Races|Male and Female|2009-2013|||
4.4|4.9|4.7|1425|II(d) Miscellaneous lymphoreticular neoplasms|302940629|0-14|All Races|Male and Female|2009-2013|||
0.2|0.3|0.2|69|II(e) Unspecified lymphomas|302940629|0-14|All Races|Male and Female|2009-2013|||
34.4|35.7|35.0|10635|III CNS and misc intracranial and intraspinal neoplasms|302940629|0-14|All Races|Male and Female|2009-2013|||
2.8|3.2|3.0|922|III(a) Ependymomas and choroid plexus tumor|302940629|0-14|All Races|Male and Female|2009-2013|||
17.4|18.3|17.8|5413|III(b) Astrocytomas|302940629|0-14|All Races|Male and Female|2009-2013|||
6.9|7.5|7.2|2181|III(c) Intracranial and intraspinal embryonal tumors|302940629|0-14|All Races|Male and Female|2009-2013|||
5.6|6.2|5.9|1788|III(d) Other gliomas|302940629|0-14|All Races|Male and Female|2009-2013|||
0.5|0.7|0.6|177|III(e) Other specified intracranial & intraspinal neoplasms|302940629|0-14|All Races|Male and Female|2009-2013|||
0.4|0.6|0.5|154|III(f) Unspecified intracranial and intraspinal neoplasms|302940629|0-14|All Races|Male and Female|2009-2013|||
10.9|11.7|11.3|3456|IV Neuroblastoma and other peripheral nervous cell tumors|302940629|0-14|All Races|Male and Female|2009-2013|||
10.7|11.5|11.1|3395|IV(a) Neuroblastoma and ganglioneuroblastoma|302940629|0-14|All Races|Male and Female|2009-2013|||
0.2|0.3|0.2|61|IV(b) Other peripheral nervous cell tumors|302940629|0-14|All Races|Male and Female|2009-2013|||
10.7|11.4|11.0|3350|IX Soft tissue and other extraosseous sarcomas|302940629|0-14|All Races|Male and Female|2009-2013|||
4.8|5.4|5.1|1549|IX(a) Rhabdomyosarcomas|302940629|0-14|All Races|Male and Female|2009-2013|||
1.0|1.2|1.1|327|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|302940629|0-14|All Races|Male and Female|2009-2013|||
~|~|~|~|IX(c) Kaposi sarcoma|302940629|0-14|All Races|Male and Female|2009-2013|||
3.5|3.9|3.7|1120|IX(d) Other specified soft tissue sarcomas|302940629|0-14|All Races|Male and Female|2009-2013|||
1.0|1.3|1.1|347|IX(e) Unspecified soft tissue sarcomas|302940629|0-14|All Races|Male and Female|2009-2013|||
0.2|0.3|0.3|85|Not classified by ICCC|302940629|0-14|All Races|Male and Female|2009-2013|||
4.1|4.6|4.3|1335|V Retinoblastoma|302940629|0-14|All Races|Male and Female|2009-2013|||
8.5|9.2|8.8|2701|VI Renal tumors|302940629|0-14|All Races|Male and Female|2009-2013|||
8.0|8.7|8.4|2565|VI(a) Nephroblastoma and other nonepithelial renal tumors|302940629|0-14|All Races|Male and Female|2009-2013|||
0.3|0.5|0.4|122|VI(b) Renal carcinomas|302940629|0-14|All Races|Male and Female|2009-2013|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|302940629|0-14|All Races|Male and Female|2009-2013|||
2.7|3.1|2.9|885|VII Hepatic tumors|302940629|0-14|All Races|Male and Female|2009-2013|||
2.3|2.6|2.4|753|VII(a) Hepatoblastoma|302940629|0-14|All Races|Male and Female|2009-2013|||
0.3|0.5|0.4|123|VII(b) Hepatic carcinomas|302940629|0-14|All Races|Male and Female|2009-2013|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|302940629|0-14|All Races|Male and Female|2009-2013|||
6.8|7.4|7.1|2144|VIII Malignant bone tumors|302940629|0-14|All Races|Male and Female|2009-2013|||
3.7|4.2|4.0|1195|VIII(a) Osteosarcomas|302940629|0-14|All Races|Male and Female|2009-2013|||
0.1|0.2|0.2|46|VIII(b) Chondrosarcomas|302940629|0-14|All Races|Male and Female|2009-2013|||
2.3|2.7|2.5|759|VIII(c) Ewing tumor and related sarcomas of bone|302940629|0-14|All Races|Male and Female|2009-2013|||
0.3|0.4|0.3|101|VIII(d) Other specified malignant bone tumors|302940629|0-14|All Races|Male and Female|2009-2013|||
0.1|0.2|0.1|43|VIII(e) Unspecified malignant bone tumors|302940629|0-14|All Races|Male and Female|2009-2013|||
5.2|5.8|5.5|1665|X Germ cell, trophoblastic tumors & neoplasms of gonads|302940629|0-14|All Races|Male and Female|2009-2013|||
1.4|1.7|1.6|471|X(a) Intracranial & intraspinal germ cell tumors|302940629|0-14|All Races|Male and Female|2009-2013|||
1.2|1.4|1.3|391|X(b) Malignant extracranial & extragonadal germ cell tumors|302940629|0-14|All Races|Male and Female|2009-2013|||
2.2|2.5|2.4|716|X(c) Malignant gonadal germ cell tumors|302940629|0-14|All Races|Male and Female|2009-2013|||
0.1|0.2|0.1|35|X(d) Gonadal carcinomas|302940629|0-14|All Races|Male and Female|2009-2013|||
0.1|0.2|0.2|52|X(e) Other and unspecified malignant gonadal tumors|302940629|0-14|All Races|Male and Female|2009-2013|||
7.4|8.1|7.7|2332|XI Other malignant epithelial neoplasms and malignant melanomas|302940629|0-14|All Races|Male and Female|2009-2013|||
0.2|0.3|0.2|68|XI(a) Adrenocortical carcinomas|302940629|0-14|All Races|Male and Female|2009-2013|||
3.0|3.4|3.2|958|XI(b) Thyroid carcinomas|302940629|0-14|All Races|Male and Female|2009-2013|||
0.3|0.4|0.3|98|XI(c) Nasopharyngeal carcinomas|302940629|0-14|All Races|Male and Female|2009-2013|||
1.8|2.1|2.0|591|XI(d) Malignant melanomas|302940629|0-14|All Races|Male and Female|2009-2013|||
0.0|0.1|0.1|16|XI(e) Skin carcinomas|302940629|0-14|All Races|Male and Female|2009-2013|||
1.8|2.2|2.0|601|XI(f) Other and unspecified carcinomas|302940629|0-14|All Races|Male and Female|2009-2013|||
0.6|0.8|0.7|215|XII Other and unspecified malignant neoplasms|302940629|0-14|All Races|Male and Female|2009-2013|||
0.3|0.4|0.3|106|XII(a) Other specified malignant tumors|302940629|0-14|All Races|Male and Female|2009-2013|||
0.3|0.4|0.4|109|XII(b) Other unspecified malignant tumors|302940629|0-14|All Races|Male and Female|2009-2013|||
165.9|172.4|169.1|10400|All ICCC Groups Combined|61202418|0-14|All Races|Male and Female|2010|||
52.3|56.0|54.1|3337|I Leukemias, myeloproliferative & myelodysplastic diseases|61202418|0-14|All Races|Male and Female|2010|||
39.3|42.5|40.8|2520|I(a) Lymphoid leukemias|61202418|0-14|All Races|Male and Female|2010|||
7.1|8.5|7.7|476|I(b) Acute myeloid leukemias|61202418|0-14|All Races|Male and Female|2010|||
1.6|2.3|1.9|117|I(c) Chronic myeloproliferative diseases|61202418|0-14|All Races|Male and Female|2010|||
1.6|2.3|1.9|119|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|61202418|0-14|All Races|Male and Female|2010|||
