AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0-19|~|~|~|Malignant|~|42367071|Male|Hemangioblastoma|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|42541971|Male|Hemangioblastoma|2008|~|~|~
0-19|~|~|~|Malignant|~|42541971|Male|Hemangioblastoma|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|42609915|Male|Hemangioblastoma|2009|~|~|~
0-19|~|~|~|Malignant|~|42609915|Male|Hemangioblastoma|2009|~|~|~
0-19|0.0|0.0|0.0|Benign/Borderline|87|209926607|Male|Hemangioblastoma|2009-2013|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|209926607|Male|Hemangioblastoma|2009-2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|42551070|Male|Hemangioblastoma|2010|~|~|~
0-19|~|~|~|Malignant|~|42551070|Male|Hemangioblastoma|2010|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|23|42005181|Male|Hemangioblastoma|2011|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|42005181|Male|Hemangioblastoma|2011|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|21|41820286|Male|Hemangioblastoma|2012|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|41820286|Male|Hemangioblastoma|2012|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|16|41693957|Male|Hemangioblastoma|2013|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|41693957|Male|Hemangioblastoma|2013|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|26|41889233|Male|Hemangioma|2004|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|41889233|Male|Hemangioma|2004|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|19|42006384|Male|Hemangioma|2005|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|42006384|Male|Hemangioma|2005|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|31|42158997|Male|Hemangioma|2006|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|42158997|Male|Hemangioma|2006|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|52|42367071|Male|Hemangioma|2007|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|42367071|Male|Hemangioma|2007|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|36|42541971|Male|Hemangioma|2008|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|42541971|Male|Hemangioma|2008|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|58|42609915|Male|Hemangioma|2009|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|42609915|Male|Hemangioma|2009|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|274|209926607|Male|Hemangioma|2009-2013|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|209926607|Male|Hemangioma|2009-2013|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|48|42551070|Male|Hemangioma|2010|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|42551070|Male|Hemangioma|2010|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|61|42005181|Male|Hemangioma|2011|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|42005181|Male|Hemangioma|2011|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|58|41820286|Male|Hemangioma|2012|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|41820286|Male|Hemangioma|2012|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|49|41693957|Male|Hemangioma|2013|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|41693957|Male|Hemangioma|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|41889233|Male|Local Extensions from Regional Tumors|2004|~|~|~
0-19|~|~|~|Malignant|~|41889233|Male|Local Extensions from Regional Tumors|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|42006384|Male|Local Extensions from Regional Tumors|2005|~|~|~
0-19|~|~|~|Malignant|~|42006384|Male|Local Extensions from Regional Tumors|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|42158997|Male|Local Extensions from Regional Tumors|2006|~|~|~
0-19|~|~|~|Malignant|~|42158997|Male|Local Extensions from Regional Tumors|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|42367071|Male|Local Extensions from Regional Tumors|2007|~|~|~
0-19|~|~|~|Malignant|~|42367071|Male|Local Extensions from Regional Tumors|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|42541971|Male|Local Extensions from Regional Tumors|2008|~|~|~
0-19|~|~|~|Malignant|~|42541971|Male|Local Extensions from Regional Tumors|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|42609915|Male|Local Extensions from Regional Tumors|2009|~|~|~
0-19|~|~|~|Malignant|~|42609915|Male|Local Extensions from Regional Tumors|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|209926607|Male|Local Extensions from Regional Tumors|2009-2013|~|~|~
0-19|~|~|~|Malignant|~|209926607|Male|Local Extensions from Regional Tumors|2009-2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|42551070|Male|Local Extensions from Regional Tumors|2010|~|~|~
0-19|~|~|~|Malignant|~|42551070|Male|Local Extensions from Regional Tumors|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|42005181|Male|Local Extensions from Regional Tumors|2011|~|~|~
0-19|~|~|~|Malignant|~|42005181|Male|Local Extensions from Regional Tumors|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|41820286|Male|Local Extensions from Regional Tumors|2012|~|~|~
0-19|~|~|~|Malignant|~|41820286|Male|Local Extensions from Regional Tumors|2012|~|~|~
0-19|~|~|~|Benign/Borderline|~|41693957|Male|Local Extensions from Regional Tumors|2013|~|~|~
0-19|~|~|~|Malignant|~|41693957|Male|Local Extensions from Regional Tumors|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|41889233|Male|Lymphomas and Hematopoietic Neoplasms|2004|~|~|~
0-19|~|~|~|Malignant|~|41889233|Male|Lymphomas and Hematopoietic Neoplasms|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|42006384|Male|Lymphomas and Hematopoietic Neoplasms|2005|~|~|~
0-19|~|~|~|Malignant|~|42006384|Male|Lymphomas and Hematopoietic Neoplasms|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|42158997|Male|Lymphomas and Hematopoietic Neoplasms|2006|~|~|~
0-19|~|~|~|Malignant|~|42158997|Male|Lymphomas and Hematopoietic Neoplasms|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|42367071|Male|Lymphomas and Hematopoietic Neoplasms|2007|~|~|~
0-19|~|~|~|Malignant|~|42367071|Male|Lymphomas and Hematopoietic Neoplasms|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|42541971|Male|Lymphomas and Hematopoietic Neoplasms|2008|~|~|~
0-19|~|~|~|Malignant|~|42541971|Male|Lymphomas and Hematopoietic Neoplasms|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|42609915|Male|Lymphomas and Hematopoietic Neoplasms|2009|~|~|~
0-19|~|~|~|Malignant|~|42609915|Male|Lymphomas and Hematopoietic Neoplasms|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|209926607|Male|Lymphomas and Hematopoietic Neoplasms|2009-2013|~|~|~
0-19|0.0|0.0|0.0|Malignant|38|209926607|Male|Lymphomas and Hematopoietic Neoplasms|2009-2013|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|42551070|Male|Lymphomas and Hematopoietic Neoplasms|2010|~|~|~
0-19|~|~|~|Malignant|~|42551070|Male|Lymphomas and Hematopoietic Neoplasms|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|42005181|Male|Lymphomas and Hematopoietic Neoplasms|2011|~|~|~
0-19|~|~|~|Malignant|~|42005181|Male|Lymphomas and Hematopoietic Neoplasms|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|41820286|Male|Lymphomas and Hematopoietic Neoplasms|2012|~|~|~
0-19|~|~|~|Malignant|~|41820286|Male|Lymphomas and Hematopoietic Neoplasms|2012|~|~|~
0-19|~|~|~|Benign/Borderline|~|41693957|Male|Lymphomas and Hematopoietic Neoplasms|2013|~|~|~
0-19|~|~|~|Malignant|~|41693957|Male|Lymphomas and Hematopoietic Neoplasms|2013|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|45|41889233|Male|Meningioma|2004|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|41889233|Male|Meningioma|2004|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|52|42006384|Male|Meningioma|2005|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|42006384|Male|Meningioma|2005|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|51|42158997|Male|Meningioma|2006|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|42158997|Male|Meningioma|2006|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|49|42367071|Male|Meningioma|2007|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|42367071|Male|Meningioma|2007|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|55|42541971|Male|Meningioma|2008|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|42541971|Male|Meningioma|2008|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|59|42609915|Male|Meningioma|2009|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|42609915|Male|Meningioma|2009|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|284|209926607|Male|Meningioma|2009-2013|0.1|0.2|0.1
0-19|0.0|0.0|0.0|Malignant|18|209926607|Male|Meningioma|2009-2013|0.0|0.0|0.0
0-19|0.1|0.2|0.1|Benign/Borderline|53|42551070|Male|Meningioma|2010|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|42551070|Male|Meningioma|2010|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|64|42005181|Male|Meningioma|2011|0.1|0.2|0.2
0-19|~|~|~|Malignant|~|42005181|Male|Meningioma|2011|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|59|41820286|Male|Meningioma|2012|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|41820286|Male|Meningioma|2012|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|49|41693957|Male|Meningioma|2013|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|41693957|Male|Meningioma|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|41889233|Male|Mixed glioma|2004|~|~|~
0-19|~|~|~|Malignant|~|41889233|Male|Mixed glioma|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|42006384|Male|Mixed glioma|2005|~|~|~
0-19|~|~|~|Malignant|~|42006384|Male|Mixed glioma|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|42158997|Male|Mixed glioma|2006|~|~|~
0-19|~|~|~|Malignant|~|42158997|Male|Mixed glioma|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|42367071|Male|Mixed glioma|2007|~|~|~
0-19|0.0|0.1|0.0|Malignant|16|42367071|Male|Mixed glioma|2007|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|42541971|Male|Mixed glioma|2008|~|~|~
0-19|~|~|~|Malignant|~|42541971|Male|Mixed glioma|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|42609915|Male|Mixed glioma|2009|~|~|~
0-19|~|~|~|Malignant|~|42609915|Male|Mixed glioma|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|209926607|Male|Mixed glioma|2009-2013|~|~|~
0-19|0.0|0.0|0.0|Malignant|64|209926607|Male|Mixed glioma|2009-2013|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|42551070|Male|Mixed glioma|2010|~|~|~
0-19|0.0|0.1|0.0|Malignant|18|42551070|Male|Mixed glioma|2010|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|42005181|Male|Mixed glioma|2011|~|~|~
0-19|~|~|~|Malignant|~|42005181|Male|Mixed glioma|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|41820286|Male|Mixed glioma|2012|~|~|~
0-19|0.0|0.1|0.0|Malignant|16|41820286|Male|Mixed glioma|2012|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|41693957|Male|Mixed glioma|2013|~|~|~
0-19|~|~|~|Malignant|~|41693957|Male|Mixed glioma|2013|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|30|41889233|Male|Neoplasm, unspecified|2004|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|41889233|Male|Neoplasm, unspecified|2004|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|54|42006384|Male|Neoplasm, unspecified|2005|0.1|0.2|0.1
0-19|0.0|0.1|0.0|Malignant|18|42006384|Male|Neoplasm, unspecified|2005|0.0|0.1|0.0
0-19|0.1|0.2|0.1|Benign/Borderline|49|42158997|Male|Neoplasm, unspecified|2006|0.1|0.2|0.1
0-19|0.0|0.1|0.1|Malignant|26|42158997|Male|Neoplasm, unspecified|2006|0.0|0.1|0.1
0-19|0.1|0.2|0.1|Benign/Borderline|61|42367071|Male|Neoplasm, unspecified|2007|0.1|0.2|0.1
0-19|0.0|0.1|0.1|Malignant|23|42367071|Male|Neoplasm, unspecified|2007|0.0|0.1|0.1
0-19|0.1|0.1|0.1|Benign/Borderline|46|42541971|Male|Neoplasm, unspecified|2008|0.1|0.1|0.1
0-19|0.0|0.1|0.0|Malignant|19|42541971|Male|Neoplasm, unspecified|2008|0.0|0.1|0.0
0-19|0.2|0.3|0.2|Benign/Borderline|87|42609915|Male|Neoplasm, unspecified|2009|0.2|0.3|0.2
0-19|0.0|0.1|0.1|Malignant|23|42609915|Male|Neoplasm, unspecified|2009|0.0|0.1|0.1
0-19|0.1|0.2|0.2|Benign/Borderline|343|209926607|Male|Neoplasm, unspecified|2009-2013|0.1|0.2|0.2
0-19|0.0|0.1|0.0|Malignant|100|209926607|Male|Neoplasm, unspecified|2009-2013|0.0|0.1|0.0
0-19|0.1|0.2|0.2|Benign/Borderline|77|42551070|Male|Neoplasm, unspecified|2010|0.1|0.2|0.2
0-19|0.0|0.1|0.0|Malignant|17|42551070|Male|Neoplasm, unspecified|2010|0.0|0.1|0.0
0-19|0.1|0.2|0.2|Benign/Borderline|66|42005181|Male|Neoplasm, unspecified|2011|0.1|0.2|0.2
0-19|0.0|0.1|0.0|Malignant|16|42005181|Male|Neoplasm, unspecified|2011|0.0|0.1|0.0
0-19|0.1|0.2|0.1|Benign/Borderline|54|41820286|Male|Neoplasm, unspecified|2012|0.1|0.2|0.1
0-19|0.0|0.1|0.1|Malignant|27|41820286|Male|Neoplasm, unspecified|2012|0.0|0.1|0.1
0-19|0.1|0.2|0.1|Benign/Borderline|59|41693957|Male|Neoplasm, unspecified|2013|0.1|0.2|0.1
0-19|0.0|0.1|0.0|Malignant|17|41693957|Male|Neoplasm, unspecified|2013|0.0|0.1|0.0
0-19|0.2|0.4|0.3|Benign/Borderline|123|41889233|Male|Nerve sheath, benign and malignant|2004|0.2|0.4|0.3
0-19|~|~|~|Malignant|~|41889233|Male|Nerve sheath, benign and malignant|2004|~|~|~
0-19|0.2|0.3|0.3|Benign/Borderline|119|42006384|Male|Nerve sheath, benign and malignant|2005|0.2|0.3|0.3
0-19|~|~|~|Malignant|~|42006384|Male|Nerve sheath, benign and malignant|2005|~|~|~
0-19|0.3|0.5|0.4|Benign/Borderline|165|42158997|Male|Nerve sheath, benign and malignant|2006|0.3|0.5|0.4
0-19|~|~|~|Malignant|~|42158997|Male|Nerve sheath, benign and malignant|2006|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|150|42367071|Male|Nerve sheath, benign and malignant|2007|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|42367071|Male|Nerve sheath, benign and malignant|2007|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|135|42541971|Male|Nerve sheath, benign and malignant|2008|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|42541971|Male|Nerve sheath, benign and malignant|2008|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|146|42609915|Male|Nerve sheath, benign and malignant|2009|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|42609915|Male|Nerve sheath, benign and malignant|2009|~|~|~
0-19|0.3|0.3|0.3|Benign/Borderline|669|209926607|Male|Nerve sheath, benign and malignant|2009-2013|0.3|0.3|0.3
0-19|~|~|~|Malignant|~|209926607|Male|Nerve sheath, benign and malignant|2009-2013|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|129|42551070|Male|Nerve sheath, benign and malignant|2010|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|42551070|Male|Nerve sheath, benign and malignant|2010|~|~|~
0-19|0.2|0.4|0.3|Benign/Borderline|125|42005181|Male|Nerve sheath, benign and malignant|2011|0.2|0.4|0.3
0-19|~|~|~|Malignant|~|42005181|Male|Nerve sheath, benign and malignant|2011|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|141|41820286|Male|Nerve sheath, benign and malignant|2012|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|41820286|Male|Nerve sheath, benign and malignant|2012|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|129|41693957|Male|Nerve sheath, benign and malignant|2013|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|41693957|Male|Nerve sheath, benign and malignant|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|41889233|Male|Neuroepithelial|2004|~|~|~
0-19|~|~|~|Malignant|~|41889233|Male|Neuroepithelial|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|42006384|Male|Neuroepithelial|2005|~|~|~
0-19|~|~|~|Malignant|~|42006384|Male|Neuroepithelial|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|42158997|Male|Neuroepithelial|2006|~|~|~
0-19|~|~|~|Malignant|~|42158997|Male|Neuroepithelial|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|42367071|Male|Neuroepithelial|2007|~|~|~
0-19|~|~|~|Malignant|~|42367071|Male|Neuroepithelial|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|42541971|Male|Neuroepithelial|2008|~|~|~
0-19|~|~|~|Malignant|~|42541971|Male|Neuroepithelial|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|42609915|Male|Neuroepithelial|2009|~|~|~
0-19|~|~|~|Malignant|~|42609915|Male|Neuroepithelial|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|209926607|Male|Neuroepithelial|2009-2013|~|~|~
0-19|0.0|0.0|0.0|Malignant|18|209926607|Male|Neuroepithelial|2009-2013|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|42551070|Male|Neuroepithelial|2010|~|~|~
0-19|~|~|~|Malignant|~|42551070|Male|Neuroepithelial|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|42005181|Male|Neuroepithelial|2011|~|~|~
0-19|~|~|~|Malignant|~|42005181|Male|Neuroepithelial|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|41820286|Male|Neuroepithelial|2012|~|~|~
0-19|~|~|~|Malignant|~|41820286|Male|Neuroepithelial|2012|~|~|~
0-19|~|~|~|Benign/Borderline|~|41693957|Male|Neuroepithelial|2013|~|~|~
0-19|~|~|~|Malignant|~|41693957|Male|Neuroepithelial|2013|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|148|41889233|Male|Neuronal/glial, neuronal|2004|0.3|0.4|0.4
0-19|0.0|0.1|0.1|Malignant|29|41889233|Male|Neuronal/glial, neuronal|2004|0.0|0.1|0.1
0-19|0.3|0.4|0.4|Benign/Borderline|159|42006384|Male|Neuronal/glial, neuronal|2005|0.3|0.4|0.4
0-19|0.0|0.1|0.1|Malignant|30|42006384|Male|Neuronal/glial, neuronal|2005|0.0|0.1|0.1
0-19|0.3|0.4|0.4|Benign/Borderline|156|42158997|Male|Neuronal/glial, neuronal|2006|0.3|0.4|0.4
0-19|0.0|0.1|0.1|Malignant|28|42158997|Male|Neuronal/glial, neuronal|2006|0.0|0.1|0.1
0-19|0.3|0.5|0.4|Benign/Borderline|170|42367071|Male|Neuronal/glial, neuronal|2007|0.3|0.5|0.4
0-19|0.0|0.1|0.1|Malignant|30|42367071|Male|Neuronal/glial, neuronal|2007|0.0|0.1|0.1
0-19|0.3|0.5|0.4|Benign/Borderline|170|42541971|Male|Neuronal/glial, neuronal|2008|0.3|0.5|0.4
0-19|0.0|0.1|0.1|Malignant|29|42541971|Male|Neuronal/glial, neuronal|2008|0.0|0.1|0.1
0-19|0.3|0.4|0.4|Benign/Borderline|159|42609915|Male|Neuronal/glial, neuronal|2009|0.3|0.4|0.4
0-19|0.0|0.1|0.0|Malignant|17|42609915|Male|Neuronal/glial, neuronal|2009|0.0|0.1|0.0
0-19|0.4|0.4|0.4|Benign/Borderline|884|209926607|Male|Neuronal/glial, neuronal|2009-2013|0.4|0.4|0.4
0-19|0.0|0.1|0.0|Malignant|90|209926607|Male|Neuronal/glial, neuronal|2009-2013|0.0|0.1|0.0
0-19|0.3|0.5|0.4|Benign/Borderline|170|42551070|Male|Neuronal/glial, neuronal|2010|0.3|0.5|0.4
0-19|~|~|~|Malignant|~|42551070|Male|Neuronal/glial, neuronal|2010|~|~|~
0-19|0.4|0.5|0.4|Benign/Borderline|181|42005181|Male|Neuronal/glial, neuronal|2011|0.4|0.5|0.4
0-19|0.0|0.1|0.0|Malignant|19|42005181|Male|Neuronal/glial, neuronal|2011|0.0|0.1|0.0
0-19|0.4|0.5|0.5|Benign/Borderline|197|41820286|Male|Neuronal/glial, neuronal|2012|0.4|0.5|0.5
0-19|0.0|0.1|0.0|Malignant|18|41820286|Male|Neuronal/glial, neuronal|2012|0.0|0.1|0.0
0-19|0.4|0.5|0.4|Benign/Borderline|178|41693957|Male|Neuronal/glial, neuronal|2013|0.4|0.5|0.4
0-19|0.0|0.1|0.1|Malignant|21|41693957|Male|Neuronal/glial, neuronal|2013|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|41889233|Male|Oligodendroglioma|2004|~|~|~
0-19|0.1|0.1|0.1|Malignant|38|41889233|Male|Oligodendroglioma|2004|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|42006384|Male|Oligodendroglioma|2005|~|~|~
0-19|0.0|0.1|0.1|Malignant|29|42006384|Male|Oligodendroglioma|2005|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|42158997|Male|Oligodendroglioma|2006|~|~|~
0-19|0.0|0.1|0.1|Malignant|26|42158997|Male|Oligodendroglioma|2006|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|42367071|Male|Oligodendroglioma|2007|~|~|~
0-19|0.0|0.1|0.1|Malignant|23|42367071|Male|Oligodendroglioma|2007|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|42541971|Male|Oligodendroglioma|2008|~|~|~
0-19|0.0|0.1|0.1|Malignant|31|42541971|Male|Oligodendroglioma|2008|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|42609915|Male|Oligodendroglioma|2009|~|~|~
0-19|0.0|0.1|0.1|Malignant|25|42609915|Male|Oligodendroglioma|2009|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|209926607|Male|Oligodendroglioma|2009-2013|~|~|~
0-19|0.0|0.1|0.0|Malignant|105|209926607|Male|Oligodendroglioma|2009-2013|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|42551070|Male|Oligodendroglioma|2010|~|~|~
0-19|0.0|0.1|0.0|Malignant|21|42551070|Male|Oligodendroglioma|2010|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|42005181|Male|Oligodendroglioma|2011|~|~|~
0-19|0.0|0.1|0.0|Malignant|17|42005181|Male|Oligodendroglioma|2011|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|41820286|Male|Oligodendroglioma|2012|~|~|~
0-19|0.0|0.1|0.1|Malignant|24|41820286|Male|Oligodendroglioma|2012|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|41693957|Male|Oligodendroglioma|2013|~|~|~
0-19|0.0|0.1|0.0|Malignant|19|41693957|Male|Oligodendroglioma|2013|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|41889233|Male|Other mesenchymal|2004|~|~|~
0-19|~|~|~|Malignant|~|41889233|Male|Other mesenchymal|2004|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|22|42006384|Male|Other mesenchymal|2005|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|42006384|Male|Other mesenchymal|2005|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|17|42158997|Male|Other mesenchymal|2006|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|42158997|Male|Other mesenchymal|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|42367071|Male|Other mesenchymal|2007|~|~|~
0-19|~|~|~|Malignant|~|42367071|Male|Other mesenchymal|2007|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|19|42541971|Male|Other mesenchymal|2008|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|42541971|Male|Other mesenchymal|2008|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|20|42609915|Male|Other mesenchymal|2009|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|42609915|Male|Other mesenchymal|2009|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|148|209926607|Male|Other mesenchymal|2009-2013|0.1|0.1|0.1
0-19|0.0|0.0|0.0|Malignant|38|209926607|Male|Other mesenchymal|2009-2013|0.0|0.0|0.0
0-19|0.0|0.1|0.1|Benign/Borderline|24|42551070|Male|Other mesenchymal|2010|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|42551070|Male|Other mesenchymal|2010|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|32|42005181|Male|Other mesenchymal|2011|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|42005181|Male|Other mesenchymal|2011|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|40|41820286|Male|Other mesenchymal|2012|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|41820286|Male|Other mesenchymal|2012|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|32|41693957|Male|Other mesenchymal|2013|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|41693957|Male|Other mesenchymal|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|41889233|Male|Pilocytic astrocytoma|2004|~|~|~
0-19|0.8|1.0|0.9|Malignant|368|41889233|Male|Pilocytic astrocytoma|2004|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|42006384|Male|Pilocytic astrocytoma|2005|~|~|~
0-19|0.7|0.9|0.8|Malignant|344|42006384|Male|Pilocytic astrocytoma|2005|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|42158997|Male|Pilocytic astrocytoma|2006|~|~|~
0-19|0.8|0.9|0.8|Malignant|355|42158997|Male|Pilocytic astrocytoma|2006|0.8|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|42367071|Male|Pilocytic astrocytoma|2007|~|~|~
0-19|0.7|0.9|0.8|Malignant|346|42367071|Male|Pilocytic astrocytoma|2007|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|42541971|Male|Pilocytic astrocytoma|2008|~|~|~
0-19|0.8|1.0|0.9|Malignant|385|42541971|Male|Pilocytic astrocytoma|2008|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|42609915|Male|Pilocytic astrocytoma|2009|~|~|~
