"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	Deaths
	"Leukemias"	"35011-35043"	"Pennsylvania"	"42"	1125
	"Leukemias"	"35011-35043"	"Rhode Island"	"44"	98
	"Leukemias"	"35011-35043"	"South Carolina"	"45"	396
	"Leukemias"	"35011-35043"	"South Dakota"	"46"	89
	"Leukemias"	"35011-35043"	"Tennessee"	"47"	509
	"Leukemias"	"35011-35043"	"Texas"	"48"	1573
	"Leukemias"	"35011-35043"	"Utah"	"49"	143
	"Leukemias"	"35011-35043"	"Vermont"	"50"	44
	"Leukemias"	"35011-35043"	"Virginia"	"51"	543
	"Leukemias"	"35011-35043"	"Washington"	"53"	506
	"Leukemias"	"35011-35043"	"West Virginia"	"54"	176
	"Leukemias"	"35011-35043"	"Wisconsin"	"55"	543
	"Leukemias"	"35011-35043"	"Wyoming"	"56"	61
	"Liver"	"21071"	"Alabama"	"01"	334
	"Liver"	"21071"	"Alaska"	"02"	37
	"Liver"	"21071"	"Arizona"	"04"	438
	"Liver"	"21071"	"Arkansas"	"05"	198
	"Liver"	"21071"	"California"	"06"	2505
	"Liver"	"21071"	"Colorado"	"08"	242
	"Liver"	"21071"	"Connecticut"	"09"	158
	"Liver"	"21071"	"Delaware"	"10"	69
	"Liver"	"21071"	"District of Columbia"	"11"	57
	"Liver"	"21071"	"Florida"	"12"	1346
	"Liver"	"21071"	"Georgia"	"13"	528
	"Liver"	"21071"	"Hawaii"	"15"	107
	"Liver"	"21071"	"Idaho"	"16"	65
	"Liver"	"21071"	"Illinois"	"17"	678
	"Liver"	"21071"	"Indiana"	"18"	347
	"Liver"	"21071"	"Iowa"	"19"	132
	"Liver"	"21071"	"Kansas"	"20"	154
	"Liver"	"21071"	"Kentucky"	"21"	244
	"Liver"	"21071"	"Louisiana"	"22"	395
	"Liver"	"21071"	"Maine"	"23"	64
	"Liver"	"21071"	"Maryland"	"24"	362
	"Liver"	"21071"	"Massachusetts"	"25"	419
	"Liver"	"21071"	"Michigan"	"26"	566
	"Liver"	"21071"	"Minnesota"	"27"	199
	"Liver"	"21071"	"Mississippi"	"28"	224
	"Liver"	"21071"	"Missouri"	"29"	363
	"Liver"	"21071"	"Montana"	"30"	51
	"Liver"	"21071"	"Nebraska"	"31"	73
	"Liver"	"21071"	"Nevada"	"32"	158
	"Liver"	"21071"	"New Hampshire"	"33"	67
	"Liver"	"21071"	"New Jersey"	"34"	434
	"Liver"	"21071"	"New Mexico"	"35"	170
	"Liver"	"21071"	"New York"	"36"	1093
	"Liver"	"21071"	"North Carolina"	"37"	572
	"Liver"	"21071"	"North Dakota"	"38"	16
	"Liver"	"21071"	"Ohio"	"39"	599
	"Liver"	"21071"	"Oklahoma"	"40"	249
	"Liver"	"21071"	"Oregon"	"41"	260
	"Liver"	"21071"	"Pennsylvania"	"42"	726
	"Liver"	"21071"	"Rhode Island"	"44"	60
	"Liver"	"21071"	"South Carolina"	"45"	244
	"Liver"	"21071"	"South Dakota"	"46"	24
	"Liver"	"21071"	"Tennessee"	"47"	398
	"Liver"	"21071"	"Texas"	"48"	1694
	"Liver"	"21071"	"Utah"	"49"	91
	"Liver"	"21071"	"Vermont"	"50"	21
	"Liver"	"21071"	"Virginia"	"51"	400
	"Liver"	"21071"	"Washington"	"53"	399
	"Liver"	"21071"	"West Virginia"	"54"	88
	"Liver"	"21071"	"Wisconsin"	"55"	244
	"Liver"	"21071"	"Wyoming"	"56"	32
	"Lung and Bronchus"	"22030"	"Alabama"	"01"	3164
	"Lung and Bronchus"	"22030"	"Alaska"	"02"	273
	"Lung and Bronchus"	"22030"	"Arizona"	"04"	2783
	"Lung and Bronchus"	"22030"	"Arkansas"	"05"	2168
	"Lung and Bronchus"	"22030"	"California"	"06"	12464
	"Lung and Bronchus"	"22030"	"Colorado"	"08"	1561
	"Lung and Bronchus"	"22030"	"Connecticut"	"09"	1667
	"Lung and Bronchus"	"22030"	"Delaware"	"10"	552
	"Lung and Bronchus"	"22030"	"District of Columbia"	"11"	259
	"Lung and Bronchus"	"22030"	"Florida"	"12"	11915
	"Lung and Bronchus"	"22030"	"Georgia"	"13"	4594
	"Lung and Bronchus"	"22030"	"Hawaii"	"15"	556
	"Lung and Bronchus"	"22030"	"Idaho"	"16"	628
	"Lung and Bronchus"	"22030"	"Illinois"	"17"	6532
	"Lung and Bronchus"	"22030"	"Indiana"	"18"	4025
	"Lung and Bronchus"	"22030"	"Iowa"	"19"	1802
	"Lung and Bronchus"	"22030"	"Kansas"	"20"	1446
	"Lung and Bronchus"	"22030"	"Kentucky"	"21"	3559
	"Lung and Bronchus"	"22030"	"Louisiana"	"22"	2716
	"Lung and Bronchus"	"22030"	"Maine"	"23"	1025
	"Lung and Bronchus"	"22030"	"Maryland"	"24"	2672
	"Lung and Bronchus"	"22030"	"Massachusetts"	"25"	3332
	"Lung and Bronchus"	"22030"	"Michigan"	"26"	5758
	"Lung and Bronchus"	"22030"	"Minnesota"	"27"	2391
	"Lung and Bronchus"	"22030"	"Mississippi"	"28"	1975
	"Lung and Bronchus"	"22030"	"Missouri"	"29"	4000
	"Lung and Bronchus"	"22030"	"Montana"	"30"	490
	"Lung and Bronchus"	"22030"	"Nebraska"	"31"	913
	"Lung and Bronchus"	"22030"	"Nevada"	"32"	1335
	"Lung and Bronchus"	"22030"	"New Hampshire"	"33"	691
	"Lung and Bronchus"	"22030"	"New Jersey"	"34"	4006
	"Lung and Bronchus"	"22030"	"New Mexico"	"35"	736
	"Lung and Bronchus"	"22030"	"New York"	"36"	9074
	"Lung and Bronchus"	"22030"	"North Carolina"	"37"	5510
	"Lung and Bronchus"	"22030"	"North Dakota"	"38"	344
	"Lung and Bronchus"	"22030"	"Ohio"	"39"	7258
	"Lung and Bronchus"	"22030"	"Oklahoma"	"40"	2490
	"Lung and Bronchus"	"22030"	"Oregon"	"41"	2008
	"Lung and Bronchus"	"22030"	"Pennsylvania"	"42"	7536
	"Lung and Bronchus"	"22030"	"Rhode Island"	"44"	665
	"Lung and Bronchus"	"22030"	"South Carolina"	"45"	2833
	"Lung and Bronchus"	"22030"	"South Dakota"	"46"	415
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	4315
	"Lung and Bronchus"	"22030"	"Texas"	"48"	9439
	"Lung and Bronchus"	"22030"	"Utah"	"49"	437
	"Lung and Bronchus"	"22030"	"Vermont"	"50"	351
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	3894
	"Lung and Bronchus"	"22030"	"Washington"	"53"	3020
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	1437
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	2932
	"Lung and Bronchus"	"22030"	"Wyoming"	"56"	230
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	149
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	227
	"Melanoma of the Skin"	"25010"	"Arkansas"	"05"	92
	"Melanoma of the Skin"	"25010"	"California"	"06"	926
	"Melanoma of the Skin"	"25010"	"Colorado"	"08"	169
	"Melanoma of the Skin"	"25010"	"Connecticut"	"09"	98
	"Melanoma of the Skin"	"25010"	"Delaware"	"10"	29
	"Melanoma of the Skin"	"25010"	"Florida"	"12"	790
	"Melanoma of the Skin"	"25010"	"Georgia"	"13"	253
	"Melanoma of the Skin"	"25010"	"Hawaii"	"15"	29
	"Melanoma of the Skin"	"25010"	"Idaho"	"16"	66
	"Melanoma of the Skin"	"25010"	"Illinois"	"17"	384
	"Melanoma of the Skin"	"25010"	"Indiana"	"18"	230
	"Melanoma of the Skin"	"25010"	"Iowa"	"19"	105
	"Melanoma of the Skin"	"25010"	"Kansas"	"20"	111
	"Melanoma of the Skin"	"25010"	"Kentucky"	"21"	167
	"Melanoma of the Skin"	"25010"	"Louisiana"	"22"	110
	"Melanoma of the Skin"	"25010"	"Maine"	"23"	59
	"Melanoma of the Skin"	"25010"	"Maryland"	"24"	161
	"Melanoma of the Skin"	"25010"	"Massachusetts"	"25"	240
	"Melanoma of the Skin"	"25010"	"Michigan"	"26"	284
	"Melanoma of the Skin"	"25010"	"Minnesota"	"27"	164
	"Melanoma of the Skin"	"25010"	"Mississippi"	"28"	66
	"Melanoma of the Skin"	"25010"	"Missouri"	"29"	209
	"Melanoma of the Skin"	"25010"	"Montana"	"30"	33
	"Melanoma of the Skin"	"25010"	"Nebraska"	"31"	73
	"Melanoma of the Skin"	"25010"	"Nevada"	"32"	68
	"Melanoma of the Skin"	"25010"	"New Hampshire"	"33"	42
	"Melanoma of the Skin"	"25010"	"New Jersey"	"34"	252
	"Melanoma of the Skin"	"25010"	"New Mexico"	"35"	58
	"Melanoma of the Skin"	"25010"	"New York"	"36"	505
	"Melanoma of the Skin"	"25010"	"North Carolina"	"37"	293
	"Melanoma of the Skin"	"25010"	"North Dakota"	"38"	24
	"Melanoma of the Skin"	"25010"	"Ohio"	"39"	393
	"Melanoma of the Skin"	"25010"	"Oklahoma"	"40"	113
	"Melanoma of the Skin"	"25010"	"Oregon"	"41"	141
	"Melanoma of the Skin"	"25010"	"Pennsylvania"	"42"	449
	"Melanoma of the Skin"	"25010"	"Rhode Island"	"44"	31
	"Melanoma of the Skin"	"25010"	"South Carolina"	"45"	160
	"Melanoma of the Skin"	"25010"	"South Dakota"	"46"	21
	"Melanoma of the Skin"	"25010"	"Tennessee"	"47"	246
	"Melanoma of the Skin"	"25010"	"Texas"	"48"	547
	"Melanoma of the Skin"	"25010"	"Utah"	"49"	83
	"Melanoma of the Skin"	"25010"	"Vermont"	"50"	17
	"Melanoma of the Skin"	"25010"	"Virginia"	"51"	242
	"Melanoma of the Skin"	"25010"	"Washington"	"53"	211
	"Melanoma of the Skin"	"25010"	"West Virginia"	"54"	83
	"Melanoma of the Skin"	"25010"	"Wisconsin"	"55"	159
	"Melanoma of the Skin"	"25010"	"Wyoming"	"56"	16
	"Myeloma"	"34000"	"Alabama"	"01"	229
	"Myeloma"	"34000"	"Alaska"	"02"	17
	"Myeloma"	"34000"	"Arizona"	"04"	234
	"Myeloma"	"34000"	"Arkansas"	"05"	118
	"Myeloma"	"34000"	"California"	"06"	1152
	"Myeloma"	"34000"	"Colorado"	"08"	175
	"Myeloma"	"34000"	"Connecticut"	"09"	140
	"Myeloma"	"34000"	"Delaware"	"10"	37
	"Myeloma"	"34000"	"District of Columbia"	"11"	18
	"Myeloma"	"34000"	"Florida"	"12"	827
	"Myeloma"	"34000"	"Georgia"	"13"	374
	"Myeloma"	"34000"	"Hawaii"	"15"	43
	"Myeloma"	"34000"	"Idaho"	"16"	61
	"Myeloma"	"34000"	"Illinois"	"17"	469
	"Myeloma"	"34000"	"Indiana"	"18"	276
	"Myeloma"	"34000"	"Iowa"	"19"	127
	"Myeloma"	"34000"	"Kansas"	"20"	120
	"Myeloma"	"34000"	"Kentucky"	"21"	160
	"Myeloma"	"34000"	"Louisiana"	"22"	202
	"Myeloma"	"34000"	"Maine"	"23"	50
	"Myeloma"	"34000"	"Maryland"	"24"	231
	"Myeloma"	"34000"	"Massachusetts"	"25"	245
	"Myeloma"	"34000"	"Michigan"	"26"	388
	"Myeloma"	"34000"	"Minnesota"	"27"	198
	"Myeloma"	"34000"	"Mississippi"	"28"	145
	"Myeloma"	"34000"	"Missouri"	"29"	246
	"Myeloma"	"34000"	"Montana"	"30"	54
	"Myeloma"	"34000"	"Nebraska"	"31"	70
	"Myeloma"	"34000"	"Nevada"	"32"	80
	"Myeloma"	"34000"	"New Hampshire"	"33"	50
	"Myeloma"	"34000"	"New Jersey"	"34"	320
	"Myeloma"	"34000"	"New Mexico"	"35"	66
	"Myeloma"	"34000"	"New York"	"36"	681
	"Myeloma"	"34000"	"North Carolina"	"37"	389
	"Myeloma"	"34000"	"North Dakota"	"38"	34
	"Myeloma"	"34000"	"Ohio"	"39"	514
	"Myeloma"	"34000"	"Oklahoma"	"40"	134
	"Myeloma"	"34000"	"Oregon"	"41"	178
	"Myeloma"	"34000"	"Pennsylvania"	"42"	557
	"Myeloma"	"34000"	"Rhode Island"	"44"	37
	"Myeloma"	"34000"	"South Carolina"	"45"	240
	"Myeloma"	"34000"	"South Dakota"	"46"	32
	"Myeloma"	"34000"	"Tennessee"	"47"	285
	"Myeloma"	"34000"	"Texas"	"48"	793
	"Myeloma"	"34000"	"Utah"	"49"	86
	"Myeloma"	"34000"	"Vermont"	"50"	33
	"Myeloma"	"34000"	"Virginia"	"51"	305
	"Myeloma"	"34000"	"Washington"	"53"	228
	"Myeloma"	"34000"	"West Virginia"	"54"	101
	"Myeloma"	"34000"	"Wisconsin"	"55"	229
	"Myeloma"	"34000"	"Wyoming"	"56"	23
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Alabama"	"01"	324
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Alaska"	"02"	25
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Arizona"	"04"	421
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Arkansas"	"05"	210
	"Non-Hodgkin Lymphoma"	"33041-33042"	"California"	"06"	2070
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Colorado"	"08"	248
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Connecticut"	"09"	245
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Delaware"	"10"	90
	"Non-Hodgkin Lymphoma"	"33041-33042"	"District of Columbia"	"11"	25
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Florida"	"12"	1571
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Georgia"	"13"	495
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Hawaii"	"15"	73
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Idaho"	"16"	110
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Illinois"	"17"	832
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Indiana"	"18"	465
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Iowa"	"19"	260
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Kansas"	"20"	201
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Kentucky"	"21"	319
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Louisiana"	"22"	309
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Maine"	"23"	115
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Maryland"	"24"	330
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Massachusetts"	"25"	435
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Michigan"	"26"	714
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Minnesota"	"27"	397
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Mississippi"	"28"	183
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Missouri"	"29"	417
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Montana"	"30"	59
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Nebraska"	"31"	126
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Nevada"	"32"	151
	"Non-Hodgkin Lymphoma"	"33041-33042"	"New Hampshire"	"33"	84
	"Non-Hodgkin Lymphoma"	"33041-33042"	"New Jersey"	"34"	544
	"Non-Hodgkin Lymphoma"	"33041-33042"	"New Mexico"	"35"	101
	"Non-Hodgkin Lymphoma"	"33041-33042"	"New York"	"36"	1204
	"Non-Hodgkin Lymphoma"	"33041-33042"	"North Carolina"	"37"	580
	"Non-Hodgkin Lymphoma"	"33041-33042"	"North Dakota"	"38"	55
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Ohio"	"39"	788
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Oklahoma"	"40"	257
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Oregon"	"41"	297
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Pennsylvania"	"42"	999
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Rhode Island"	"44"	81
	"Non-Hodgkin Lymphoma"	"33041-33042"	"South Carolina"	"45"	280
	"Non-Hodgkin Lymphoma"	"33041-33042"	"South Dakota"	"46"	58
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Tennessee"	"47"	446
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Texas"	"48"	1379
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Utah"	"49"	122
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Vermont"	"50"	47
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Virginia"	"51"	498
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Washington"	"53"	465
	"Non-Hodgkin Lymphoma"	"33041-33042"	"West Virginia"	"54"	152
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Wisconsin"	"55"	413
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Wyoming"	"56"	43
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	155
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	16
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	156
	"Oral Cavity and Pharynx"	"20010-20100"	"Arkansas"	"05"	108
	"Oral Cavity and Pharynx"	"20010-20100"	"California"	"06"	948
	"Oral Cavity and Pharynx"	"20010-20100"	"Colorado"	"08"	102
	"Oral Cavity and Pharynx"	"20010-20100"	"Connecticut"	"09"	90
	"Oral Cavity and Pharynx"	"20010-20100"	"Delaware"	"10"	23
	"Oral Cavity and Pharynx"	"20010-20100"	"District of Columbia"	"11"	20
	"Oral Cavity and Pharynx"	"20010-20100"	"Florida"	"12"	724
	"Oral Cavity and Pharynx"	"20010-20100"	"Georgia"	"13"	276
	"Oral Cavity and Pharynx"	"20010-20100"	"Hawaii"	"15"	53
	"Oral Cavity and Pharynx"	"20010-20100"	"Idaho"	"16"	40
	"Oral Cavity and Pharynx"	"20010-20100"	"Illinois"	"17"	345
	"Oral Cavity and Pharynx"	"20010-20100"	"Indiana"	"18"	176
	"Oral Cavity and Pharynx"	"20010-20100"	"Iowa"	"19"	96
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	68
	"Oral Cavity and Pharynx"	"20010-20100"	"Kentucky"	"21"	153
	"Oral Cavity and Pharynx"	"20010-20100"	"Louisiana"	"22"	164
	"Oral Cavity and Pharynx"	"20010-20100"	"Maine"	"23"	51
	"Oral Cavity and Pharynx"	"20010-20100"	"Maryland"	"24"	165
	"Oral Cavity and Pharynx"	"20010-20100"	"Massachusetts"	"25"	194
	"Oral Cavity and Pharynx"	"20010-20100"	"Michigan"	"26"	303
	"Oral Cavity and Pharynx"	"20010-20100"	"Minnesota"	"27"	140
	"Oral Cavity and Pharynx"	"20010-20100"	"Mississippi"	"28"	122
	"Oral Cavity and Pharynx"	"20010-20100"	"Missouri"	"29"	167
	"Oral Cavity and Pharynx"	"20010-20100"	"Montana"	"30"	31
	"Oral Cavity and Pharynx"	"20010-20100"	"Nebraska"	"31"	29
	"Oral Cavity and Pharynx"	"20010-20100"	"Nevada"	"32"	88
	"Oral Cavity and Pharynx"	"20010-20100"	"New Hampshire"	"33"	30
	"Oral Cavity and Pharynx"	"20010-20100"	"New Jersey"	"34"	186
	"Oral Cavity and Pharynx"	"20010-20100"	"New Mexico"	"35"	53
	"Oral Cavity and Pharynx"	"20010-20100"	"New York"	"36"	510
	"Oral Cavity and Pharynx"	"20010-20100"	"North Carolina"	"37"	270
	"Oral Cavity and Pharynx"	"20010-20100"	"North Dakota"	"38"	18
	"Oral Cavity and Pharynx"	"20010-20100"	"Ohio"	"39"	338
	"Oral Cavity and Pharynx"	"20010-20100"	"Oklahoma"	"40"	112
	"Oral Cavity and Pharynx"	"20010-20100"	"Oregon"	"41"	119
	"Oral Cavity and Pharynx"	"20010-20100"	"Pennsylvania"	"42"	346
	"Oral Cavity and Pharynx"	"20010-20100"	"Rhode Island"	"44"	28
	"Oral Cavity and Pharynx"	"20010-20100"	"South Carolina"	"45"	178
	"Oral Cavity and Pharynx"	"20010-20100"	"South Dakota"	"46"	18
	"Oral Cavity and Pharynx"	"20010-20100"	"Tennessee"	"47"	226
	"Oral Cavity and Pharynx"	"20010-20100"	"Texas"	"48"	683
	"Oral Cavity and Pharynx"	"20010-20100"	"Utah"	"49"	34
	"Oral Cavity and Pharynx"	"20010-20100"	"Vermont"	"50"	26
	"Oral Cavity and Pharynx"	"20010-20100"	"Virginia"	"51"	225
	"Oral Cavity and Pharynx"	"20010-20100"	"Washington"	"53"	194
	"Oral Cavity and Pharynx"	"20010-20100"	"West Virginia"	"54"	84
	"Oral Cavity and Pharynx"	"20010-20100"	"Wisconsin"	"55"	162
	"Ovary"	"27040"	"Alabama"	"01"	236
	"Ovary"	"27040"	"Alaska"	"02"	18
	"Ovary"	"27040"	"Arizona"	"04"	290
	"Ovary"	"27040"	"Arkansas"	"05"	152
	"Ovary"	"27040"	"California"	"06"	1558
	"Ovary"	"27040"	"Colorado"	"08"	224
	"Ovary"	"27040"	"Connecticut"	"09"	174
	"Ovary"	"27040"	"Delaware"	"10"	45
	"Ovary"	"27040"	"District of Columbia"	"11"	26
	"Ovary"	"27040"	"Florida"	"12"	980
	"Ovary"	"27040"	"Georgia"	"13"	410
	"Ovary"	"27040"	"Hawaii"	"15"	44
	"Ovary"	"27040"	"Idaho"	"16"	84
	"Ovary"	"27040"	"Illinois"	"17"	619
	"Ovary"	"27040"	"Indiana"	"18"	300
	"Ovary"	"27040"	"Iowa"	"19"	142
	"Ovary"	"27040"	"Kansas"	"20"	120
	"Ovary"	"27040"	"Kentucky"	"21"	202
	"Ovary"	"27040"	"Louisiana"	"22"	184
	"Ovary"	"27040"	"Maine"	"23"	53
	"Ovary"	"27040"	"Maryland"	"24"	285
	"Ovary"	"27040"	"Massachusetts"	"25"	363
	"Ovary"	"27040"	"Michigan"	"26"	543
	"Ovary"	"27040"	"Minnesota"	"27"	240
	"Ovary"	"27040"	"Mississippi"	"28"	128
	"Ovary"	"27040"	"Missouri"	"29"	289
	"Ovary"	"27040"	"Montana"	"30"	51
	"Ovary"	"27040"	"Nebraska"	"31"	87
	"Ovary"	"27040"	"Nevada"	"32"	114
	"Ovary"	"27040"	"New Hampshire"	"33"	67
	"Ovary"	"27040"	"New Jersey"	"34"	391
	"Ovary"	"27040"	"New Mexico"	"35"	86
	"Ovary"	"27040"	"New York"	"36"	994
	"Ovary"	"27040"	"North Carolina"	"37"	425
	"Ovary"	"27040"	"North Dakota"	"38"	25
	"Ovary"	"27040"	"Ohio"	"39"	584
	"Ovary"	"27040"	"Oklahoma"	"40"	210
	"Ovary"	"27040"	"Oregon"	"41"	219
	"Ovary"	"27040"	"Pennsylvania"	"42"	715
	"Ovary"	"27040"	"Rhode Island"	"44"	47
	"Ovary"	"27040"	"South Carolina"	"45"	204
	"Ovary"	"27040"	"South Dakota"	"46"	35
	"Ovary"	"27040"	"Tennessee"	"47"	295
	"Ovary"	"27040"	"Texas"	"48"	826
	"Ovary"	"27040"	"Utah"	"49"	97
	"Ovary"	"27040"	"Vermont"	"50"	30
	"Ovary"	"27040"	"Virginia"	"51"	340
	"Ovary"	"27040"	"Washington"	"53"	339
	"Ovary"	"27040"	"West Virginia"	"54"	104
	"Ovary"	"27040"	"Wisconsin"	"55"	263
	"Ovary"	"27040"	"Wyoming"	"56"	19
	"Pancreas"	"21100"	"Alabama"	"01"	621
	"Pancreas"	"21100"	"Alaska"	"02"	69
	"Pancreas"	"21100"	"Arizona"	"04"	769
	"Pancreas"	"21100"	"Arkansas"	"05"	397
	"Pancreas"	"21100"	"California"	"06"	4098
	"Pancreas"	"21100"	"Colorado"	"08"	497
	"Pancreas"	"21100"	"Connecticut"	"09"	464
	"Pancreas"	"21100"	"Delaware"	"10"	129
	"Pancreas"	"21100"	"District of Columbia"	"11"	77
	"Pancreas"	"21100"	"Florida"	"12"	2803
	"Pancreas"	"21100"	"Georgia"	"13"	1004
	"Pancreas"	"21100"	"Hawaii"	"15"	179
	"Pancreas"	"21100"	"Idaho"	"16"	212
	"Pancreas"	"21100"	"Illinois"	"17"	1566
	"Pancreas"	"21100"	"Indiana"	"18"	850
	"Pancreas"	"21100"	"Iowa"	"19"	410
	"Pancreas"	"21100"	"Kansas"	"20"	364
	"Pancreas"	"21100"	"Kentucky"	"21"	579
	"Pancreas"	"21100"	"Louisiana"	"22"	615
	"Pancreas"	"21100"	"Maine"	"23"	204
	"Pancreas"	"21100"	"Maryland"	"24"	763
	"Pancreas"	"21100"	"Massachusetts"	"25"	901
	"Pancreas"	"21100"	"Michigan"	"26"	1442
	"Pancreas"	"21100"	"Minnesota"	"27"	682
	"Pancreas"	"21100"	"Mississippi"	"28"	410
	"Pancreas"	"21100"	"Missouri"	"29"	783
	"Pancreas"	"21100"	"Montana"	"30"	138
	"Pancreas"	"21100"	"Nebraska"	"31"	242
	"Pancreas"	"21100"	"Nevada"	"32"	325
	"Pancreas"	"21100"	"New Hampshire"	"33"	178
	"Pancreas"	"21100"	"New Jersey"	"34"	1219
	"Pancreas"	"21100"	"New Mexico"	"35"	257
	"Pancreas"	"21100"	"New York"	"36"	2597
	"Pancreas"	"21100"	"North Carolina"	"37"	1241
	"Pancreas"	"21100"	"North Dakota"	"38"	78
	"Pancreas"	"21100"	"Ohio"	"39"	1561
	"Pancreas"	"21100"	"Oklahoma"	"40"	489
	"Pancreas"	"21100"	"Oregon"	"41"	464
	"Pancreas"	"21100"	"Pennsylvania"	"42"	1868
	"Pancreas"	"21100"	"Rhode Island"	"44"	163
	"Pancreas"	"21100"	"South Carolina"	"45"	608
	"Pancreas"	"21100"	"South Dakota"	"46"	108
	"Pancreas"	"21100"	"Tennessee"	"47"	852
	"Pancreas"	"21100"	"Texas"	"48"	2457
	"Pancreas"	"21100"	"Utah"	"49"	249
	"Pancreas"	"21100"	"Vermont"	"50"	97
	"Pancreas"	"21100"	"Virginia"	"51"	998
	"Pancreas"	"21100"	"Washington"	"53"	782
	"Pancreas"	"21100"	"West Virginia"	"54"	253
	"Pancreas"	"21100"	"Wisconsin"	"55"	816
	"Pancreas"	"21100"	"Wyoming"	"56"	68
	"Prostate"	"28010"	"Alabama"	"01"	470
	"Prostate"	"28010"	"Alaska"	"02"	39
	"Prostate"	"28010"	"Arizona"	"04"	576
	"Prostate"	"28010"	"Arkansas"	"05"	271
	"Prostate"	"28010"	"California"	"06"	3122
	"Prostate"	"28010"	"Colorado"	"08"	426
	"Prostate"	"28010"	"Connecticut"	"09"	322
	"Prostate"	"28010"	"Delaware"	"10"	70
	"Prostate"	"28010"	"District of Columbia"	"11"	77
	"Prostate"	"28010"	"Florida"	"12"	2144
	"Prostate"	"28010"	"Georgia"	"13"	800
	"Prostate"	"28010"	"Hawaii"	"15"	91
	"Prostate"	"28010"	"Idaho"	"16"	158
	"Prostate"	"28010"	"Illinois"	"17"	1087
	"Prostate"	"28010"	"Indiana"	"18"	569
	"Prostate"	"28010"	"Iowa"	"19"	314
	"Prostate"	"28010"	"Kansas"	"20"	246
	"Prostate"	"28010"	"Kentucky"	"21"	363
	"Prostate"	"28010"	"Louisiana"	"22"	404
	"Prostate"	"28010"	"Maine"	"23"	173
	"Prostate"	"28010"	"Maryland"	"24"	484
	"Prostate"	"28010"	"Massachusetts"	"25"	602
	"Prostate"	"28010"	"Michigan"	"26"	897
	"Prostate"	"28010"	"Minnesota"	"27"	506
	"Prostate"	"28010"	"Mississippi"	"28"	307
	"Prostate"	"28010"	"Missouri"	"29"	499
	"Prostate"	"28010"	"Montana"	"30"	114
	"Prostate"	"28010"	"Nebraska"	"31"	194
	"Prostate"	"28010"	"Nevada"	"32"	278
	"Prostate"	"28010"	"New Hampshire"	"33"	114
	"Prostate"	"28010"	"New Jersey"	"34"	728
	"Prostate"	"28010"	"New Mexico"	"35"	207
	"Prostate"	"28010"	"New York"	"36"	1637
