AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
15-19|19.7|24.0|21.8|421|III CNS and misc intracranial and intraspinal neoplasms|19335843|2001
5-9|31.5|36.8|34.1|651|III CNS and misc intracranial and intraspinal neoplasms|19087067|2001
<1|27.4|39.3|33.0|125|III CNS and misc intracranial and intraspinal neoplasms|3793407|2001
1-4|3.1|5.3|4.1|59|III(a) Ependymomas and choroid plexus tumor|14453372|2001
10-14|1.3|2.6|1.9|37|III(a) Ependymomas and choroid plexus tumor|19846374|2001
15-19|1.0|2.2|1.5|29|III(a) Ependymomas and choroid plexus tumor|19335843|2001
5-9|1.6|3.0|2.3|43|III(a) Ependymomas and choroid plexus tumor|19087067|2001
<1|3.0|7.8|5.0|19|III(a) Ependymomas and choroid plexus tumor|3793407|2001
1-4|17.6|22.2|19.8|286|III(b) Astrocytomas|14453372|2001
10-14|12.0|15.3|13.6|269|III(b) Astrocytomas|19846374|2001
15-19|9.8|12.9|11.3|218|III(b) Astrocytomas|19335843|2001
5-9|15.4|19.1|17.2|328|III(b) Astrocytomas|19087067|2001
<1|9.1|16.5|12.4|47|III(b) Astrocytomas|3793407|2001
1-4|8.7|12.1|10.3|149|III(c) Intracranial and intraspinal embryonal tumors|14453372|2001
10-14|3.2|5.0|4.0|80|III(c) Intracranial and intraspinal embryonal tumors|19846374|2001
15-19|3.5|5.4|4.4|85|III(c) Intracranial and intraspinal embryonal tumors|19335843|2001
5-9|6.4|8.9|7.6|145|III(c) Intracranial and intraspinal embryonal tumors|19087067|2001
<1|8.0|15.0|11.1|42|III(c) Intracranial and intraspinal embryonal tumors|3793407|2001
1-4|3.4|5.7|4.4|64|III(d) Other gliomas|14453372|2001
10-14|4.7|6.9|5.7|114|III(d) Other gliomas|19846374|2001
15-19|3.0|4.8|3.8|74|III(d) Other gliomas|19335843|2001
5-9|5.3|7.6|6.4|122|III(d) Other gliomas|19087067|2001
<1|~|~|~|~|III(d) Other gliomas|3793407|2001
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|14453372|2001
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|19846374|2001
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|19335843|2001
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|19087067|2001
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3793407|2001
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|14453372|2001
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|19846374|2001
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|19335843|2001
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|19087067|2001
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|3793407|2001
1-4|21.6|26.7|24.1|348|IV Neuroblastoma and other peripheral nervous cell tumors|14453372|2001
10-14|0.9|2.0|1.4|27|IV Neuroblastoma and other peripheral nervous cell tumors|19846374|2001
15-19|~|~|~|~|IV Neuroblastoma and other peripheral nervous cell tumors|19335843|2001
5-9|2.5|4.2|3.2|62|IV Neuroblastoma and other peripheral nervous cell tumors|19087067|2001
<1|55.0|71.2|62.7|238|IV Neuroblastoma and other peripheral nervous cell tumors|3793407|2001
1-4|21.5|26.6|23.9|346|IV(a) Neuroblastoma and ganglioneuroblastoma|14453372|2001
10-14|0.8|1.8|1.2|24|IV(a) Neuroblastoma and ganglioneuroblastoma|19846374|2001
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|19335843|2001
5-9|2.4|4.1|3.2|61|IV(a) Neuroblastoma and ganglioneuroblastoma|19087067|2001
<1|54.8|71.0|62.5|237|IV(a) Neuroblastoma and ganglioneuroblastoma|3793407|2001
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|14453372|2001
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|19846374|2001
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|19335843|2001
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|19087067|2001
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|3793407|2001
1-4|10.3|13.9|12.0|173|IX Soft tissue and other extraosseous sarcomas|14453372|2001
10-14|9.9|12.9|11.3|225|IX Soft tissue and other extraosseous sarcomas|19846374|2001
15-19|14.3|18.0|16.1|311|IX Soft tissue and other extraosseous sarcomas|19335843|2001
5-9|6.2|8.7|7.3|140|IX Soft tissue and other extraosseous sarcomas|19087067|2001
<1|12.5|21.0|16.3|62|IX Soft tissue and other extraosseous sarcomas|3793407|2001
1-4|7.7|10.9|9.2|133|IX(a) Rhabdomyosarcomas|14453372|2001
10-14|2.7|4.3|3.4|68|IX(a) Rhabdomyosarcomas|19846374|2001
15-19|3.5|5.4|4.4|85|IX(a) Rhabdomyosarcomas|19335843|2001
5-9|3.4|5.3|4.2|81|IX(a) Rhabdomyosarcomas|19087067|2001
<1|~|~|~|~|IX(a) Rhabdomyosarcomas|3793407|2001
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|14453372|2001
10-14|0.7|1.7|1.1|22|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|19846374|2001
15-19|1.4|2.8|2.0|39|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|19335843|2001
5-9|0.6|1.6|1.0|19|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|19087067|2001
<1|4.5|10.0|6.9|26|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|3793407|2001
1-4|~|~|~|~|IX(c) Kaposi sarcoma|14453372|2001
10-14|~|~|~|~|IX(c) Kaposi sarcoma|19846374|2001
15-19|~|~|~|~|IX(c) Kaposi sarcoma|19335843|2001
5-9|~|~|~|~|IX(c) Kaposi sarcoma|19087067|2001
<1|~|~|~|~|IX(c) Kaposi sarcoma|3793407|2001
1-4|1.1|2.6|1.7|25|IX(d) Other specified soft tissue sarcomas|14453372|2001
10-14|4.1|6.1|5.0|100|IX(d) Other specified soft tissue sarcomas|19846374|2001
15-19|6.3|8.8|7.4|144|IX(d) Other specified soft tissue sarcomas|19335843|2001
5-9|1.2|2.5|1.8|34|IX(d) Other specified soft tissue sarcomas|19087067|2001
<1|2.8|7.5|4.7|18|IX(d) Other specified soft tissue sarcomas|3793407|2001
1-4|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|14453372|2001
10-14|1.2|2.5|1.8|35|IX(e) Unspecified soft tissue sarcomas|19846374|2001
15-19|1.5|2.8|2.1|40|IX(e) Unspecified soft tissue sarcomas|19335843|2001
5-9|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|19087067|2001
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|3793407|2001
1-4|~|~|~|~|Not classified by ICCC|14453372|2001
10-14|~|~|~|~|Not classified by ICCC|19846374|2001
15-19|~|~|~|~|Not classified by ICCC|19335843|2001
5-9|~|~|~|~|Not classified by ICCC|19087067|2001
<1|~|~|~|~|Not classified by ICCC|3793407|2001
1-4|7.8|11.1|9.3|135|V Retinoblastoma|14453372|2001
10-14|~|~|~|~|V Retinoblastoma|19846374|2001
15-19|~|~|~|~|V Retinoblastoma|19335843|2001
5-9|~|~|~|~|V Retinoblastoma|19087067|2001
<1|23.6|34.7|28.7|109|V Retinoblastoma|3793407|2001
1-4|18.2|23.0|20.5|296|VI Renal tumors|14453372|2001
10-14|0.9|2.0|1.4|28|VI Renal tumors|19846374|2001
15-19|0.9|2.0|1.4|27|VI Renal tumors|19335843|2001
5-9|4.0|6.0|4.9|94|VI Renal tumors|19087067|2001
<1|14.4|23.3|18.5|70|VI Renal tumors|3793407|2001
1-4|18.0|22.7|20.3|293|VI(a) Nephroblastoma and other nonepithelial renal tumors|14453372|2001
10-14|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|19846374|2001
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|19335843|2001
5-9|3.8|5.9|4.8|91|VI(a) Nephroblastoma and other nonepithelial renal tumors|19087067|2001
<1|13.9|22.7|17.9|68|VI(a) Nephroblastoma and other nonepithelial renal tumors|3793407|2001
1-4|~|~|~|~|VI(b) Renal carcinomas|14453372|2001
10-14|~|~|~|~|VI(b) Renal carcinomas|19846374|2001
15-19|0.7|1.7|1.1|22|VI(b) Renal carcinomas|19335843|2001
5-9|~|~|~|~|VI(b) Renal carcinomas|19087067|2001
<1|~|~|~|~|VI(b) Renal carcinomas|3793407|2001
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|14453372|2001
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|19846374|2001
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|19335843|2001
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|19087067|2001
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|3793407|2001
1-4|2.9|5.0|3.8|55|VII Hepatic tumors|14453372|2001
10-14|~|~|~|~|VII Hepatic tumors|19846374|2001
15-19|0.6|1.5|1.0|19|VII Hepatic tumors|19335843|2001
5-9|~|~|~|~|VII Hepatic tumors|19087067|2001
<1|7.3|14.1|10.3|39|VII Hepatic tumors|3793407|2001
1-4|2.7|4.7|3.6|52|VII(a) Hepatoblastoma|14453372|2001
10-14|~|~|~|~|VII(a) Hepatoblastoma|19846374|2001
15-19|~|~|~|~|VII(a) Hepatoblastoma|19335843|2001
5-9|~|~|~|~|VII(a) Hepatoblastoma|19087067|2001
<1|6.9|13.4|9.8|37|VII(a) Hepatoblastoma|3793407|2001
1-4|~|~|~|~|VII(b) Hepatic carcinomas|14453372|2001
10-14|~|~|~|~|VII(b) Hepatic carcinomas|19846374|2001
15-19|0.6|1.5|0.9|18|VII(b) Hepatic carcinomas|19335843|2001
5-9|~|~|~|~|VII(b) Hepatic carcinomas|19087067|2001
<1|~|~|~|~|VII(b) Hepatic carcinomas|3793407|2001
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|14453372|2001
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|19846374|2001
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|19335843|2001
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|19087067|2001
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|3793407|2001
1-4|0.9|2.2|1.5|21|VIII Malignant bone tumors|14453372|2001
10-14|12.3|15.6|13.9|275|VIII Malignant bone tumors|19846374|2001
15-19|15.4|19.1|17.2|332|VIII Malignant bone tumors|19335843|2001
5-9|4.4|6.5|5.3|102|VIII Malignant bone tumors|19087067|2001
<1|~|~|~|~|VIII Malignant bone tumors|3793407|2001
1-4|~|~|~|~|VIII(a) Osteosarcomas|14453372|2001
10-14|6.8|9.3|8.0|158|VIII(a) Osteosarcomas|19846374|2001
15-19|8.1|10.9|9.4|182|VIII(a) Osteosarcomas|19335843|2001
5-9|2.2|3.8|2.9|56|VIII(a) Osteosarcomas|19087067|2001
<1|~|~|~|~|VIII(a) Osteosarcomas|3793407|2001
1-4|~|~|~|~|VIII(b) Chondrosarcomas|14453372|2001
10-14|~|~|~|~|VIII(b) Chondrosarcomas|19846374|2001
15-19|0.6|1.5|1.0|19|VIII(b) Chondrosarcomas|19335843|2001
5-9|~|~|~|~|VIII(b) Chondrosarcomas|19087067|2001
<1|~|~|~|~|VIII(b) Chondrosarcomas|3793407|2001
1-4|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|14453372|2001
10-14|4.1|6.2|5.1|101|VIII(c) Ewing tumor and related sarcomas of bone|19846374|2001
15-19|4.5|6.7|5.5|107|VIII(c) Ewing tumor and related sarcomas of bone|19335843|2001
5-9|1.5|2.9|2.1|40|VIII(c) Ewing tumor and related sarcomas of bone|19087067|2001
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|3793407|2001
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|14453372|2001
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|19846374|2001
15-19|0.6|1.5|1.0|19|VIII(d) Other specified malignant bone tumors|19335843|2001
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|19087067|2001
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|3793407|2001
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|14453372|2001
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|19846374|2001
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|19335843|2001
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|19087067|2001
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|3793407|2001
1-4|2.6|4.6|3.5|50|X Germ cell, trophoblastic tumors & neoplasms of gonads|14453372|2001
10-14|5.4|7.7|6.4|128|X Germ cell, trophoblastic tumors & neoplasms of gonads|19846374|2001
15-19|24.3|28.9|26.5|513|X Germ cell, trophoblastic tumors & neoplasms of gonads|19335843|2001
5-9|1.3|2.6|1.8|35|X Germ cell, trophoblastic tumors & neoplasms of gonads|19087067|2001
<1|16.5|26.0|20.8|79|X Germ cell, trophoblastic tumors & neoplasms of gonads|3793407|2001
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|14453372|2001
10-14|2.0|3.4|2.6|52|X(a) Intracranial & intraspinal germ cell tumors|19846374|2001
15-19|1.9|3.4|2.5|49|X(a) Intracranial & intraspinal germ cell tumors|19335843|2001
5-9|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|19087067|2001
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|3793407|2001
1-4|1.1|2.6|1.7|25|X(b) Malignant extracranial & extragonadal germ cell tumors|14453372|2001
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|19846374|2001
15-19|1.6|2.9|2.2|42|X(b) Malignant extracranial & extragonadal germ cell tumors|19335843|2001
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|19087067|2001
<1|9.6|17.1|12.9|49|X(b) Malignant extracranial & extragonadal germ cell tumors|3793407|2001
1-4|1.0|2.4|1.6|23|X(c) Malignant gonadal germ cell tumors|14453372|2001
10-14|2.3|3.8|3.0|59|X(c) Malignant gonadal germ cell tumors|19846374|2001
15-19|18.3|22.3|20.2|391|X(c) Malignant gonadal germ cell tumors|19335843|2001
5-9|0.5|1.4|0.9|17|X(c) Malignant gonadal germ cell tumors|19087067|2001
<1|3.2|8.1|5.3|20|X(c) Malignant gonadal germ cell tumors|3793407|2001
1-4|~|~|~|~|X(d) Gonadal carcinomas|14453372|2001
10-14|~|~|~|~|X(d) Gonadal carcinomas|19846374|2001
15-19|0.6|1.6|1.0|20|X(d) Gonadal carcinomas|19335843|2001
5-9|~|~|~|~|X(d) Gonadal carcinomas|19087067|2001
<1|~|~|~|~|X(d) Gonadal carcinomas|3793407|2001
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|14453372|2001
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|19846374|2001
15-19|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|19335843|2001
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|19087067|2001
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|3793407|2001
1-4|1.0|2.4|1.6|23|XI Other malignant epithelial neoplasms and malignant melanomas|14453372|2001
10-14|12.8|16.2|14.5|287|XI Other malignant epithelial neoplasms and malignant melanomas|19846374|2001
15-19|43.0|49.0|45.9|888|XI Other malignant epithelial neoplasms and malignant melanomas|19335843|2001
5-9|3.1|4.9|3.9|75|XI Other malignant epithelial neoplasms and malignant melanomas|19087067|2001
<1|~|~|~|~|XI Other malignant epithelial neoplasms and malignant melanomas|3793407|2001
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|14453372|2001
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|19846374|2001
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|19335843|2001
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|19087067|2001
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|3793407|2001
1-4|~|~|~|~|XI(b) Thyroid carcinomas|14453372|2001
10-14|4.7|6.9|5.7|114|XI(b) Thyroid carcinomas|19846374|2001
15-19|14.5|18.1|16.2|314|XI(b) Thyroid carcinomas|19335843|2001
5-9|0.7|1.7|1.1|21|XI(b) Thyroid carcinomas|19087067|2001
<1|~|~|~|~|XI(b) Thyroid carcinomas|3793407|2001
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|14453372|2001
10-14|0.5|1.4|0.9|17|XI(c) Nasopharyngeal carcinomas|19846374|2001
15-19|0.8|1.9|1.3|25|XI(c) Nasopharyngeal carcinomas|19335843|2001
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|19087067|2001
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|3793407|2001
1-4|~|~|~|~|XI(d) Malignant melanomas|14453372|2001
10-14|3.3|5.1|4.1|82|XI(d) Malignant melanomas|19846374|2001
15-19|15.3|19.1|17.1|331|XI(d) Malignant melanomas|19335843|2001
5-9|0.8|1.9|1.3|24|XI(d) Malignant melanomas|19087067|2001
<1|~|~|~|~|XI(d) Malignant melanomas|3793407|2001
1-4|~|~|~|~|XI(e) Skin carcinomas|14453372|2001
10-14|~|~|~|~|XI(e) Skin carcinomas|19846374|2001
15-19|~|~|~|~|XI(e) Skin carcinomas|19335843|2001
5-9|~|~|~|~|XI(e) Skin carcinomas|19087067|2001
<1|~|~|~|~|XI(e) Skin carcinomas|3793407|2001
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|14453372|2001
10-14|2.7|4.3|3.4|68|XI(f) Other and unspecified carcinomas|19846374|2001
15-19|9.7|12.7|11.1|215|XI(f) Other and unspecified carcinomas|19335843|2001
5-9|0.8|1.9|1.3|24|XI(f) Other and unspecified carcinomas|19087067|2001
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|3793407|2001
1-4|~|~|~|~|XII Other and unspecified malignant neoplasms|14453372|2001
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|19846374|2001
15-19|0.9|2.0|1.3|26|XII Other and unspecified malignant neoplasms|19335843|2001
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|19087067|2001
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|3793407|2001
1-4|~|~|~|~|XII(a) Other specified malignant tumors|14453372|2001
10-14|~|~|~|~|XII(a) Other specified malignant tumors|19846374|2001
15-19|~|~|~|~|XII(a) Other specified malignant tumors|19335843|2001
5-9|~|~|~|~|XII(a) Other specified malignant tumors|19087067|2001
<1|~|~|~|~|XII(a) Other specified malignant tumors|3793407|2001
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|14453372|2001
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|19846374|2001
15-19|0.6|1.5|0.9|18|XII(b) Other unspecified malignant tumors|19335843|2001
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|19087067|2001
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|3793407|2001
1-4|207.0|222.1|214.4|3132|All ICCC Groups Combined|14606253|2002
10-14|122.6|132.6|127.5|2561|All ICCC Groups Combined|20081163|2002
15-19|210.5|223.7|217.0|4220|All ICCC Groups Combined|19446561|2002
5-9|117.4|127.4|122.3|2296|All ICCC Groups Combined|18767324|2002
<1|233.6|265.9|249.4|930|All ICCC Groups Combined|3729412|2002
1-4|83.3|93.0|88.0|1286|I Leukemias, myeloproliferative & myelodysplastic diseases|14606253|2002
10-14|27.1|31.9|29.4|590|I Leukemias, myeloproliferative & myelodysplastic diseases|20081163|2002
15-19|28.9|34.0|31.4|610|I Leukemias, myeloproliferative & myelodysplastic diseases|19446561|2002
5-9|37.7|43.5|40.5|760|I Leukemias, myeloproliferative & myelodysplastic diseases|18767324|2002
<1|45.0|59.9|52.0|194|I Leukemias, myeloproliferative & myelodysplastic diseases|3729412|2002
1-4|68.8|77.6|73.1|1068|I(a) Lymphoid leukemias|14606253|2002
10-14|16.7|20.6|18.6|373|I(a) Lymphoid leukemias|20081163|2002
15-19|14.7|18.3|16.4|319|I(a) Lymphoid leukemias|19446561|2002
5-9|29.8|35.0|32.3|607|I(a) Lymphoid leukemias|18767324|2002
<1|14.6|23.7|18.8|70|I(a) Lymphoid leukemias|3729412|2002
1-4|9.1|12.6|10.7|157|I(b) Acute myeloid leukemias|14606253|2002
10-14|6.0|8.4|7.2|144|I(b) Acute myeloid leukemias|20081163|2002
15-19|8.0|10.7|9.3|180|I(b) Acute myeloid leukemias|19446561|2002
5-9|3.8|5.8|4.7|89|I(b) Acute myeloid leukemias|18767324|2002
<1|13.7|22.5|17.7|66|I(b) Acute myeloid leukemias|3729412|2002
1-4|~|~|~|~|I(c) Chronic myeloproliferative diseases|14606253|2002
10-14|1.4|2.7|1.9|39|I(c) Chronic myeloproliferative diseases|20081163|2002
15-19|2.8|4.5|3.6|70|I(c) Chronic myeloproliferative diseases|19446561|2002
5-9|0.7|1.8|1.2|22|I(c) Chronic myeloproliferative diseases|18767324|2002
<1|3.5|8.6|5.6|21|I(c) Chronic myeloproliferative diseases|3729412|2002
1-4|1.4|2.9|2.1|30|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|14606253|2002
10-14|0.6|1.5|0.9|19|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20081163|2002
15-19|0.8|1.8|1.2|24|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|19446561|2002
5-9|0.5|1.5|0.9|17|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|18767324|2002
<1|4.6|10.2|7.0|26|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|3729412|2002
1-4|0.9|2.2|1.4|21|I(e) Unspecified and other specified leukemias|14606253|2002
10-14|~|~|~|~|I(e) Unspecified and other specified leukemias|20081163|2002
15-19|0.5|1.4|0.9|17|I(e) Unspecified and other specified leukemias|19446561|2002
5-9|0.9|2.0|1.3|25|I(e) Unspecified and other specified leukemias|18767324|2002
<1|~|~|~|~|I(e) Unspecified and other specified leukemias|3729412|2002
1-4|7.9|11.2|9.4|138|II Lymphomas and reticuloendothelial neoplasms|14606253|2002
10-14|21.8|26.1|23.9|480|II Lymphomas and reticuloendothelial neoplasms|20081163|2002
15-19|47.2|53.5|50.3|978|II Lymphomas and reticuloendothelial neoplasms|19446561|2002
5-9|11.7|15.1|13.3|250|II Lymphomas and reticuloendothelial neoplasms|18767324|2002
<1|6.3|12.7|9.1|34|II Lymphomas and reticuloendothelial neoplasms|3729412|2002
1-4|~|~|~|~|II(a) Hodgkin lymphomas|14606253|2002
10-14|10.5|13.6|12.0|241|II(a) Hodgkin lymphomas|20081163|2002
15-19|29.9|35.0|32.3|629|II(a) Hodgkin lymphomas|19446561|2002
5-9|2.6|4.3|3.4|63|II(a) Hodgkin lymphomas|18767324|2002
<1|~|~|~|~|II(a) Hodgkin lymphomas|3729412|2002
1-4|4.0|6.4|5.1|74|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|14606253|2002
10-14|6.9|9.4|8.1|162|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20081163|2002
15-19|12.9|16.4|14.6|283|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|19446561|2002
5-9|4.8|7.0|5.8|109|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|18767324|2002
<1|~|~|~|~|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|3729412|2002
1-4|1.3|2.9|2.0|29|II(c) Burkitt lymphoma|14606253|2002
10-14|2.3|3.9|3.0|61|II(c) Burkitt lymphoma|20081163|2002
15-19|2.0|3.4|2.6|51|II(c) Burkitt lymphoma|19446561|2002
5-9|2.7|4.5|3.5|66|II(c) Burkitt lymphoma|18767324|2002
<1|~|~|~|~|II(c) Burkitt lymphoma|3729412|2002
1-4|1.1|2.5|1.7|25|II(d) Miscellaneous lymphoreticular neoplasms|14606253|2002
10-14|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|20081163|2002
15-19|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|19446561|2002
5-9|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|18767324|2002
<1|3.9|9.3|6.2|23|II(d) Miscellaneous lymphoreticular neoplasms|3729412|2002
1-4|~|~|~|~|II(e) Unspecified lymphomas|14606253|2002
10-14|~|~|~|~|II(e) Unspecified lymphomas|20081163|2002
15-19|~|~|~|~|II(e) Unspecified lymphomas|19446561|2002
5-9|~|~|~|~|II(e) Unspecified lymphomas|18767324|2002
<1|~|~|~|~|II(e) Unspecified lymphomas|3729412|2002
1-4|41.1|48.1|44.5|650|III CNS and misc intracranial and intraspinal neoplasms|14606253|2002
10-14|23.7|28.2|25.8|519|III CNS and misc intracranial and intraspinal neoplasms|20081163|2002
15-19|20.0|24.3|22.1|429|III CNS and misc intracranial and intraspinal neoplasms|19446561|2002
5-9|33.5|39.0|36.1|678|III CNS and misc intracranial and intraspinal neoplasms|18767324|2002
<1|28.4|40.5|34.1|127|III CNS and misc intracranial and intraspinal neoplasms|3729412|2002
1-4|5.0|7.6|6.2|91|III(a) Ependymomas and choroid plexus tumor|14606253|2002
10-14|1.7|3.1|2.3|46|III(a) Ependymomas and choroid plexus tumor|20081163|2002
15-19|0.7|1.7|1.1|21|III(a) Ependymomas and choroid plexus tumor|19446561|2002
5-9|1.7|3.1|2.3|44|III(a) Ependymomas and choroid plexus tumor|18767324|2002
<1|4.8|10.5|7.2|27|III(a) Ependymomas and choroid plexus tumor|3729412|2002
1-4|17.8|22.4|20.0|292|III(b) Astrocytomas|14606253|2002
10-14|12.2|15.5|13.7|276|III(b) Astrocytomas|20081163|2002
15-19|10.7|13.8|12.2|237|III(b) Astrocytomas|19446561|2002
5-9|15.5|19.4|17.4|326|III(b) Astrocytomas|18767324|2002
<1|8.6|15.8|11.8|44|III(b) Astrocytomas|3729412|2002
1-4|9.2|12.6|10.8|158|III(c) Intracranial and intraspinal embryonal tumors|14606253|2002
10-14|3.4|5.2|4.2|85|III(c) Intracranial and intraspinal embryonal tumors|20081163|2002
15-19|2.5|4.1|3.2|63|III(c) Intracranial and intraspinal embryonal tumors|19446561|2002
5-9|6.5|9.0|7.7|144|III(c) Intracranial and intraspinal embryonal tumors|18767324|2002
<1|7.0|13.7|9.9|37|III(c) Intracranial and intraspinal embryonal tumors|3729412|2002
1-4|4.9|7.5|6.1|89|III(d) Other gliomas|14606253|2002
10-14|3.7|5.7|4.6|93|III(d) Other gliomas|20081163|2002
15-19|3.6|5.5|4.5|87|III(d) Other gliomas|19446561|2002
5-9|6.5|9.1|7.7|145|III(d) Other gliomas|18767324|2002
<1|~|~|~|~|III(d) Other gliomas|3729412|2002
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|14606253|2002
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20081163|2002
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|19446561|2002
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|18767324|2002
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3729412|2002
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|14606253|2002
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20081163|2002
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|19446561|2002
