AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-14|0.8|1.0|0.9|553|Incidence|60516709|Non-Hodgkin Lymphoma|2006
0-19|1.1|1.2|1.1|943|Incidence|82324418|Non-Hodgkin Lymphoma|2006
0-14|0.4|0.5|0.5|296|Mortality|60516709|Other|2006
0-19|0.5|0.6|0.5|413|Mortality|82324418|Other|2006
0-14|3.2|3.5|3.3|2043|Incidence|60516709|Other|2006
0-19|4.4|4.7|4.6|3848|Incidence|82324418|Other|2006
0-14|0.1|0.2|0.1|80|Mortality|60516709|Soft Tissue|2006
0-19|0.1|0.2|0.2|140|Mortality|82324418|Soft Tissue|2006
0-14|0.9|1.0|1.0|590|Incidence|60516709|Soft Tissue|2006
0-19|0.9|1.1|1.0|822|Incidence|82324418|Soft Tissue|2006
0-14|0.3|0.4|0.4|212|Mortality|60681615|Acute Lymphocytic|2007
0-19|0.3|0.4|0.4|294|Mortality|82749431|Acute Lymphocytic|2007
0-14|3.8|4.1|4.0|2423|Incidence|60681615|Acute Lymphocytic|2007
0-19|3.3|3.5|3.4|2795|Incidence|82749431|Acute Lymphocytic|2007
0-14|0.2|0.3|0.2|129|Mortality|60681615|Acute Myeloid|2007
0-19|0.2|0.3|0.2|195|Mortality|82749431|Acute Myeloid|2007
0-14|0.6|0.7|0.7|413|Incidence|60681615|Acute Myeloid|2007
0-19|0.6|0.8|0.7|582|Incidence|82749431|Acute Myeloid|2007
0-14|2.2|2.4|2.3|1395|Mortality|60681615|All Cancer Sites Combined|2007
0-19|2.4|2.6|2.5|2068|Mortality|82749431|All Cancer Sites Combined|2007
0-14|15.8|16.5|16.2|9875|Incidence|60681615|All Cancer Sites Combined|2007
0-19|17.3|17.9|17.6|14716|Incidence|82749431|All Cancer Sites Combined|2007
0-14|0.1|0.1|0.1|61|Mortality|60681615|Bones and Joints|2007
0-19|0.2|0.2|0.2|172|Mortality|82749431|Bones and Joints|2007
0-14|0.6|0.8|0.7|424|Incidence|60681615|Bones and Joints|2007
0-19|0.8|1.0|0.9|750|Incidence|82749431|Bones and Joints|2007
0-14|0.6|0.8|0.7|426|Mortality|60681615|Brain and Other Nervous System|2007
0-19|0.6|0.7|0.6|521|Mortality|82749431|Brain and Other Nervous System|2007
0-14|3.4|3.7|3.6|2185|Incidence|60681615|Brain and Other Nervous System|2007
0-19|3.1|3.4|3.3|2678|Incidence|82749431|Brain and Other Nervous System|2007
0-14|~|~|~|~|Mortality|60681615|Hodgkin Lymphoma|2007
0-19|0.0|0.0|0.0|19|Mortality|82749431|Hodgkin Lymphoma|2007
0-14|0.5|0.6|0.5|329|Incidence|60681615|Hodgkin Lymphoma|2007
0-19|1.1|1.3|1.2|1031|Incidence|82749431|Hodgkin Lymphoma|2007
0-14|0.0|0.1|0.1|36|Mortality|60681615|Kidney and Renal Pelvis|2007
0-19|0.0|0.1|0.1|47|Mortality|82749431|Kidney and Renal Pelvis|2007
0-14|0.8|1.0|0.9|542|Incidence|60681615|Kidney and Renal Pelvis|2007
0-19|0.7|0.8|0.7|585|Incidence|82749431|Kidney and Renal Pelvis|2007
0-14|0.7|0.8|0.7|441|Mortality|60681615|Leukemia|2007
0-19|0.7|0.8|0.8|643|Mortality|82749431|Leukemia|2007
0-14|4.8|5.2|5.0|3062|Incidence|60681615|Leukemia|2007
0-19|4.4|4.6|4.5|3712|Incidence|82749431|Leukemia|2007
0-14|0.0|0.1|0.1|40|Mortality|60681615|Non-Hodgkin Lymphoma|2007
0-19|0.1|0.1|0.1|87|Mortality|82749431|Non-Hodgkin Lymphoma|2007
0-14|0.9|1.1|1.0|597|Incidence|60681615|Non-Hodgkin Lymphoma|2007
0-19|1.1|1.2|1.2|973|Incidence|82749431|Non-Hodgkin Lymphoma|2007
0-14|0.4|0.6|0.5|306|Mortality|60681615|Other|2007
0-19|0.5|0.6|0.5|439|Mortality|82749431|Other|2007
0-14|3.2|3.5|3.4|2085|Incidence|60681615|Other|2007
0-19|4.6|4.9|4.8|4068|Incidence|82749431|Other|2007
0-14|0.1|0.2|0.1|82|Mortality|60681615|Soft Tissue|2007
0-19|0.1|0.2|0.2|140|Mortality|82749431|Soft Tissue|2007
0-14|1.0|1.1|1.1|651|Incidence|60681615|Soft Tissue|2007
0-19|1.0|1.2|1.1|919|Incidence|82749431|Soft Tissue|2007
0-14|0.2|0.3|0.3|176|Mortality|60907384|Acute Lymphocytic|2008
0-19|0.3|0.3|0.3|253|Mortality|83118264|Acute Lymphocytic|2008
0-14|3.9|4.2|4.1|2501|Incidence|60907384|Acute Lymphocytic|2008
0-19|3.3|3.6|3.5|2873|Incidence|83118264|Acute Lymphocytic|2008
0-14|0.2|0.2|0.2|127|Mortality|60907384|Acute Myeloid|2008
0-19|0.2|0.3|0.2|183|Mortality|83118264|Acute Myeloid|2008
0-14|0.6|0.8|0.7|436|Incidence|60907384|Acute Myeloid|2008
0-19|0.7|0.8|0.7|625|Incidence|83118264|Acute Myeloid|2008
0-14|2.1|2.3|2.2|1354|Mortality|60907384|All Cancer Sites Combined|2008
0-19|2.3|2.5|2.4|2039|Mortality|83118264|All Cancer Sites Combined|2008
0-14|16.1|16.7|16.4|10059|Incidence|60907384|All Cancer Sites Combined|2008
0-19|17.5|18.1|17.8|14939|Incidence|83118264|All Cancer Sites Combined|2008
0-14|0.1|0.1|0.1|62|Mortality|60907384|Bones and Joints|2008
0-19|0.2|0.2|0.2|182|Mortality|83118264|Bones and Joints|2008
0-14|0.6|0.8|0.7|423|Incidence|60907384|Bones and Joints|2008
0-19|0.8|1.0|0.9|745|Incidence|83118264|Bones and Joints|2008
0-14|0.6|0.8|0.7|429|Mortality|60907384|Brain and Other Nervous System|2008
0-19|0.6|0.7|0.6|533|Mortality|83118264|Brain and Other Nervous System|2008
0-14|3.4|3.7|3.6|2195|Incidence|60907384|Brain and Other Nervous System|2008
0-19|3.2|3.4|3.3|2710|Incidence|83118264|Brain and Other Nervous System|2008
0-14|~|~|~|~|Mortality|60907384|Hodgkin Lymphoma|2008
0-19|~|~|~|~|Mortality|83118264|Hodgkin Lymphoma|2008
0-14|0.6|0.7|0.6|380|Incidence|60907384|Hodgkin Lymphoma|2008
0-19|1.2|1.4|1.3|1103|Incidence|83118264|Hodgkin Lymphoma|2008
0-14|0.1|0.1|0.1|46|Mortality|60907384|Kidney and Renal Pelvis|2008
0-19|0.0|0.1|0.1|52|Mortality|83118264|Kidney and Renal Pelvis|2008
0-14|0.8|1.0|0.9|570|Incidence|60907384|Kidney and Renal Pelvis|2008
0-19|0.7|0.8|0.7|619|Incidence|83118264|Kidney and Renal Pelvis|2008
0-14|0.6|0.7|0.7|402|Mortality|60907384|Leukemia|2008
0-19|0.7|0.8|0.7|598|Mortality|83118264|Leukemia|2008
0-14|5.0|5.3|5.2|3161|Incidence|60907384|Leukemia|2008
0-19|4.5|4.8|4.6|3822|Incidence|83118264|Leukemia|2008
0-14|0.0|0.1|0.1|39|Mortality|60907384|Non-Hodgkin Lymphoma|2008
0-19|0.1|0.1|0.1|93|Mortality|83118264|Non-Hodgkin Lymphoma|2008
0-14|0.9|1.0|1.0|580|Incidence|60907384|Non-Hodgkin Lymphoma|2008
0-19|1.1|1.2|1.2|965|Incidence|83118264|Non-Hodgkin Lymphoma|2008
0-14|0.4|0.5|0.5|286|Mortality|60907384|Other|2008
0-19|0.4|0.5|0.5|407|Mortality|83118264|Other|2008
0-14|3.2|3.5|3.4|2084|Incidence|60907384|Other|2008
0-19|4.6|4.9|4.8|4062|Incidence|83118264|Other|2008
0-14|0.1|0.2|0.1|89|Mortality|60907384|Soft Tissue|2008
0-19|0.2|0.2|0.2|160|Mortality|83118264|Soft Tissue|2008
0-14|1.0|1.2|1.1|666|Incidence|60907384|Soft Tissue|2008
0-19|1.0|1.2|1.1|913|Incidence|83118264|Soft Tissue|2008
0-14|0.2|0.3|0.3|174|Mortality|61087581|Acute Lymphocytic|2009
0-19|0.3|0.3|0.3|240|Mortality|83280391|Acute Lymphocytic|2009
0-14|3.9|4.2|4.1|2497|Incidence|61087581|Acute Lymphocytic|2009
0-19|3.3|3.6|3.4|2846|Incidence|83280391|Acute Lymphocytic|2009
0-14|0.2|0.2|0.2|119|Mortality|61087581|Acute Myeloid|2009
0-19|0.2|0.3|0.2|182|Mortality|83280391|Acute Myeloid|2009
0-14|0.6|0.7|0.6|398|Incidence|61087581|Acute Myeloid|2009
0-19|0.6|0.7|0.7|577|Incidence|83280391|Acute Myeloid|2009
0-14|2.0|2.3|2.2|1320|Mortality|61087581|All Cancer Sites Combined|2009
0-19|2.2|2.5|2.3|1964|Mortality|83280391|All Cancer Sites Combined|2009
0-14|15.9|16.6|16.2|9975|Incidence|61087581|All Cancer Sites Combined|2009
0-19|17.4|18.0|17.7|14866|Incidence|83280391|All Cancer Sites Combined|2009
0-14|0.1|0.2|0.1|77|Mortality|61087581|Bones and Joints|2009
0-19|0.2|0.2|0.2|179|Mortality|83280391|Bones and Joints|2009
0-14|0.7|0.8|0.7|434|Incidence|61087581|Bones and Joints|2009
0-19|0.8|1.0|0.9|765|Incidence|83280391|Bones and Joints|2009
0-14|0.6|0.7|0.7|402|Mortality|61087581|Brain and Other Nervous System|2009
0-19|0.6|0.7|0.6|522|Mortality|83280391|Brain and Other Nervous System|2009
0-14|3.4|3.7|3.6|2186|Incidence|61087581|Brain and Other Nervous System|2009
0-19|3.1|3.4|3.2|2681|Incidence|83280391|Brain and Other Nervous System|2009
0-14|~|~|~|~|Mortality|61087581|Hodgkin Lymphoma|2009
0-19|0.0|0.0|0.0|22|Mortality|83280391|Hodgkin Lymphoma|2009
0-14|0.5|0.6|0.6|347|Incidence|61087581|Hodgkin Lymphoma|2009
0-19|1.2|1.3|1.3|1079|Incidence|83280391|Hodgkin Lymphoma|2009
0-14|0.0|0.1|0.1|38|Mortality|61087581|Kidney and Renal Pelvis|2009
0-19|0.0|0.1|0.1|45|Mortality|83280391|Kidney and Renal Pelvis|2009
0-14|0.9|1.0|1.0|591|Incidence|61087581|Kidney and Renal Pelvis|2009
0-19|0.7|0.8|0.8|634|Incidence|83280391|Kidney and Renal Pelvis|2009
0-14|0.6|0.7|0.6|389|Mortality|61087581|Leukemia|2009
0-19|0.6|0.7|0.7|561|Mortality|83280391|Leukemia|2009
0-14|4.9|5.2|5.0|3108|Incidence|61087581|Leukemia|2009
0-19|4.3|4.6|4.5|3732|Incidence|83280391|Leukemia|2009
0-14|0.0|0.1|0.1|38|Mortality|61087581|Non-Hodgkin Lymphoma|2009
0-19|0.1|0.1|0.1|75|Mortality|83280391|Non-Hodgkin Lymphoma|2009
0-14|0.9|1.0|0.9|575|Incidence|61087581|Non-Hodgkin Lymphoma|2009
0-19|1.1|1.2|1.1|946|Incidence|83280391|Non-Hodgkin Lymphoma|2009
0-14|0.4|0.5|0.4|271|Mortality|61087581|Other|2009
0-19|0.4|0.5|0.5|396|Mortality|83280391|Other|2009
0-14|3.2|3.5|3.4|2091|Incidence|61087581|Other|2009
0-19|4.7|5.0|4.8|4112|Incidence|83280391|Other|2009
0-14|0.1|0.2|0.2|98|Mortality|61087581|Soft Tissue|2009
0-19|0.2|0.2|0.2|164|Mortality|83280391|Soft Tissue|2009
0-14|1.0|1.1|1.0|643|Incidence|61087581|Soft Tissue|2009
0-19|1.0|1.2|1.1|917|Incidence|83280391|Soft Tissue|2009
0-14|0.2|0.3|0.3|784|Mortality|305691038|Acute Lymphocytic|2009-2013
0-19|0.3|0.3|0.3|1109|Mortality|414105957|Acute Lymphocytic|2009-2013
0-14|3.9|4.0|4.0|12097|Incidence|302940629|Acute Lymphocytic|2009-2013
0-19|3.3|3.4|3.4|13778|Incidence|410461980|Acute Lymphocytic|2009-2013
0-14|0.2|0.2|0.2|631|Mortality|305691038|Acute Myeloid|2009-2013
0-19|0.2|0.2|0.2|933|Mortality|414105957|Acute Myeloid|2009-2013
0-14|0.6|0.7|0.7|2065|Incidence|302940629|Acute Myeloid|2009-2013
0-19|0.7|0.8|0.7|3024|Incidence|410461980|Acute Myeloid|2009-2013
0-14|2.1|2.2|2.2|6581|Mortality|305691038|All Cancer Sites Combined|2009-2013
0-19|2.3|2.4|2.3|9720|Mortality|414105957|All Cancer Sites Combined|2009-2013
0-14|16.5|16.8|16.7|50755|Incidence|302940629|All Cancer Sites Combined|2009-2013
0-19|17.9|18.2|18.0|74444|Incidence|410461980|All Cancer Sites Combined|2009-2013
0-14|0.1|0.1|0.1|365|Mortality|305691038|Bones and Joints|2009-2013
0-19|0.2|0.2|0.2|877|Mortality|414105957|Bones and Joints|2009-2013
0-14|0.7|0.8|0.7|2212|Incidence|302940629|Bones and Joints|2009-2013
0-19|0.9|0.9|0.9|3731|Incidence|410461980|Bones and Joints|2009-2013
0-14|0.7|0.7|0.7|2146|Mortality|305691038|Brain and Other Nervous System|2009-2013
0-19|0.6|0.7|0.7|2701|Mortality|414105957|Brain and Other Nervous System|2009-2013
0-14|3.5|3.7|3.6|10882|Incidence|302940629|Brain and Other Nervous System|2009-2013
0-19|3.2|3.3|3.3|13326|Incidence|410461980|Brain and Other Nervous System|2009-2013
0-14|0.0|0.0|0.0|19|Mortality|305691038|Hodgkin Lymphoma|2009-2013
0-19|0.0|0.0|0.0|74|Mortality|414105957|Hodgkin Lymphoma|2009-2013
0-14|0.5|0.6|0.5|1644|Incidence|302940629|Hodgkin Lymphoma|2009-2013
0-19|1.2|1.2|1.2|5055|Incidence|410461980|Hodgkin Lymphoma|2009-2013
0-14|0.1|0.1|0.1|193|Mortality|305691038|Kidney and Renal Pelvis|2009-2013
0-19|0.0|0.1|0.1|232|Mortality|414105957|Kidney and Renal Pelvis|2009-2013
0-14|0.9|0.9|0.9|2776|Incidence|302940629|Kidney and Renal Pelvis|2009-2013
0-19|0.7|0.8|0.7|3002|Incidence|410461980|Kidney and Renal Pelvis|2009-2013
0-14|0.6|0.6|0.6|1849|Mortality|305691038|Leukemia|2009-2013
0-19|0.6|0.7|0.6|2676|Mortality|414105957|Leukemia|2009-2013
0-14|4.9|5.1|5.0|15221|Incidence|302940629|Leukemia|2009-2013
0-19|4.4|4.5|4.5|18378|Incidence|410461980|Leukemia|2009-2013
0-14|0.0|0.1|0.1|170|Mortality|305691038|Non-Hodgkin Lymphoma|2009-2013
0-19|0.1|0.1|0.1|334|Mortality|414105957|Non-Hodgkin Lymphoma|2009-2013
0-14|0.9|1.0|1.0|2915|Incidence|302940629|Non-Hodgkin Lymphoma|2009-2013
0-19|1.1|1.2|1.2|4759|Incidence|410461980|Non-Hodgkin Lymphoma|2009-2013
0-14|0.4|0.5|0.4|1376|Mortality|305691038|Other|2009-2013
0-19|0.5|0.5|0.5|2008|Mortality|414105957|Other|2009-2013
0-14|3.8|4.0|3.9|11929|Incidence|302940629|Other|2009-2013
0-19|5.2|5.3|5.3|21867|Incidence|410461980|Other|2009-2013
0-14|0.1|0.2|0.2|463|Mortality|305691038|Soft Tissue|2009-2013
0-19|0.2|0.2|0.2|818|Mortality|414105957|Soft Tissue|2009-2013
0-14|1.0|1.1|1.0|3176|Incidence|302940629|Soft Tissue|2009-2013
0-19|1.0|1.1|1.1|4326|Incidence|410461980|Soft Tissue|2009-2013
0-14|0.2|0.3|0.3|164|Mortality|61202418|Acute Lymphocytic|2010
0-19|0.2|0.3|0.3|230|Mortality|83185431|Acute Lymphocytic|2010
0-14|3.9|4.2|4.1|2504|Incidence|61202418|Acute Lymphocytic|2010
0-19|3.3|3.5|3.4|2834|Incidence|83185431|Acute Lymphocytic|2010
0-14|0.2|0.3|0.2|131|Mortality|61202418|Acute Myeloid|2010
0-19|0.2|0.3|0.2|198|Mortality|83185431|Acute Myeloid|2010
0-14|0.6|0.8|0.7|431|Incidence|61202418|Acute Myeloid|2010
0-19|0.7|0.8|0.8|631|Incidence|83185431|Acute Myeloid|2010
0-14|2.0|2.3|2.2|1324|Mortality|61202418|All Cancer Sites Combined|2010
0-19|2.2|2.4|2.3|1925|Mortality|83185431|All Cancer Sites Combined|2010
0-14|16.6|17.2|16.9|10400|Incidence|61202418|All Cancer Sites Combined|2010
0-19|17.8|18.4|18.1|15120|Incidence|83185431|All Cancer Sites Combined|2010
0-14|0.1|0.2|0.1|75|Mortality|61202418|Bones and Joints|2010
0-19|0.2|0.2|0.2|166|Mortality|83185431|Bones and Joints|2010
0-14|0.6|0.8|0.7|420|Incidence|61202418|Bones and Joints|2010
0-19|0.8|0.9|0.8|710|Incidence|83185431|Bones and Joints|2010
0-14|0.6|0.7|0.7|410|Mortality|61202418|Brain and Other Nervous System|2010
0-19|0.6|0.7|0.6|498|Mortality|83185431|Brain and Other Nervous System|2010
0-14|3.5|3.8|3.6|2234|Incidence|61202418|Brain and Other Nervous System|2010
0-19|3.1|3.4|3.3|2702|Incidence|83185431|Brain and Other Nervous System|2010
0-14|~|~|~|~|Mortality|61202418|Hodgkin Lymphoma|2010
0-19|~|~|~|~|Mortality|83185431|Hodgkin Lymphoma|2010
0-14|0.5|0.6|0.5|323|Incidence|61202418|Hodgkin Lymphoma|2010
0-19|1.1|1.3|1.2|1028|Incidence|83185431|Hodgkin Lymphoma|2010
0-14|0.1|0.1|0.1|46|Mortality|61202418|Kidney and Renal Pelvis|2010
0-19|0.1|0.1|0.1|56|Mortality|83185431|Kidney and Renal Pelvis|2010
0-14|0.8|0.9|0.9|542|Incidence|61202418|Kidney and Renal Pelvis|2010
0-19|0.6|0.7|0.7|575|Incidence|83185431|Kidney and Renal Pelvis|2010
0-14|0.6|0.7|0.6|390|Mortality|61202418|Leukemia|2010
0-19|0.6|0.7|0.7|553|Mortality|83185431|Leukemia|2010
0-14|4.9|5.3|5.1|3152|Incidence|61202418|Leukemia|2010
0-19|4.4|4.7|4.6|3789|Incidence|83185431|Leukemia|2010
0-14|0.0|0.1|0.1|35|Mortality|61202418|Non-Hodgkin Lymphoma|2010
0-19|0.1|0.1|0.1|75|Mortality|83185431|Non-Hodgkin Lymphoma|2010
0-14|0.9|1.1|1.0|598|Incidence|61202418|Non-Hodgkin Lymphoma|2010
0-19|1.1|1.2|1.1|954|Incidence|83185431|Non-Hodgkin Lymphoma|2010
0-14|0.4|0.5|0.5|286|Mortality|61202418|Other|2010
0-19|0.5|0.6|0.5|419|Mortality|83185431|Other|2010
0-14|3.9|4.2|4.0|2476|Incidence|61202418|Other|2010
0-19|5.1|5.4|5.3|4459|Incidence|83185431|Other|2010
0-14|0.1|0.2|0.1|79|Mortality|61202418|Soft Tissue|2010
0-19|0.1|0.2|0.2|146|Mortality|83185431|Soft Tissue|2010
0-14|1.0|1.2|1.1|655|Incidence|61202418|Soft Tissue|2010
0-19|1.0|1.2|1.1|903|Incidence|83185431|Soft Tissue|2010
0-14|0.2|0.3|0.3|153|Mortality|61175853|Acute Lymphocytic|2011
0-19|0.2|0.3|0.3|223|Mortality|82840576|Acute Lymphocytic|2011
0-14|4.0|4.3|4.1|2516|Incidence|60627321|Acute Lymphocytic|2011
0-19|3.4|3.6|3.5|2885|Incidence|82115497|Acute Lymphocytic|2011
0-14|0.2|0.2|0.2|117|Mortality|61175853|Acute Myeloid|2011
0-19|0.2|0.2|0.2|174|Mortality|82840576|Acute Myeloid|2011
0-14|0.6|0.8|0.7|420|Incidence|60627321|Acute Myeloid|2011
0-19|0.7|0.8|0.8|623|Incidence|82115497|Acute Myeloid|2011
0-14|2.0|2.2|2.1|1283|Mortality|61175853|All Cancer Sites Combined|2011
0-19|2.2|2.4|2.3|1922|Mortality|82840576|All Cancer Sites Combined|2011
0-14|16.5|17.2|16.8|10244|Incidence|60627321|All Cancer Sites Combined|2011
0-19|17.9|18.5|18.2|15011|Incidence|82115497|All Cancer Sites Combined|2011
0-14|0.1|0.2|0.1|73|Mortality|61175853|Bones and Joints|2011
0-19|0.2|0.2|0.2|174|Mortality|82840576|Bones and Joints|2011
0-14|0.7|0.8|0.8|460|Incidence|60627321|Bones and Joints|2011
0-19|0.9|1.0|0.9|754|Incidence|82115497|Bones and Joints|2011
0-14|0.7|0.8|0.7|439|Mortality|61175853|Brain and Other Nervous System|2011
0-19|0.6|0.7|0.7|550|Mortality|82840576|Brain and Other Nervous System|2011
0-14|3.4|3.7|3.6|2172|Incidence|60627321|Brain and Other Nervous System|2011
0-19|3.2|3.4|3.3|2712|Incidence|82115497|Brain and Other Nervous System|2011
0-14|~|~|~|~|Mortality|61175853|Hodgkin Lymphoma|2011
0-19|0.0|0.0|0.0|17|Mortality|82840576|Hodgkin Lymphoma|2011
0-14|0.5|0.6|0.5|312|Incidence|60627321|Hodgkin Lymphoma|2011
0-19|1.1|1.3|1.2|989|Incidence|82115497|Hodgkin Lymphoma|2011
0-14|0.0|0.1|0.1|39|Mortality|61175853|Kidney and Renal Pelvis|2011
0-19|0.0|0.1|0.1|45|Mortality|82840576|Kidney and Renal Pelvis|2011
0-14|0.9|1.0|0.9|572|Incidence|60627321|Kidney and Renal Pelvis|2011
0-19|0.7|0.8|0.7|614|Incidence|82115497|Kidney and Renal Pelvis|2011
0-14|0.5|0.6|0.6|342|Mortality|61175853|Leukemia|2011
0-19|0.6|0.7|0.6|519|Mortality|82840576|Leukemia|2011
0-14|5.0|5.3|5.2|3145|Incidence|60627321|Leukemia|2011
0-19|4.5|4.8|4.6|3809|Incidence|82115497|Leukemia|2011
0-14|0.0|0.1|0.1|32|Mortality|61175853|Non-Hodgkin Lymphoma|2011
0-19|0.1|0.1|0.1|64|Mortality|82840576|Non-Hodgkin Lymphoma|2011
0-14|0.8|1.0|0.9|554|Incidence|60627321|Non-Hodgkin Lymphoma|2011
0-19|1.0|1.2|1.1|918|Incidence|82115497|Non-Hodgkin Lymphoma|2011
0-14|0.4|0.5|0.4|273|Mortality|61175853|Other|2011
0-19|0.4|0.5|0.5|405|Mortality|82840576|Other|2011
0-14|3.8|4.1|4.0|2422|Incidence|60627321|Other|2011
0-19|5.1|5.4|5.3|4391|Incidence|82115497|Other|2011
0-14|0.1|0.2|0.1|84|Mortality|61175853|Soft Tissue|2011
0-19|0.1|0.2|0.2|148|Mortality|82840576|Soft Tissue|2011
0-14|0.9|1.1|1.0|607|Incidence|60627321|Soft Tissue|2011
0-19|0.9|1.1|1.0|824|Incidence|82115497|Soft Tissue|2011
0-14|0.2|0.3|0.2|152|Mortality|61124142|Acute Lymphocytic|2012
0-19|0.2|0.3|0.3|219|Mortality|82503131|Acute Lymphocytic|2012
0-14|3.8|4.1|3.9|2399|Incidence|60577174|Acute Lymphocytic|2012
0-19|3.2|3.5|3.3|2721|Incidence|81779507|Acute Lymphocytic|2012
0-14|0.2|0.3|0.2|137|Mortality|61124142|Acute Myeloid|2012
0-19|0.2|0.3|0.2|193|Mortality|82503131|Acute Myeloid|2012
0-14|0.6|0.7|0.6|393|Incidence|60577174|Acute Myeloid|2012
0-19|0.7|0.8|0.7|591|Incidence|81779507|Acute Myeloid|2012
0-14|2.1|2.4|2.2|1367|Mortality|61124142|All Cancer Sites Combined|2012
0-19|2.3|2.5|2.4|1995|Mortality|82503131|All Cancer Sites Combined|2012
0-14|16.3|17.0|16.7|10129|Incidence|60577174|All Cancer Sites Combined|2012
0-19|17.9|18.5|18.2|14972|Incidence|81779507|All Cancer Sites Combined|2012
0-14|0.1|0.1|0.1|68|Mortality|61124142|Bones and Joints|2012
0-19|0.2|0.2|0.2|178|Mortality|82503131|Bones and Joints|2012
0-14|0.7|0.8|0.7|446|Incidence|60577174|Bones and Joints|2012
0-19|0.9|1.0|0.9|751|Incidence|81779507|Bones and Joints|2012
0-14|0.7|0.8|0.8|458|Mortality|61124142|Brain and Other Nervous System|2012
0-19|0.6|0.8|0.7|575|Mortality|82503131|Brain and Other Nervous System|2012
0-14|3.4|3.7|3.5|2151|Incidence|60577174|Brain and Other Nervous System|2012
0-19|3.1|3.3|3.2|2630|Incidence|81779507|Brain and Other Nervous System|2012
0-14|~|~|~|~|Mortality|61124142|Hodgkin Lymphoma|2012
0-19|~|~|~|~|Mortality|82503131|Hodgkin Lymphoma|2012
0-14|0.5|0.6|0.6|341|Incidence|60577174|Hodgkin Lymphoma|2012
0-19|1.2|1.3|1.2|1030|Incidence|81779507|Hodgkin Lymphoma|2012
0-14|0.0|0.1|0.0|30|Mortality|61124142|Kidney and Renal Pelvis|2012
0-19|0.0|0.1|0.0|40|Mortality|82503131|Kidney and Renal Pelvis|2012
0-14|0.8|0.9|0.9|533|Incidence|60577174|Kidney and Renal Pelvis|2012
0-19|0.7|0.8|0.7|587|Incidence|81779507|Kidney and Renal Pelvis|2012
0-14|0.6|0.7|0.6|378|Mortality|61124142|Leukemia|2012
0-19|0.6|0.7|0.6|534|Mortality|82503131|Leukemia|2012
0-14|4.7|5.1|4.9|2985|Incidence|60577174|Leukemia|2012
0-19|4.3|4.6|4.4|3614|Incidence|81779507|Leukemia|2012
0-14|0.0|0.1|0.1|36|Mortality|61124142|Non-Hodgkin Lymphoma|2012
0-19|0.1|0.1|0.1|60|Mortality|82503131|Non-Hodgkin Lymphoma|2012
0-14|0.9|1.1|1.0|607|Incidence|60577174|Non-Hodgkin Lymphoma|2012
0-19|1.2|1.3|1.2|1017|Incidence|81779507|Non-Hodgkin Lymphoma|2012
0-14|0.4|0.5|0.5|292|Mortality|61124142|Other|2012
0-19|0.5|0.6|0.5|421|Mortality|82503131|Other|2012
0-14|3.9|4.2|4.0|2442|Incidence|60577174|Other|2012
0-19|5.3|5.6|5.5|4514|Incidence|81779507|Other|2012
0-14|0.1|0.2|0.2|101|Mortality|61124142|Soft Tissue|2012
0-19|0.2|0.2|0.2|177|Mortality|82503131|Soft Tissue|2012
0-14|0.9|1.1|1.0|624|Incidence|60577174|Soft Tissue|2012
0-19|0.9|1.1|1.0|829|Incidence|81779507|Soft Tissue|2012
0-14|0.2|0.3|0.2|141|Mortality|61101044|Acute Lymphocytic|2013
0-19|0.2|0.3|0.2|197|Mortality|82296428|Acute Lymphocytic|2013
0-14|3.5|3.8|3.7|2231|Incidence|60552670|Acute Lymphocytic|2013
0-19|3.0|3.3|3.1|2557|Incidence|81571493|Acute Lymphocytic|2013
0-14|0.2|0.2|0.2|127|Mortality|61101044|Acute Myeloid|2013
0-19|0.2|0.3|0.2|186|Mortality|82296428|Acute Myeloid|2013
0-14|0.6|0.8|0.7|431|Incidence|60552670|Acute Myeloid|2013
0-19|0.7|0.8|0.7|613|Incidence|81571493|Acute Myeloid|2013
0-14|2.0|2.2|2.1|1287|Mortality|61101044|All Cancer Sites Combined|2013
0-19|2.2|2.4|2.3|1914|Mortality|82296428|All Cancer Sites Combined|2013
0-14|16.4|17.1|16.8|10172|Incidence|60552670|All Cancer Sites Combined|2013
0-19|17.7|18.3|18.0|14728|Incidence|81571493|All Cancer Sites Combined|2013
0-14|0.1|0.1|0.1|72|Mortality|61101044|Bones and Joints|2013
0-19|0.2|0.3|0.2|180|Mortality|82296428|Bones and Joints|2013
0-14|0.7|0.8|0.8|457|Incidence|60552670|Bones and Joints|2013
0-19|0.9|1.0|0.9|760|Incidence|81571493|Bones and Joints|2013
0-14|0.7|0.8|0.7|437|Mortality|61101044|Brain and Other Nervous System|2013
0-19|0.6|0.7|0.7|556|Mortality|82296428|Brain and Other Nervous System|2013
0-14|3.4|3.7|3.6|2170|Incidence|60552670|Brain and Other Nervous System|2013
0-19|3.1|3.4|3.2|2639|Incidence|81571493|Brain and Other Nervous System|2013
0-14|~|~|~|~|Mortality|61101044|Hodgkin Lymphoma|2013
0-19|~|~|~|~|Mortality|82296428|Hodgkin Lymphoma|2013
0-14|0.5|0.6|0.5|327|Incidence|60552670|Hodgkin Lymphoma|2013
