"","EdiblePoisonous","CapShape","CapSurface","CapColor","Odor","GrowsIn"
"924","Edible","Convex","Smooth","Yellow","Anise","woods"
"925","Edible","Flat","Fibrous","White","None","grasses"
"926","Edible","Convex","Smooth","Brown","None","grasses"
"927","Edible","Convex","Smooth","Gray","None","grasses"
"928","Poisonous","Convex","Scaly","Brown","Pungent","urban"
"929","Edible","Convex","Fibrous","Gray","None","urban"
"930","Edible","Bell","Smooth","White","Almond","meadows"
"931","Edible","Convex","Smooth","Gray","None","grasses"
"932","Edible","Flat","Fibrous","Gray","None","grasses"
"933","Poisonous","Flat","Smooth","Brown","Pungent","grasses"
"934","Edible","Convex","Smooth","Yellow","Anise","grasses"
"935","Edible","Convex","Fibrous","Brown","None","urban"
"936","Edible","Flat","Smooth","White","None","grasses"
"937","Edible","Convex","Scaly","Yellow","Almond","meadows"
"938","Edible","Convex","Fibrous","Brown","None","grasses"
"939","Edible","Flat","Smooth","Gray","None","grasses"
"940","Edible","Convex","Scaly","Red","None","woods"
"941","Edible","Bell","Scaly","Yellow","Almond","grasses"
"942","Edible","Convex","Fibrous","White","None","grasses"
"943","Poisonous","Convex","Smooth","White","Pungent","grasses"
"944","Edible","Convex","Fibrous","Gray","None","grasses"
"945","Edible","Flat","Fibrous","Gray","None","woods"
"946","Edible","Flat","Fibrous","Brown","None","grasses"
"947","Edible","Flat","Fibrous","White","None","grasses"
"948","Edible","Bell","Scaly","White","Anise","grasses"
"949","Edible","Flat","Fibrous","Brown","None","grasses"
"950","Poisonous","Flat","Scaly","Brown","Pungent","urban"
"951","Poisonous","Convex","Scaly","White","Pungent","urban"
"952","Edible","Bell","Smooth","Yellow","Anise","grasses"
"953","Edible","Flat","Smooth","Gray","None","grasses"
"954","Edible","Convex","Fibrous","Gray","None","grasses"
"955","Edible","Flat","Fibrous","Brown","None","grasses"
"956","Edible","Bell","Smooth","White","Anise","meadows"
"957","Poisonous","Convex","Smooth","White","Pungent","urban"
"958","Edible","Convex","Scaly","Brown","None","woods"
"959","Edible","Flat","Fibrous","White","Anise","woods"
"960","Edible","Convex","Scaly","Yellow","Anise","meadows"
"961","Edible","Convex","Fibrous","Brown","None","grasses"
"962","Edible","Flat","Fibrous","White","None","grasses"
"963","Edible","Convex","Fibrous","Brown","None","woods"
"964","Edible","Convex","Fibrous","Brown","None","woods"
"965","Edible","Flat","Smooth","Gray","None","grasses"
"966","Edible","Flat","Smooth","Gray","None","grasses"
"967","Poisonous","Flat","Smooth","Brown","Pungent","grasses"
"968","Edible","Convex","Fibrous","Brown","None","woods"
"969","Edible","Convex","Smooth","Brown","None","grasses"
"970","Edible","Convex","Fibrous","White","None","grasses"
"971","Edible","Flat","Fibrous","Brown","None","grasses"
"972","Edible","Convex","Fibrous","Brown","None","woods"
"973","Edible","Flat","Fibrous","Brown","None","woods"
"974","Edible","Convex","Fibrous","Gray","None","grasses"
"975","Edible","Flat","Fibrous","Brown","None","woods"
"976","Edible","Convex","Smooth","Gray","None","grasses"
"977","Edible","Bell","Scaly","White","Anise","grasses"
"978","Edible","Convex","Fibrous","Brown","None","woods"
"979","Edible","Convex","Scaly","Yellow","Anise","grasses"
"980","Edible","Flat","Fibrous","Gray","None","grasses"
"981","Edible","Flat","Fibrous","Brown","None","woods"
"982","Edible","Convex","Smooth","Yellow","Anise","meadows"
"983","Edible","Flat","Fibrous","Gray","None","grasses"
"984","Edible","Convex","Fibrous","Brown","None","grasses"
"985","Poisonous","Convex","Smooth","White","Pungent","urban"
"986","Edible","Convex","Fibrous","White","None","grasses"
"987","Edible","Flat","Fibrous","White","None","grasses"
"988","Edible","Convex","Smooth","White","None","grasses"
"989","Edible","Convex","Smooth","Gray","None","grasses"
"990","Edible","Convex","Scaly","Yellow","Anise","grasses"
"991","Edible","Convex","Smooth","Yellow","Anise","meadows"
"992","Edible","Convex","Smooth","Gray","None","grasses"
"993","Edible","Convex","Smooth","Brown","None","grasses"
"994","Edible","Flat","Fibrous","Brown","None","urban"
"995","Edible","Flat","Smooth","White","None","grasses"
"996","Edible","Flat","Smooth","White","None","grasses"
"997","Edible","Convex","Scaly","Yellow","Anise","meadows"
"998","Edible","Flat","Smooth","White","Almond","woods"
"999","Edible","Bell","Smooth","White","Anise","meadows"
"1000","Poisonous","Flat","Scaly","White","Pungent","urban"
"1001","Edible","Convex","Fibrous","Gray","None","woods"
"1002","Edible","Flat","Scaly","Brown","Anise","grasses"
"1003","Edible","Flat","Smooth","Brown","None","grasses"
"1004","Poisonous","Convex","Smooth","White","Pungent","grasses"
"1005","Edible","Convex","Scaly","Brown","Anise","grasses"
"1006","Edible","Convex","Smooth","Gray","None","grasses"
"1007","Edible","Convex","Smooth","White","None","grasses"
"1008","Edible","Flat","Fibrous","White","None","grasses"
"1009","Edible","Convex","Fibrous","Brown","None","grasses"
"1010","Edible","Convex","Smooth","White","Anise","grasses"
"1011","Edible","Convex","Scaly","White","Almond","meadows"
"1012","Edible","Convex","Smooth","White","None","grasses"
"1013","Edible","Flat","Scaly","Yellow","Almond","paths"
"1014","Edible","Flat","Smooth","Brown","None","grasses"
"1015","Edible","Flat","Fibrous","Gray","None","grasses"
"1016","Edible","Flat","Fibrous","Yellow","Almond","woods"
"1017","Edible","Flat","Scaly","Brown","Anise","grasses"
"1018","Edible","Convex","Fibrous","Brown","None","woods"
"1019","Poisonous","Flat","Smooth","Brown","Pungent","grasses"
"1020","Edible","Convex","Fibrous","Brown","None","woods"
"1021","Edible","Flat","Fibrous","Brown","None","grasses"
"1022","Edible","Bell","Smooth","Yellow","Almond","meadows"
"1023","Edible","Bell","Scaly","White","Almond","grasses"
"1024","Edible","Convex","Scaly","White","Almond","meadows"
"1025","Poisonous","Flat","Scaly","White","Pungent","urban"
"1026","Poisonous","Flat","Scaly","White","Pungent","grasses"
"1027","Edible","Convex","Fibrous","Brown","None","urban"
"1028","Edible","Flat","Smooth","Yellow","Anise","woods"
"1029","Edible","Convex","Scaly","Yellow","Anise","meadows"
"1030","Edible","Convex","Smooth","White","None","grasses"
"1031","Edible","Convex","Fibrous","Gray","None","woods"
"1032","Poisonous","Convex","Scaly","Brown","Pungent","grasses"
"1033","Edible","Convex","Fibrous","Gray","None","grasses"
"1034","Edible","Flat","Fibrous","Brown","None","grasses"
"1035","Edible","Convex","Smooth","White","None","grasses"
"1036","Edible","Flat","Fibrous","White","None","grasses"
"1037","Edible","Convex","Scaly","Yellow","Almond","meadows"
"1038","Edible","Flat","Fibrous","Yellow","Almond","woods"
"1039","Edible","Convex","Fibrous","Gray","None","urban"
"1040","Poisonous","Convex","Smooth","Brown","Pungent","urban"
"1041","Edible","Convex","Scaly","Yellow","Almond","paths"
"1042","Edible","Flat","Scaly","Brown","Almond","paths"
"1043","Edible","Convex","Fibrous","White","None","grasses"
"1044","Edible","Convex","Scaly","Brown","None","woods"
"1045","Edible","Convex","Smooth","Gray","None","grasses"
"1046","Edible","Convex","Smooth","White","Almond","grasses"
"1047","Edible","Convex","Fibrous","Gray","None","grasses"
"1048","Poisonous","Flat","Scaly","Brown","Pungent","urban"
"1049","Edible","Convex","Fibrous","Brown","None","woods"
"1050","Edible","Convex","Fibrous","Gray","None","grasses"
"1051","Edible","Convex","Fibrous","Red","None","woods"
"1052","Edible","Convex","Fibrous","Brown","None","woods"
"1053","Edible","Convex","Fibrous","Gray","None","grasses"
"1054","Edible","Convex","Scaly","Yellow","Anise","paths"
"1055","Edible","Convex","Fibrous","Brown","None","grasses"
"1056","Edible","Bell","Smooth","Yellow","Anise","grasses"
"1057","Edible","Convex","Fibrous","White","Anise","woods"
"1058","Edible","Flat","Smooth","Gray","None","grasses"
"1059","Edible","Convex","Scaly","Yellow","Anise","grasses"
"1060","Edible","Convex","Fibrous","Brown","None","grasses"
"1061","Edible","Flat","Smooth","White","None","grasses"
"1062","Edible","Convex","Smooth","Yellow","Anise","woods"
"1063","Edible","Convex","Smooth","Gray","None","grasses"
"1064","Edible","Convex","Fibrous","Gray","None","grasses"
"1065","Poisonous","Flat","Scaly","White","Pungent","urban"
"1066","Edible","Flat","Fibrous","Yellow","Anise","woods"
"1067","Edible","Convex","Scaly","White","Almond","grasses"
"1068","Edible","Flat","Fibrous","White","None","grasses"
"1069","Edible","Convex","Fibrous","Brown","None","woods"
"1070","Edible","Convex","Scaly","Brown","Anise","grasses"
"1071","Edible","Convex","Smooth","White","None","grasses"
"1072","Poisonous","Flat","Scaly","White","Pungent","grasses"
"1073","Edible","Convex","Smooth","Yellow","Almond","grasses"
"1074","Edible","Convex","Fibrous","Gray","None","woods"
"1075","Edible","Flat","Scaly","Yellow","Anise","paths"
"1076","Edible","Flat","Smooth","Gray","None","grasses"
"1077","Edible","Flat","Fibrous","Brown","None","urban"
"1078","Poisonous","Flat","Scaly","White","Pungent","grasses"
"1079","Edible","Flat","Fibrous","Gray","None","grasses"
"1080","Edible","Convex","Scaly","Brown","Anise","paths"
"1081","Edible","Flat","Fibrous","White","None","grasses"
"1082","Poisonous","Flat","Scaly","Brown","Pungent","urban"
"1083","Edible","Bell","Smooth","Yellow","Anise","meadows"
"1084","Edible","Flat","Fibrous","Gray","None","grasses"
"1085","Edible","Bell","Smooth","White","Anise","grasses"
"1086","Edible","Flat","Fibrous","Gray","None","grasses"
"1087","Edible","Bell","Scaly","White","Anise","meadows"
"1088","Edible","Convex","Scaly","White","Anise","meadows"
"1089","Poisonous","Flat","Scaly","Brown","Pungent","grasses"
"1090","Edible","Convex","Scaly","Yellow","Anise","grasses"
"1091","Edible","Sunken","Fibrous","Brown","None","urban"
"1092","Edible","Convex","Scaly","Brown","Almond","grasses"
"1093","Edible","Flat","Fibrous","Gray","None","grasses"
"1094","Edible","Flat","Fibrous","Yellow","Anise","woods"
"1095","Edible","Convex","Smooth","Gray","None","grasses"
"1096","Poisonous","Flat","Scaly","Brown","Pungent","urban"
"1097","Edible","Convex","Fibrous","Gray","None","grasses"
"1098","Edible","Convex","Smooth","Gray","None","grasses"
"1099","Edible","Convex","Fibrous","Gray","None","grasses"
"1100","Poisonous","Convex","Scaly","Brown","Pungent","grasses"
"1101","Edible","Convex","Fibrous","Brown","None","grasses"
"1102","Edible","Flat","Smooth","White","None","grasses"
"1103","Edible","Convex","Fibrous","Gray","None","grasses"
"1104","Poisonous","Convex","Scaly","Brown","Pungent","grasses"
"1105","Edible","Flat","Fibrous","Brown","None","grasses"
"1106","Edible","Flat","Smooth","White","None","grasses"
"1107","Poisonous","Convex","Scaly","White","Pungent","urban"
"1108","Edible","Flat","Fibrous","Gray","None","grasses"
"1109","Edible","Bell","Scaly","Yellow","Anise","grasses"
"1110","Edible","Convex","Smooth","Brown","None","grasses"
"1111","Edible","Flat","Fibrous","Brown","None","grasses"
"1112","Poisonous","Flat","Smooth","White","Pungent","grasses"
"1113","Edible","Convex","Scaly","Brown","Almond","grasses"
"1114","Edible","Flat","Fibrous","White","None","grasses"
"1115","Edible","Flat","Scaly","Brown","Anise","grasses"
"1116","Edible","Flat","Fibrous","Gray","None","grasses"
"1117","Edible","Flat","Fibrous","Gray","None","grasses"
"1118","Edible","Flat","Smooth","Gray","None","grasses"
"1119","Edible","Flat","Fibrous","Brown","None","grasses"
"1120","Edible","Convex","Smooth","Gray","None","grasses"
"1121","Edible","Convex","Fibrous","White","None","grasses"
"1122","Edible","Flat","Fibrous","White","None","grasses"
"1123","Edible","Convex","Smooth","Brown","None","grasses"
"1124","Edible","Convex","Fibrous","Brown","None","woods"
"1125","Edible","Flat","Smooth","Yellow","Almond","woods"
"1126","Edible","Convex","Fibrous","White","None","grasses"
"1127","Edible","Flat","Smooth","White","None","grasses"
"1128","Edible","Bell","Smooth","Yellow","Almond","grasses"
"1129","Edible","Convex","Fibrous","White","None","grasses"
"1130","Edible","Convex","Fibrous","Gray","None","grasses"
"1131","Poisonous","Flat","Smooth","Brown","Pungent","urban"
"1132","Edible","Convex","Fibrous","Gray","None","grasses"
"1133","Poisonous","Convex","Smooth","Brown","Pungent","grasses"
"1134","Edible","Flat","Smooth","White","None","grasses"
"1135","Edible","Convex","Scaly","White","Almond","grasses"
"1136","Edible","Convex","Fibrous","Brown","None","grasses"
"1137","Edible","Convex","Fibrous","Brown","None","woods"
"1138","Edible","Bell","Scaly","Yellow","Anise","grasses"
"1139","Edible","Flat","Fibrous","White","None","grasses"
"1140","Edible","Convex","Smooth","Brown","None","grasses"
"1141","Edible","Flat","Fibrous","White","None","grasses"
"1142","Edible","Convex","Fibrous","Brown","None","woods"
"1143","Edible","Flat","Fibrous","White","None","grasses"
"1144","Edible","Convex","Smooth","White","None","grasses"
"1145","Edible","Convex","Smooth","Brown","None","grasses"
"1146","Edible","Convex","Fibrous","White","None","grasses"
"1147","Edible","Flat","Smooth","Gray","None","grasses"
"1148","Edible","Convex","Fibrous","Gray","None","grasses"
"1149","Edible","Convex","Fibrous","Gray","None","grasses"
"1150","Edible","Flat","Smooth","Brown","None","grasses"
"1151","Edible","Flat","Smooth","White","None","grasses"
"1152","Edible","Flat","Scaly","Brown","Almond","paths"
"1153","Poisonous","Convex","Scaly","White","Pungent","grasses"
"1154","Edible","Flat","Smooth","Gray","None","grasses"
"1155","Poisonous","Convex","Scaly","White","Pungent","grasses"
"1156","Edible","Bell","Scaly","White","Almond","meadows"
"1157","Edible","Convex","Smooth","Gray","None","grasses"
"1158","Edible","Flat","Fibrous","Gray","None","grasses"
"1159","Edible","Flat","Fibrous","White","None","grasses"
"1160","Edible","Flat","Smooth","Gray","None","grasses"
"1161","Edible","Bell","Scaly","White","Almond","grasses"
"1162","Edible","Convex","Fibrous","Gray","None","grasses"
"1163","Edible","Convex","Fibrous","Red","None","woods"
"1164","Edible","Convex","Scaly","Yellow","Almond","paths"
"1165","Edible","Convex","Smooth","White","None","grasses"
"1166","Edible","Bell","Smooth","White","Almond","meadows"
"1167","Poisonous","Convex","Smooth","Brown","Pungent","grasses"
"1168","Edible","Convex","Fibrous","Brown","None","woods"
"1169","Edible","Flat","Smooth","Brown","None","grasses"
"1170","Edible","Bell","Smooth","White","Almond","meadows"
"1171","Edible","Convex","Smooth","Gray","None","grasses"
"1172","Edible","Convex","Fibrous","Brown","None","woods"
"1173","Edible","Flat","Fibrous","White","None","grasses"
"1174","Edible","Convex","Fibrous","Brown","None","urban"
"1175","Edible","Convex","Fibrous","Gray","None","urban"
"1176","Edible","Convex","Fibrous","Gray","None","urban"
"1177","Edible","Bell","Scaly","Yellow","Anise","meadows"
"1178","Edible","Flat","Fibrous","Brown","None","urban"
"1179","Edible","Convex","Fibrous","White","None","grasses"
"1180","Edible","Flat","Scaly","Brown","Almond","paths"
"1181","Edible","Convex","Scaly","Brown","Anise","paths"
"1182","Edible","Convex","Scaly","Yellow","Anise","grasses"
"1183","Edible","Flat","Fibrous","Gray","None","grasses"
"1184","Edible","Convex","Scaly","White","Almond","grasses"
"1185","Edible","Convex","Scaly","White","Almond","grasses"
"1186","Edible","Flat","Smooth","White","None","grasses"
"1187","Edible","Flat","Smooth","Gray","None","grasses"
"1188","Poisonous","Flat","Smooth","Brown","Pungent","urban"
"1189","Edible","Convex","Scaly","Yellow","Anise","grasses"
"1190","Edible","Convex","Fibrous","Brown","None","grasses"
"1191","Edible","Convex","Fibrous","White","None","grasses"
"1192","Edible","Convex","Smooth","Yellow","Anise","meadows"
"1193","Edible","Convex","Fibrous","Red","None","woods"
"1194","Edible","Flat","Scaly","Brown","Anise","paths"
"1195","Edible","Bell","Smooth","White","Almond","grasses"
"1196","Poisonous","Convex","Smooth","Brown","Pungent","grasses"
"1197","Edible","Convex","Fibrous","Gray","None","grasses"
"1198","Edible","Bell","Scaly","White","Almond","meadows"
"1199","Edible","Convex","Smooth","White","Anise","grasses"
"1200","Edible","Bell","Scaly","Yellow","Anise","meadows"
"1201","Edible","Convex","Scaly","White","Anise","grasses"
"1202","Edible","Convex","Smooth","Yellow","Almond","grasses"
"1203","Edible","Bell","Smooth","White","Almond","grasses"
"1204","Edible","Flat","Smooth","Brown","None","grasses"
"1205","Poisonous","Flat","Smooth","White","Pungent","grasses"
"1206","Edible","Flat","Smooth","Brown","None","grasses"
"1207","Edible","Flat","Fibrous","Brown","None","grasses"
"1208","Poisonous","Flat","Scaly","White","Pungent","urban"
"1209","Edible","Flat","Smooth","White","None","grasses"
"1210","Edible","Convex","Fibrous","White","None","grasses"
"1211","Edible","Convex","Smooth","Brown","None","grasses"
"1212","Edible","Flat","Smooth","Brown","None","grasses"
"1213","Edible","Flat","Scaly","Yellow","Almond","grasses"
"1214","Edible","Convex","Fibrous","Gray","None","grasses"
"1215","Edible","Convex","Fibrous","Brown","None","grasses"
"1216","Poisonous","Flat","Smooth","Brown","Pungent","grasses"
"1217","Edible","Convex","Smooth","White","None","grasses"
"1218","Edible","Flat","Fibrous","Brown","None","grasses"
"1219","Edible","Flat","Fibrous","White","None","grasses"
"1220","Edible","Flat","Fibrous","White","None","grasses"
"1221","Edible","Convex","Scaly","Yellow","Almond","grasses"
"1222","Edible","Convex","Smooth","Gray","None","grasses"
"1223","Edible","Convex","Fibrous","Gray","None","grasses"
"1224","Edible","Flat","Fibrous","Brown","None","grasses"
"1225","Edible","Flat","Smooth","Brown","None","grasses"
"1226","Edible","Convex","Fibrous","White","None","grasses"
"1227","Edible","Convex","Scaly","Red","None","woods"
"1228","Edible","Convex","Fibrous","Brown","None","grasses"
"1229","Poisonous","Convex","Smooth","White","Pungent","grasses"
"1230","Edible","Convex","Scaly","Brown","None","woods"
"1231","Edible","Convex","Fibrous","Brown","None","grasses"
"1232","Poisonous","Flat","Scaly","White","Pungent","grasses"
"1233","Edible","Flat","Fibrous","Gray","None","grasses"
"1234","Edible","Convex","Fibrous","White","None","grasses"
"1235","Edible","Flat","Smooth","Brown","None","grasses"
"1236","Edible","Flat","Fibrous","Gray","None","grasses"
"1237","Edible","Flat","Smooth","Gray","None","grasses"
"1238","Edible","Flat","Fibrous","Gray","None","grasses"
"1239","Edible","Convex","Smooth","Gray","None","grasses"
"1240","Edible","Convex","Smooth","Brown","None","grasses"
"1241","Poisonous","Flat","Smooth","White","Pungent","urban"
"1242","Edible","Convex","Smooth","Gray","None","grasses"
"1243","Poisonous","Convex","Smooth","White","Pungent","grasses"
"1244","Poisonous","Flat","Smooth","White","Pungent","urban"
"1245","Edible","Flat","Smooth","Brown","None","grasses"
"1246","Edible","Convex","Fibrous","Gray","None","grasses"
"1247","Edible","Flat","Smooth","Gray","None","grasses"
"1248","Edible","Convex","Smooth","Gray","None","grasses"
"1249","Edible","Flat","Fibrous","Gray","None","grasses"
"1250","Edible","Flat","Fibrous","Gray","None","grasses"
"1251","Edible","Convex","Scaly","Gray","None","woods"
"1252","Edible","Convex","Fibrous","Brown","None","woods"
"1253","Edible","Flat","Smooth","White","None","grasses"
"1254","Poisonous","Flat","Scaly","White","Pungent","grasses"
"1255","Poisonous","Flat","Scaly","Brown","Pungent","grasses"
"1256","Edible","Convex","Smooth","White","None","grasses"
"1257","Poisonous","Flat","Smooth","Brown","Pungent","grasses"
"1258","Edible","Flat","Fibrous","Brown","None","grasses"
"1259","Edible","Flat","Smooth","White","None","grasses"
"1260","Poisonous","Flat","Smooth","Brown","Pungent","grasses"
"1261","Poisonous","Flat","Scaly","White","Pungent","grasses"
"1262","Poisonous","Flat","Scaly","Brown","Pungent","grasses"
"1263","Poisonous","Flat","Smooth","White","Pungent","grasses"
"1264","Edible","Convex","Smooth","White","None","grasses"
"1265","Edible","Convex","Fibrous","Brown","None","woods"
"1266","Edible","Flat","Smooth","White","None","grasses"
"1267","Edible","Flat","Fibrous","Gray","None","grasses"
"1268","Poisonous","Flat","Scaly","Brown","Pungent","urban"
"1269","Edible","Convex","Smooth","White","None","grasses"
"1270","Edible","Convex","Scaly","Red","None","woods"
"1271","Edible","Flat","Smooth","Gray","None","grasses"
"1272","Edible","Convex","Smooth","White","None","grasses"
"1273","Poisonous","Flat","Smooth","White","Pungent","grasses"
"1274","Edible","Flat","Fibrous","Brown","None","grasses"
"1275","Edible","Convex","Fibrous","White","None","grasses"
"1276","Poisonous","Flat","Smooth","White","Pungent","urban"
"1277","Edible","Convex","Fibrous","Brown","None","grasses"
"1278","Edible","Flat","Fibrous","White","None","grasses"
"1279","Edible","Convex","Smooth","White","None","grasses"
"1280","Edible","Flat","Smooth","White","None","grasses"
"1281","Edible","Bell","Scaly","Yellow","Almond","meadows"
"1282","Edible","Convex","Smooth","Gray","None","grasses"
"1283","Edible","Convex","Fibrous","White","None","grasses"
"1284","Edible","Convex","Smooth","Brown","None","grasses"
"1285","Edible","Convex","Fibrous","Brown","None","grasses"
"1286","Edible","Flat","Fibrous","Gray","None","grasses"
"1287","Poisonous","Convex","Scaly","Brown","Pungent","urban"
"1288","Edible","Flat","Smooth","Gray","None","grasses"
"1289","Edible","Convex","Fibrous","Brown","None","woods"
"1290","Edible","Flat","Smooth","White","None","grasses"
"1291","Edible","Convex","Fibrous","Brown","None","woods"
"1292","Edible","Convex","Fibrous","Gray","None","grasses"
"1293","Edible","Convex","Fibrous","White","None","grasses"
"1294","Poisonous","Flat","Smooth","White","Pungent","grasses"
"1295","Poisonous","Flat","Smooth","White","Pungent","grasses"
"1296","Edible","Convex","Smooth","Gray","None","grasses"
"1297","Edible","Convex","Fibrous","Brown","None","woods"
"1298","Edible","Convex","Smooth","Gray","None","grasses"
"1299","Edible","Convex","Scaly","Yellow","Almond","paths"
"1300","Edible","Flat","Smooth","White","None","grasses"
"1301","Edible","Convex","Smooth","White","None","grasses"
"1302","Edible","Convex","Fibrous","Gray","None","grasses"
"1303","Edible","Flat","Smooth","White","None","grasses"
"1304","Edible","Convex","Fibrous","Brown","None","woods"
"1305","Edible","Flat","Smooth","Gray","None","grasses"
"1306","Edible","Flat","Smooth","Gray","None","grasses"
"1307","Edible","Flat","Fibrous","Brown","None","grasses"
"1308","Edible","Flat","Smooth","White","None","grasses"
"1309","Edible","Flat","Smooth","White","None","grasses"
"1310","Edible","Flat","Smooth","Gray","None","grasses"
"1311","Edible","Flat","Fibrous","White","None","grasses"
"1312","Edible","Flat","Smooth","Brown","None","grasses"
"1313","Poisonous","Flat","Smooth","White","Pungent","grasses"
"1314","Edible","Convex","Fibrous","Gray","None","grasses"
"1315","Edible","Bell","Scaly","Yellow","Anise","grasses"
"1316","Edible","Flat","Fibrous","Brown","None","grasses"
"1317","Edible","Flat","Smooth","Gray","None","grasses"
"1318","Edible","Convex","Fibrous","Brown","None","woods"
"1319","Edible","Bell","Smooth","Yellow","Anise","meadows"
"1320","Edible","Convex","Smooth","White","None","grasses"
"1321","Edible","Flat","Fibrous","Brown","None","woods"
"1322","Poisonous","Convex","Smooth","White","Pungent","grasses"
"1323","Edible","Flat","Fibrous","White","None","grasses"
"1324","Poisonous","Flat","Scaly","White","Pungent","urban"
"1325","Edible","Convex","Smooth","Brown","None","grasses"
"1326","Edible","Flat","Smooth","Brown","None","grasses"
"1327","Edible","Bell","Smooth","Yellow","Anise","grasses"
"1328","Edible","Flat","Smooth","Gray","None","grasses"
"1329","Edible","Convex","Smooth","Gray","None","grasses"
"1330","Edible","Flat","Fibrous","Gray","None","grasses"
"1331","Edible","Convex","Fibrous","Gray","None","grasses"
"1332","Edible","Flat","Smooth","White","None","grasses"
"1333","Poisonous","Flat","Smooth","Brown","Pungent","grasses"
"1334","Edible","Flat","Fibrous","Gray","None","grasses"
"1335","Edible","Flat","Smooth","White","None","grasses"
"1336","Edible","Convex","Fibrous","Brown","None","woods"
"1337","Edible","Convex","Smooth","Brown","None","grasses"
"1338","Edible","Convex","Fibrous","Red","None","woods"
"1339","Edible","Convex","Scaly","Yellow","Almond","grasses"
"1340","Edible","Flat","Fibrous","White","None","grasses"
"1341","Edible","Convex","Smooth","White","None","grasses"
"1342","Edible","Flat","Fibrous","Brown","None","grasses"
"1343","Poisonous","Flat","Smooth","White","Pungent","urban"
"1344","Edible","Flat","Fibrous","Gray","None","woods"
"1345","Edible","Flat","Smooth","White","None","grasses"
"1346","Edible","Flat","Fibrous","White","None","grasses"
"1347","Poisonous","Flat","Scaly","Brown","Pungent","grasses"
"1348","Edible","Convex","Smooth","White","None","grasses"
"1349","Edible","Convex","Fibrous","Brown","None","woods"
"1350","Edible","Convex","Scaly","Gray","None","woods"
"1351","Edible","Convex","Scaly","Gray","None","woods"
"1352","Edible","Flat","Smooth","Brown","None","grasses"
"1353","Edible","Flat","Smooth","White","None","grasses"
"1354","Edible","Flat","Smooth","Brown","None","grasses"
"1355","Edible","Convex","Smooth","Brown","None","grasses"
"1356","Edible","Flat","Fibrous","White","None","grasses"
"1357","Edible","Convex","Fibrous","Brown","None","grasses"
"1358","Edible","Flat","Fibrous","White","None","grasses"
"1359","Edible","Flat","Fibrous","Brown","None","grasses"
"1360","Edible","Flat","Smooth","White","None","grasses"
"1361","Edible","Flat","Fibrous","Brown","None","grasses"
"1362","Poisonous","Flat","Scaly","Brown","Pungent","urban"
"1363","Edible","Flat","Fibrous","White","None","grasses"
"1364","Edible","Flat","Smooth","White","None","grasses"
"1365","Edible","Convex","Fibrous","Brown","None","grasses"
"1366","Edible","Flat","Fibrous","White","None","grasses"
"1367","Edible","Convex","Fibrous","Gray","None","grasses"
"1368","Edible","Flat","Smooth","Brown","None","grasses"
"1369","Edible","Convex","Fibrous","Gray","None","woods"
"1370","Edible","Flat","Fibrous","White","None","grasses"
"1371","Edible","Flat","Fibrous","Brown","None","grasses"
"1372","Edible","Convex","Smooth","Brown","None","grasses"
"1373","Edible","Convex","Fibrous","White","None","grasses"
"1374","Edible","Bell","Smooth","Yellow","Anise","grasses"
"1375","Poisonous","Convex","Scaly","Brown","Pungent","grasses"
"1376","Poisonous","Flat","Smooth","Brown","Pungent","grasses"
"1377","Edible","Flat","Fibrous","White","None","grasses"
"1378","Edible","Flat","Fibrous","Brown","None","grasses"
"1379","Poisonous","Flat","Scaly","Brown","Pungent","grasses"
"1380","Edible","Flat","Fibrous","Brown","None","grasses"
"1381","Poisonous","Convex","Smooth","White","Pungent","urban"
"1382","Edible","Flat","Smooth","Brown","None","grasses"
"1383","Poisonous","Flat","Scaly","White","Pungent","urban"
"1384","Edible","Flat","Smooth","Brown","None","grasses"
"1385","Edible","Flat","Smooth","Gray","None","grasses"
"1386","Edible","Convex","Fibrous","Gray","None","grasses"
"1387","Edible","Flat","Fibrous","Brown","None","grasses"
"1388","Edible","Convex","Fibrous","Gray","None","woods"
"1389","Edible","Convex","Fibrous","Brown","None","woods"
"1390","Edible","Convex","Fibrous","Brown","None","grasses"
"1391","Edible","Convex","Fibrous","Gray","None","woods"
"1392","Edible","Convex","Smooth","White","None","grasses"
"1393","Edible","Flat","Smooth","White","None","grasses"
"1394","Edible","Convex","Smooth","White","None","grasses"
"1395","Edible","Flat","Fibrous","Gray","None","grasses"
"1396","Edible","Convex","Fibrous","Brown","None","woods"
"1397","Edible","Convex","Smooth","White","None","grasses"
"1398","Edible","Convex","Smooth","Brown","None","grasses"
"1399","Edible","Flat","Smooth","Gray","None","grasses"
"1400","Poisonous","Flat","Scaly","White","Pungent","grasses"
"1401","Edible","Flat","Smooth","Brown","None","grasses"
"1402","Edible","Flat","Scaly","Yellow","Almond","grasses"
"1403","Edible","Convex","Fibrous","Gray","None","woods"
"1404","Edible","Flat","Smooth","Gray","None","grasses"
"1405","Edible","Convex","Smooth","Gray","None","grasses"
"1406","Poisonous","Flat","Scaly","White","Pungent","urban"
"1407","Edible","Convex","Smooth","White","None","grasses"
"1408","Edible","Convex","Smooth","White","None","grasses"
"1409","Edible","Flat","Smooth","Gray","None","grasses"
"1410","Edible","Flat","Smooth","Brown","None","grasses"
"1411","Edible","Convex","Fibrous","Brown","None","grasses"
"1412","Edible","Flat","Smooth","Brown","None","grasses"
